"","ND251_34","ND251_MPP"
"AR",-0.473529627458639,-0.330050784884108
"ARNT",-0.463434937209966,0.333921305601191
"ARNTL",-0.446522299402577,-0.328837771249364
"ASCL1",-0.450399497289339,-0.315213752395457
"ASCL2",0.469252707410139,0.335908991320763
"ATF1",0.461817538658089,0.328368236609634
"ATF2",0.465946073518344,0.330509878139433
"ATF3",-0.463257762235713,-0.328167622228091
"BACH2",-0.462719139299823,-0.330547078301864
"BATF",0.358791346653102,0.334381294456433
"CDX2",-0.465907432179632,-0.327693303774167
"CEBPD",0.469347000843164,0.328453122006703
"CLOCK",-0.468996536444947,-0.335031434464913
"CTCF",0.316532713595201,0.310470349417216
"DUX4",0.388959921711363,0.32529431925341
"E2F1",-0.474570343038714,-0.330538974214805
"E2F2",-0.45968700270884,-0.335250485098419
"E2F7",-0.470009808413917,-0.331511202535116
"E2F8",0.440572787631149,0.335148190112708
"EBF1",-0.447912500344575,-0.31417000714514
"EGR1",0.471424944186518,0.323887113343849
"EHF",0.463779557985306,0.335745446038248
"ELK1",-0.30580412794132,-0.313458048898445
"ELK3",-0.473850200655018,-0.327697301207946
"EPAS1",-0.455832139087525,-0.335716306275075
"ESR1",-0.46109678437671,-0.330385346063085
"ESR2",0.455164344550652,0.329828304758235
"ESRRA",-0.470799401184689,-0.334410128405
"ETS2",0.466944201019648,0.332022721151471
"ETV4",-0.465437341784293,-0.327863773573118
"ETV5",0.401316491747045,-0.332613751565389
"ETV7",0.342961706555716,0.336776128636108
"FOXG1",-0.442797617013423,0.300406187328484
"FOXH1",0.396360824193137,0.329324868385039
"FOXK1",0.320892484590045,0.330510904802753
"FOXO3",-0.472740677180435,-0.330299586909999
"GATA1",-0.386524354766896,-0.330820127057231
"GATA2",0.473918274272306,0.334459036898061
"GATA3",-0.395004950711183,-0.32075240441273
"GATA4",-0.417742334352337,-0.326213925617587
"GATA6",-0.400003910026198,-0.330967507853428
"GLI2",-0.44577033833934,-0.327108280432867
"GMEB2",-0.474596807613525,-0.32990993541414
"GRHL2",-0.474954339429986,-0.335941953766511
"GTF2B",0.350702885339277,0.317663130794504
"GTF2I",0.46935458837444,0.324299984905865
"HEY1",-0.455069959332974,-0.336583028556313
"HIF1A",0.474234472400248,0.316120558233982
"HINFP",-0.446350509127938,0.331108641294103
"HNF4G",0.378370603970243,0.332920265176214
"HOXA4",0.463086155530379,0.330898568503673
"HOXA6",0.471632163337031,0.33590936266707
"HOXC6",0.393412884723402,0.330786028728661
"HSF1",-0.367824088472083,-0.336157138029641
"IKZF1",-0.456658506909074,-0.316226938029073
"IRF2",0.453495271239405,0.330424184518048
"IRF3",0.471187527885325,0.328243748221087
"JUND",0.4540286624501,0.334664915659608
"KLF1",-0.458940885268481,-0.335657196680514
"KLF10",0.423907478867425,0.328017904134548
"KLF3",0.390306341374107,0.335037725508237
"KLF5",-0.333503298113217,-0.324295266623372
"LHX2",0.460570062850765,-0.330034816992894
"MAF",0.462749856563534,0.320591960964076
"MAFF",-0.473661797358272,-0.330748391688221
"MAX",-0.384344652838778,-0.334089765761303
"MBD2",0.471369108522899,0.336774927221585
"MECOM",-0.421762808081688,-0.309894850016503
"MEF2C",0.443250696653161,0.331398116662593
"MEIS1",-0.465415894770487,-0.330987538710122
"MITF",-0.472240053090691,-0.336308865762023
"MNT",-0.461817049139943,-0.32754946168984
"MXI1",-0.435694005021171,-0.333870431157091
"MYOD1",-0.425185733128229,-0.334495996777588
"MZF1",0.465252334519691,0.332847612363386
"NANOG",0.456302045913559,0.329241664968303
"NFAT5",-0.461693935326025,-0.302380176922487
"NFATC1",0.451274235622768,0.3286055924317
"NFE2",-0.474704318036513,-0.330435434126769
"NR5A2",0.433404100320258,0.330445700759971
"ONECUT1",0.365764808008076,0.314800138140826
"PAX6",0.434837593023363,-0.336236868266208
"POU2F2",0.438426801265392,-0.329208221956746
"PPARG",0.467439562789315,0.326575595076996
"PRDM1",0.466484635264465,0.326065103123962
"PRDM14",0.467012274636936,0.328449474075331
"RARA",0.471809154741979,0.334285203138444
"RARG",-0.472468474495936,-0.335946104107593
"RBPJ",0.461563203385948,0.330406163300194
"RELA",0.474114571049169,0.334332757309679
"RFX5",0.438039623006166,0.329823892290348
"RUNX2",-0.474034687806589,-0.33667344046019
"RUNX3",0.31936934887631,0.334615002347127
"RXRA",0.308977215163693,0.328274832091398
"RXRG",0.469357372508899,0.329845124561566
"SETDB1",0.355412967757918,0.330895226386907
"SIX5",0.447138510964732,0.308028048441907
"SMAD3",-0.387754116136283,-0.33045939688554
"SP1",0.47450728698243,0.330359242602072
"SP2",-0.451349315468532,-0.335510230918425
"SP4",0.445273355040812,0.309147788621818
"SPDEF",-0.471209617391699,-0.331648556981016
"SPIB",0.444434779860477,0.32999746392316
"SREBF1",0.462651677580219,0.335466040707856
"SRF",0.462793454273483,0.328195516888939
"STAT1",0.46457869635994,0.328552577285358
"STAT2",0.456134385948284,0.328856819130538
"STAT3",0.471809154741979,0.330002422488558
