"","ND251_34","ND251_MPP"
"AR",0.578700123110754,0.689953291187712
"ARNT",0.565938262644414,-0.577531800896343
"ARNTL",0.557536050793382,0.688084829476683
"ASCL1",0.557999257339782,0.667243848047712
"ASCL2",-0.572856714397644,-0.673431919224751
"ATF1",-0.564354365490708,-0.686304901094095
"ATF2",-0.568752869608917,-0.691002147910729
"ATF3",0.532427777792905,0.685129786626596
"BACH1",0.635924702685799,0.688881192554638
"BACH2",0.565163018874321,0.691029693069171
"BATF",-0.642276873727846,-0.583285200298737
"BCL11A",0.481628552222851,0.311886620545455
"BCL6",-0.548286483030257,-0.615549973710866
"BHLHE40",0.56905273006871,0.664653773085999
"CDX2",0.56865716881122,0.683286445401062
"CEBPA",0.517288174713187,0.665646032263004
"CEBPD",-0.573093610585805,-0.686529456390509
"CLOCK",0.550307581078814,0.599536232149984
"CTCFL",0.55609466461016,-0.348466241453301
"DUX4",-0.616390909366541,-0.679188791807314
"E2F1",0.578032053219923,0.691029802288673
"E2F2",0.523413637663502,0.67733581742169
"E2F3",-0.615957104503833,-0.691698990178327
"E2F6",0.517766005614222,0.682148203437487
"E2F7",0.574308196892643,0.690198663721235
"E2F8",-0.471752737775562,-0.678064770222919
"EBF1",0.557606816760477,0.666265175776775
"EGR1",-0.576887651577382,-0.677188414781593
"EHF",-0.533451329642958,-0.62629752222453
"ELK3",0.57850183766642,0.683322618900173
"ELK4",0.559215526365249,0.670481398062053
"EPAS1",0.514362355344711,0.616790729099155
"ESR1",0.563426575628121,0.690407709848344
"ESR2",-0.511829404883916,-0.689517243247341
"ESRRA",0.57571473550279,0.6811669972741
"ETS2",-0.543286269324991,-0.689275977367098
"ETV1",0.560135208583529,0.685827174991705
"ETV4",0.568026394084198,0.684333925958352
"ETV5",-0.374811623473778,0.688372426269737
"FOXG1",0.55845622252981,-0.663487985963983
"FOXH1",-0.363327741914285,-0.688427363679317
"FOXM1",0.323332610172254,-0.377719265249828
"FOXO3",0.561659537497748,0.69046701603801
"FOXP3",0.339051588573582,-0.686081874870711
"GATA1",0.618991627495782,0.551431310653685
"GATA2",-0.564421062338209,-0.680783090724053
"GATA3",0.360500835806343,0.673227613224035
"GATA4",0.410826330189842,0.680465917289819
"GATA6",0.371326468432826,0.690689146661477
"GFI1B",-0.517288174713187,0.68421221174516
"GLI2",0.557706556082886,0.682426188914352
"GMEB1",0.655715125893512,0.677162158413277
"GMEB2",0.575147873488808,0.689678123574003
"GRHL2",0.569451197840197,0.673572572099616
"GTF2I",-0.551454154958132,-0.677746111403455
"HEY1",0.559865881818143,0.661089809667542
"HIF1A",-0.578498349849625,-0.451387404413822
"HINFP",0.557645060365695,-0.690667237229346
"HNF4A",-0.631370837745753,-0.478375281267523
"HNF4G",-0.626656104904718,-0.687791444050016
"HOXA1",0.434501783574665,-0.690977529834945
"HOXA4",-0.531772863702269,-0.690852539036688
"HOXA6",-0.577337885892892,-0.673515996397504
"HOXB13",0.624795324049234,0.667800168503848
"HOXC6",-0.356912851359681,-0.55146510316765
"IKZF1",0.560518960215728,0.45306658872763
"IRF2",-0.558991021105177,-0.690106504305323
"IRF3",-0.57622851539273,-0.685534357506449
"JUND",-0.508470056006689,-0.595014304478196
"KLF1",0.521712378534103,0.621371678989903
"KLF10",-0.57397367242908,-0.684842211677443
"KLF3",-0.349265904819377,-0.603126845126964
"KLF9",-0.654332481887905,0.423176312823877
"LHX2",-0.525520737931473,0.689992828647489
"MAF",-0.565223719124523,-0.673045544313956
"MAFF",0.578621463663542,0.690874317405416
