"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",-0.308280659582487,0.472869066417453,-0.362139701241321,-0.439619554229274
"AR",-0.427912105605039,0.308568850504334,-0.362139701241321,-0.445471450894221
"ASCL1",0.344494057597983,-0.325429409300377,0.362139701241321,0.39412725827964
"ATF1",0.444532594539587,0.418620089587831,0.362139701241321,0.401847608539263
"BACH2",-0.424885036220111,-0.43454287647836,-0.362139701241321,-0.432589049919989
"BHLHE40",0.369932505192345,0.364628919467629,0.362139701241321,0.431264526887771
"CDX2",-0.36557498496455,-0.455579903967001,-0.362139701241321,-0.387664037264063
"CEBPA",-0.412636373940108,-0.496332699558506,0.362139701241321,-0.422321998116108
"CEBPD",-0.439731284644278,-0.355989172118204,-0.362139701241321,-0.370530498823743
"CTCFL",0.328620041847001,0.339963262543908,-0.362139701241321,0.368274060757851
"DUX4",-0.383544287935436,0.465866391672843,0.362139701241321,-0.403956328825264
"E2F4",0.43703980262003,0.305497728078373,0.362139701241321,0.374416769455254
"E2F6",0.334381840450597,0.315329831458864,0.362139701241321,0.392550243636381
"E2F8",0.393059991733284,0.417840224291837,0.362139701241321,0.345634763283237
"ETV4",-0.444068802107757,-0.418816667203764,-0.362139701241321,-0.433072169343349
"ETV5",-0.44174985868656,0.352998614288937,-0.362139701241321,-0.380594977438754
"FOXP3",-0.375042644652133,-0.427736779349683,-0.362139701241321,-0.420443121993728
"GATA4",-0.338446345945841,-0.496313364055299,0.362139701241321,-0.406524267249283
"GFI1B",-0.311994409344486,-0.44357577905965,-0.362139701241321,-0.39794041448747
"GRHL2",-0.375281956412759,-0.497083561599691,-0.362139701241321,-0.448571016596112
"HES1",-0.335491689378431,0.342022493635397,0.362139701241321,-0.342736360202557
"HEY1",-0.316366751292726,-0.496194128452193,-0.362139701241321,-0.33637548370716
"HOXA4",0.439837051017285,0.498150236859914,0.362139701241321,0.442471486942062
"HOXB13",-0.366342144847699,-0.457278205665302,-0.362139701241321,-0.328874319988841
"IRF2",-0.302805654711205,-0.386378137991041,0.362139701241321,-0.380486285364107
"IRF3",0.309045196152283,-0.322577422577423,-0.362139701241321,0.313586195871425
"IRF4",-0.355089329792391,0.323006026231833,-0.362139701241321,-0.3815191343503
"MAF",0.373298441079644,-0.351980277786729,0.362139701241321,0.363914466311726
"MAFF",-0.33969754461852,-0.389336469981631,-0.362139701241321,-0.434892350178123
"MAFK",-0.334043208172633,0.48945248300087,-0.362139701241321,-0.344046072274352
"MEIS1",-0.351376760521401,0.463194869646482,-0.362139701241321,-0.437363743082341
"MXI1",0.379013928833584,-0.34673391125004,0.362139701241321,0.441164282546106
"MZF1",0.413072940126925,-0.488563049853372,-0.362139701241321,0.431674375157709
"NANOG",-0.328482636441163,-0.424204827430634,0.362139701241321,-0.364535664635972
"NFAT5",-0.444608998540993,-0.415868002964777,-0.362139701241321,-0.347490286674367
"NFATC1",-0.30625936853709,-0.422941574554478,0.362139701241321,-0.449405132272064
"NFIC",-0.407156159918025,-0.404817762882279,0.362139701241321,-0.41766720320481
"NFYB",0.434250424162833,0.371889400921659,0.362139701241321,0.433145048672421
"ONECUT1",-0.398934602180034,-0.432522316393284,-0.362139701241321,-0.400476850233762
"PBX3",0.38936720037118,-0.308481840739905,0.362139701241321,-0.371142920282552
"POU2F2",-0.325304642217652,0.35865424897683,-0.362139701241321,-0.431332547594904
"PRDM1",-0.305704547131912,0.443782024427186,0.362139701241321,0.425534487595625
"PRDM14",0.415131575911697,0.314353388546937,-0.362139701241321,-0.39023840160742
"RFX5",0.314054356785934,0.498195353034063,-0.362139701241321,0.324590582736846
"RUNX1",-0.441989273505924,-0.461706035899584,0.362139701241321,-0.351053223852386
"RUNX2",-0.370372050713613,-0.309374496471271,-0.362139701241321,-0.442175267733578
"RXRA",0.312938399285578,0.413399503722084,-0.362139701241321,0.392767314326195
"SOX17",-0.437367192126481,0.352541007379717,0.362139701241321,-0.450044041056923
"SP1",0.375694584865229,0.4805774870291,-0.362139701241321,0.396478596203065
"SP4",0.345203701335869,0.496861203312816,0.362139701241321,0.435491998163127
"SPDEF",-0.340943918268424,-0.453224195159679,-0.362139701241321,-0.449357878255473
"SPI1",0.301900864566787,0.458489897199575,0.362139701241321,0.415441640897685
"SREBF1",-0.333641400887743,-0.433663111082466,0.362139701241321,-0.448922247943314
"SRF",0.37272469434242,-0.491192678289452,-0.362139701241321,0.420775153947787
"TCF7L2",0.326465505221225,-0.32675389127002,-0.362139701241321,-0.413032548065093
"THAP1",0.370391763039665,-0.425903129128936,0.362139701241321,0.370343520243997
"TP63",-0.360039803158746,0.49734136830911,-0.362139701241321,-0.353137415934086
"TP73",-0.374719874050978,-0.332415971125649,-0.362139701241321,-0.386086709161323
"USF1",0.385043680158235,-0.384840965486127,-0.362139701241321,0.391626321819444
"ZBTB7A",0.353530472677266,0.497734523540975,0.362139701241321,0.44011184234242
"ZEB1",0.36816413903008,0.317434178724501,0.362139701241321,0.4348253482143
"ZNF143",0.335539087029334,0.321249718023912,0.362139701241321,0.332439529748088
