"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",0.472508844840595,-0.389974541587445,-0.418222701451715,0.456731934154702
"AR",0.392609699996245,-0.706957558570462,-0.418222701451715,0.450286423599737
"ARNTL",0.456902809917595,0.585040765685927,-0.418222701451715,0.473074300867813
"ASCL1",-0.462577982966686,0.698424156488673,0.418222701451715,-0.366910982209607
"ATF1",-0.350625837074112,-0.615461957397441,0.418222701451715,-0.491293976405905
"BHLHE40",-0.4444960836391,-0.672108536624666,0.418222701451715,-0.425484020619365
"CEBPA",0.409577403191012,0.519103477167993,0.418222701451715,0.409008120167826
"CTCFL",-0.469565805803748,-0.687828300731526,-0.418222701451715,-0.521313285509865
"E2F3",-0.469965233368668,0.486123553865489,0.418222701451715,-0.470130681257161
"E2F4",-0.377131945096206,-0.708249814701427,0.418222701451715,-0.516398397595139
"E2F7",-0.327218527319197,-0.712539073829396,-0.418222701451715,-0.394569549605746
"EGR2",-0.46976967472718,0.711878444136509,0.418222701451715,-0.50498345717595
"ELF1",-0.463688572043645,-0.688801521059585,0.418222701451715,-0.532204983692271
"ELK1",-0.435107957190993,0.395530276175437,0.418222701451715,-0.499340481254339
"ETV4",0.344776897622315,0.615094582836518,-0.418222701451715,0.42717286193207
"ETV5",0.338202396541967,-0.681457252424994,-0.418222701451715,0.345098042288818
"FOXA1",0.317464073899299,0.699204021784667,0.418222701451715,0.524192410832533
"FOXD2",-0.371922616284747,0.607724533530985,-0.418222701451715,-0.429756238235474
"FOXH1",0.419721221895326,-0.675933743675679,-0.418222701451715,0.407491368109573
"FOXP1",-0.3849793246603,-0.521897457381328,0.418222701451715,0.484548250034089
"GATA4",0.465556211878368,0.520830782121105,0.418222701451715,0.487579873393716
"GFI1B",0.472721295746281,0.592981212336051,-0.418222701451715,0.494016371988634
"GMEB2",-0.466690110968263,-0.416451290644839,0.418222701451715,-0.533879562598642
"GRHL2",0.43969878366563,0.515597305919887,-0.418222701451715,0.44222071935816
"GTF2I",-0.404151810300529,-0.708568850504334,-0.418222701451715,-0.49290891964623
"HIF1A",-0.467265525383262,-0.622329283619606,-0.418222701451715,0.403311385945417
"HNF4A",0.333461132415513,-0.556414553188747,-0.418222701451715,-0.464329878487433
"HOXA4",-0.369893698892674,-0.498810866552802,0.418222701451715,-0.438348632768114
"HOXB13",0.447726403595026,0.578692275466469,-0.418222701451715,0.53365418523261
"IRF2",0.471007878629784,0.650043504882215,0.418222701451715,0.511110727993969
"KLF9",-0.465297703085384,-0.61077632045374,-0.418222701451715,-0.474302278380229
"KMT2A",0.460691867510777,0.601405046566337,-0.418222701451715,0.457240600525672
"MAFK",0.467448838772778,-0.433302181689278,-0.418222701451715,0.533123341603439
"MAX",-0.339965094473595,0.529251393767523,0.418222701451715,-0.451495671908232
"MEF2A",0.384868114912087,0.713289935870581,0.418222701451715,0.4908493341337
"MEIS1",0.458736468475421,-0.572775611485289,-0.418222701451715,0.459002556262058
"MXI1",-0.436723843264616,0.684724952466888,0.418222701451715,-0.455157583917021
"MZF1",-0.409174256142518,0.428265283103993,-0.418222701451715,-0.464162256030569
"NANOG",0.469604471568776,0.609397054558345,0.418222701451715,0.523725199477776
"NFATC1",0.472520940188948,0.610740872031195,0.418222701451715,0.444977830578286
"NFYA",-0.423186440824059,0.589056105185137,-0.418222701451715,-0.51731079977619
"NFYB",-0.382164706181058,-0.665083303792981,0.418222701451715,-0.42773324911722
"NKX2-1",0.318390281523449,-0.604034675002417,-0.418222701451715,0.417168410807456
"NR2C2",-0.4262362768213,-0.507212142696014,0.418222701451715,-0.532117998686605
"PAX5",-0.391562295295188,-0.565379781508814,-0.418222701451715,-0.512605067699411
"PGR",0.446921486737547,0.495420708323934,0.418222701451715,0.522509446885075
"POU2F1",0.46270349914165,0.346266636589217,0.418222701451715,-0.433355301618548
"PRDM1",0.472173398014559,-0.593032773677935,0.418222701451715,-0.469167733734979
"RBPJ",-0.368146085012826,0.645470658373884,0.418222701451715,-0.482722662023287
"RFX2",-0.437083265300903,-0.612503625406851,-0.418222701451715,-0.528032524555632
"RUNX3",0.472211426689201,0.71259063517128,0.418222701451715,0.533131021360696
"RXRA",-0.472802440449674,-0.620779220779221,-0.418222701451715,-0.365716153037187
"SETDB1",-0.369913823453682,-0.355557345879926,-0.418222701451715,-0.373963036858133
"SNAI2",0.472034362406852,-0.71310624859012,0.418222701451715,-0.433340255563514
"SOX17",0.327732265763472,-0.681199445715575,0.418222701451715,0.442391633139563
"SP1",-0.439355279520011,-0.406300151461442,-0.418222701451715,-0.495656078527869
"SP4",-0.462326444692041,-0.519155038509877,0.418222701451715,-0.461048349557474
"SREBF1",0.467554651990665,0.60174341787245,0.418222701451715,0.44222111118251
"SRF",-0.442002399441665,0.437820244271857,-0.418222701451715,-0.472536169305734
"STAT3",0.463441690150201,0.694173568367117,0.418222701451715,0.523263081839568
"TFAP4",-0.346697547124721,-0.54903483613161,0.418222701451715,-0.485188099197387
"THAP1",-0.444189174714754,0.608365827720666,0.418222701451715,-0.519765265868494
"TP63",0.452774586014803,-0.51301923882569,-0.418222701451715,0.530217493860112
"TP73",0.440111852459985,0.694231574876736,-0.418222701451715,0.50655733722441
"USF1",-0.432074947875115,0.652872933518095,-0.418222701451715,-0.501414642632684
"YY1",-0.465907548488141,-0.381183332796236,-0.418222701451715,-0.419887906889996
"ZBTB33",0.379848535976834,-0.695127453191969,0.418222701451715,-0.487952968539639
"ZBTB7A",-0.45737049984355,-0.496658180529148,0.418222701451715,-0.4562027361878
"ZNF143",-0.466763545004194,-0.701037672005414,0.418222701451715,-0.53441738070124
"ZNF250",-0.329918947346798,0.56871515581193,-0.418222701451715,0.30508407766899
