"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",-0.711853621738217,0.733453643131062,-0.358628760782664,-0.774272891553991
"AR",-0.807237257776537,0.638194064000515,-0.358628760782664,-0.779688139163471
"ARID3A",-0.310349760513742,-0.76904385936644,-0.358628760782664,-0.776499786063905
"ARNTL",-0.758735501128622,-0.43229995810641,-0.358628760782664,-0.753281215470479
"ASCL1",0.749131597788256,-0.655035287293352,0.358628760782664,0.641036626172926
"ASCL2",0.671886674549567,0.308185363024073,0.358628760782664,-0.631641932101542
"ATF1",0.790296574709306,0.7421320614869,0.358628760782664,0.735711733258521
"BACH2",-0.732777159672582,-0.629554316651091,-0.358628760782664,-0.766414227298873
"BARX2",0.543911133948511,0.684399471496246,0.358628760782664,0.33154507312226
"BHLHE40",0.773144846082828,0.694218684541265,0.358628760782664,0.740538617424272
"CDX2",-0.607713852914427,-0.680484032096935,-0.358628760782664,-0.723503191801154
"CEBPA",-0.804679827064626,-0.807022010247817,0.358628760782664,-0.715646878492134
"CEBPD",-0.802381738984584,-0.441610002900325,-0.358628760782664,-0.70782833705044
"CTCFL",0.733486662875823,0.670780832071155,-0.358628760782664,0.705574406660387
"DUX4",-0.644904425784931,0.783200670297444,0.358628760782664,-0.737821707382441
"E2F4",0.804261211836324,0.636118719989688,0.358628760782664,0.711443778691338
"E2F6",0.539697090223171,0.64446198962328,0.358628760782664,0.72750450206178
"E2F7",0.419841191636343,0.623157487673617,-0.358628760782664,0.383721814115394
"E2F8",0.664156781947782,0.741442428539203,0.358628760782664,0.520165553624297
"EGR2",0.73270643327079,-0.623144597338146,0.358628760782664,0.723755996871674
"EHF",0.42071862437008,0.662563243208404,0.358628760782664,0.780504936203159
"ELF1",0.684099425543563,0.570748606232477,0.358628760782664,0.659041503602433
"ELK1",0.782643863733955,-0.74124585092327,0.358628760782664,0.574592385128855
"ESR2",0.746871791345216,0.613222261609358,0.358628760782664,0.39959305123025
"ETS2",0.449008791589676,0.804737198285585,0.358628760782664,0.705285867209161
"ETV1",-0.31341015534723,0.788082884857078,-0.358628760782664,0.637412015842242
"ETV4",-0.783671237563767,-0.742199735748123,-0.358628760782664,-0.744312983021467
"ETV5",-0.775473608191146,0.681901968998743,-0.358628760782664,-0.604543124971593
"ETV7",-0.628176568382436,0.647307531178499,-0.358628760782664,0.531553223068737
"FOSL1",-0.675608266144696,0.728245947600786,-0.358628760782664,-0.404566556067714
"FOXA1",-0.401586125520532,-0.654087847636235,0.358628760782664,-0.701463463946674
"FOXA2",-0.351710567776591,-0.788150559118301,-0.358628760782664,-0.774844798375026
"FOXD2",0.50085804597961,-0.74837742902259,-0.358628760782664,0.444172631539352
"FOXH1",-0.593535303321426,0.689101221359286,-0.358628760782664,-0.713317639462041
"FOXP1",0.5259301197573,0.807038123167155,0.358628760782664,-0.743835584233615
"FOXP3",-0.77745935334061,-0.61097612065354,-0.358628760782664,-0.753700937714034
"GATA4",-0.743277655303137,-0.80693177789952,0.358628760782664,-0.740385884292702
"GFI1B",-0.715968935191723,-0.763268989075441,-0.358628760782664,-0.732244322856995
"GLIS1",-0.322850466993108,0.723747220521414,-0.358628760782664,-0.684247955852367
"GRHL2",-0.777652485417247,-0.806935000483388,-0.358628760782664,-0.777089089886073
"GTF2B",0.434349707204267,0.714008572073088,0.358628760782664,0.544826351284635
"GTF2I",0.806455491659398,0.598350037059714,-0.358628760782664,0.733183525823575
"HES1",-0.7404376187913,0.414752988946537,0.358628760782664,-0.679879976365155
"HEY1",-0.499100098118946,-0.806993006993007,-0.358628760782664,-0.672108532210312
"HIF1A",0.739498285231409,0.736305629854017,-0.358628760782664,-0.400008620135697
"HNF4A",-0.430513851574664,0.375698495053334,-0.358628760782664,0.765154433649248
"HOXA4",0.802246563395096,0.802581289678064,0.358628760782664,0.765311320118926
"HOXB13",-0.769890504071769,-0.774847732912249,-0.358628760782664,-0.662767596439727
"IKZF1",-0.40347409603374,-0.685959202088234,-0.358628760782664,-0.529650524025885
"IRF1",0.375356777057176,0.57025877348458,0.358628760782664,0.739762099927748
"IRF2",-0.705141752727936,-0.716087138667784,0.358628760782664,-0.717096628586564
"IRF3",0.481597417010721,-0.652560342882924,-0.358628760782664,0.643063768629289
"IRF4",-0.585905424541223,0.652943830363185,-0.358628760782664,-0.718034185890875
"KLF9",0.687456385951604,0.744938932035706,-0.358628760782664,0.751521610680191
"KMT2A",-0.752823836380761,-0.455692694402372,-0.358628760782664,-0.773658040784213
"MAF",0.623110004031236,-0.681702168798943,0.358628760782664,0.562994932927508
"MAFF",-0.551287656872675,-0.517134478424801,-0.358628760782664,-0.749544935200089
"MAFK",-0.739021882157532,0.767751603235474,-0.358628760782664,-0.68162288943814
"MAX",0.777904108012679,-0.328951693467822,0.358628760782664,0.77872370270876
"MEF2A",-0.805904876924561,-0.616670426347846,0.358628760782664,-0.736266243078423
"MEF2C",-0.322045896787751,-0.596071670265219,0.358628760782664,-0.530240689861623
"MEIS1",-0.755925454709795,0.780168218877896,-0.358628760782664,-0.771848752666365
"MXI1",0.780884716644331,-0.676616931455641,0.358628760782664,0.775881879064198
"MYBL2",-0.672675879633858,-0.775843511327382,-0.358628760782664,-0.408498199958937
"MYC",0.538775089269363,0.624668879507589,0.358628760782664,0.707391766359842
"MZF1",0.804812416816666,-0.764261544906706,-0.358628760782664,0.765384277812868
"NANOG",-0.733343120790534,-0.745912152363765,0.358628760782664,-0.702171255452236
"NFAT5",-0.788164233188292,-0.739827914021462,-0.358628760782664,-0.525054659496804
"NFATC1",-0.709501371606413,-0.745042054719474,0.358628760782664,-0.781304179511975
"NFIC",-0.693957209402639,-0.731236505430054,0.358628760782664,-0.701748790438232
"NFYA",0.794462021554782,-0.765888949759917,-0.358628760782664,0.61260765374012
"NFYB",0.805338522309605,0.702023782668944,0.358628760782664,0.744752845036604
"NKX2-1",-0.746291355158941,0.459427669105088,-0.358628760782664,-0.727741555793436
"NR2C2",0.606505461094284,0.806003673745609,0.358628760782664,0.658736664258253
"NR5A2",-0.394667942284015,-0.380400244916374,-0.358628760782664,-0.696294752218118
"ONECUT1",-0.67664275102749,-0.753501337372305,-0.358628760782664,-0.658467245835299
"PAX5",0.538839369815487,0.786526376848957,-0.358628760782664,0.602537846313952
"PBX3",0.656573748048881,-0.638245625342399,0.358628760782664,-0.57918072663042
"PGR",-0.648762888754252,-0.80032870355451,0.358628760782664,-0.624745274990165
"POU2F1",-0.68251412917743,-0.697689407366827,0.358628760782664,0.451679124068829
"POU2F2",-0.519460897863192,0.687783184557378,-0.358628760782664,-0.765109844038236
"PRDM1",-0.708806174829922,0.763294769746383,0.358628760782664,0.758799826343448
"PRDM14",0.711308412902683,0.343778801843318,-0.358628760782664,-0.725718880134662
"RARG",-0.710250346306641,-0.806857658470562,0.358628760782664,-0.569788540234875
