"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.3936263001167,0.820516408969671,-0.882434101090916
"AR",-0.768737270133537,0.593372266247474,-0.614978343492187
"ARID3A",0.650002227093934,0.448667626104554,-0.735497720636152
"ARNTL",0.452445713573044,0.74528081391279,-0.757922812153303
"ATF1",-0.587069411634177,0.37579649625066,0.433092251912348
"BACH2",0.832112588911664,0.816302178750891,-0.88545828552768
"BARX2",-0.477336525231355,0.450003798181611,-0.32417802217988
"CDX2",0.587726363852079,0.631706123483223,0.874966797242312
"CEBPA",0.837305362113326,0.823612744110356,-0.76774995371295
"CEBPB",-0.6786986968666,0.814731866211382,-0.511480208823842
"CLOCK",0.365761710667294,0.392394917197245,0.750497640453861
"CTCF",-0.411778492427476,0.798769964075643,0.30333164707546
"CTCFL",0.808575688394735,-0.549111648706263,0.831118892842929
"CUX1",0.696616841851225,0.549951454075406,-0.450834989219127
"E2F2",-0.786954250631482,-0.803527938460408,0.717532951276866
"E2F3",-0.429451576094131,0.440427568250822,-0.834360589966717
"EGR1",0.788946001475551,-0.422548422823052,-0.821293209143114
"EGR2",-0.512546313430672,0.364441918829638,-0.804132741053479
"ELF1",-0.541202290586357,0.399542397634747,-0.30809345464671
"ELK1",-0.818354169484278,0.823331652054625,0.882929773434003
"EPAS1",-0.676985373256894,-0.425809695397546,0.552923810787288
"ETV5",0.82442806203145,-0.784664044581656,-0.768820897545985
"ETV7",0.739257187237051,-0.321915571772723,0.841195328433952
"FOS",-0.80316619870699,-0.829173388454433,-0.684498576399873
"FOSL1",-0.749904153975606,-0.833360916950776,-0.773983324999235
"FOSL2",-0.597440380695388,-0.637313485194944,0.762307471385856
"FOXA2",-0.811698479016321,0.78641781967341,-0.876455855275339
"FOXK1",0.649245825008726,0.305379838123469,0.704487000992803
"FOXM1",-0.492967323267949,0.821834503086322,-0.40416947912126
"FOXP2",-0.791129525353642,0.422385039795734,-0.877460029128039
"GATA1",0.732261682727388,0.79222525266425,0.664203126526197
"GATA2",0.796765773696482,0.744923279126956,0.725365594799522
"GATA3",-0.836362370049069,0.666008893653843,-0.618376177404047
"GLIS1",-0.83871369533193,0.323741211548069,-0.380937607972744
"GMEB2",0.811420375722894,0.827049025820981,0.879191383465245
"HES1",-0.815585284335107,-0.832972421794589,-0.860198677137988
"HEY1",-0.794958021303976,-0.352689860505326,-0.789403254234718
"HNF1B",-0.775025287639305,0.507259190095663,0.791315091619201
"HOXA4",0.589083352432351,-0.633325027195459,0.395951523244846
"HOXA6",0.673363875564568,-0.37260953708231,-0.673728928458444
"HSF1",0.702363230112254,0.575985399225618,-0.824499334486986
"IRF3",-0.756128841028415,-0.672993054943745,-0.875871836626396
"JUN",0.357855122275555,0.454998297871661,0.705805052067464
"KLF10",0.624110761884786,0.329121587325838,0.739205203976459
"KLF3",-0.733219576074694,-0.773749832648445,-0.688269622428882
"KMT2A",0.437425868141462,0.74650402535386,-0.858191058362503
"LHX2",-0.727961042863055,-0.811703882369757,-0.637376318816451
"MAFK",-0.816589177295304,0.617355438200232,-0.532189545103996
"MAX",0.597318740873976,0.484133262675267,0.879237160263989
"MECOM",-0.840418272536368,-0.790144094013912,-0.869482911695972
"MEF2A",-0.82142966472923,-0.832926790382163,-0.885432189836676
"MEF2C",-0.816925913898119,0.721323811351479,-0.882267905069999
"MEIS1",-0.402166840919895,-0.822880427014627,-0.88541046772517
"MNT",-0.837225186731703,0.591400235449997,0.734470221026129
"MXI1",0.824488800956921,-0.494863799123836,0.725266751902872
"MYC",-0.741278740647218,0.73085760385578,0.868254373215033
"NANOG",-0.723564030570306,0.311809800266751,-0.873847306676852
"NFATC1",-0.724823188987952,0.830615622157852,-0.863627126106333
"NFIC",-0.325227629246359,-0.309112521729086,-0.884536334969538
"NKX2-1",-0.790489903975808,-0.598936977600311,-0.698816363601905
"NR5A2",0.727209013980481,-0.804718464778719,0.859010521374412
"ONECUT1",-0.62567831207336,0.676757209957464,0.603826298916664
"OTX2",-0.840489053630851,0.752945123861444,0.851336493001544
"PAX6",-0.838691991289228,-0.833080889557024,-0.880012012765021
"PGR",-0.713626494481261,-0.662719599176058,-0.416457633864334
"PPARG",-0.349097379074873,-0.31345257370056,-0.783175714387764
"PRDM1",-0.524815576375959,0.463963326653467,0.88160137155453
"PRDM14",-0.83869571660999,-0.819706478015662,0.646526284483852
"RFX5",-0.683974236977372,0.483560453237251,-0.693961398787352
"RUNX3",-0.70652473734464,0.386789940328358,-0.714660530048678
"RXRG",0.801372699715661,0.309724617194131,0.782998438632119
"SETDB1",-0.82431954181794,-0.800656949674227,-0.767648486668601
"SMAD3",0.835925373726608,-0.818865607984539,-0.828918399211589
"SOX17",-0.820312392441486,0.401557142670827,-0.864220183486239
"SP1",-0.83803860242162,-0.810302808498451,0.341358171377255
"SPDEF",-0.816943244738187,-0.727067151691176,-0.885386121465966
"SPIB",0.840572792362768,0.739740951770546,0.639032156014328
"SRF",-0.815988914741175,-0.7555877426531,0.863333658922029
"STAT1",-0.373519934110414,-0.414940433493095,-0.880129953625479
"STAT2",-0.796101370837055,0.731550656217719,-0.872366558444872
"STAT3",-0.586836660071769,0.398101888683734,-0.681217808632571
"STAT4",0.797110932763629,0.345107167543993,0.434023241201451
"TBX21",0.699736878974856,-0.738205900835786,0.761156345262028
