"","ND251_34","ND251_HSC","ND251_MPP"
"AR",-0.31555145362252,-0.377732379361885,-0.451150651966841
"ARNTL",-0.30235640475954,-0.391414292532997,-0.415882131518063
"BACH1",0.366849111821161,0.308876344149451,0.538047931986517
"BACH2",-0.313623415287619,-0.379261501930552,-0.348239158322772
"E2F8",0.3761039684255,0.353119828241979,0.346849221920104
"EHF",0.307615576182048,0.342742231769341,0.383661418014883
"ETV4",-0.330727113063424,-0.354839566452572,-0.359802264305286
"GFI1B",-0.31017019776899,-0.310222558227678,-0.437879110539439
"HOXA4",0.312828016721868,0.375746649567857,0.384043796385911
"HSF1",-0.372307863055148,-0.383961714191433,-0.562007517365291
"LHX2",0.369251663327356,0.311332340612698,0.551845318474234
"MEF2A",-0.36943079837766,-0.300940551124174,-0.538842110121231
"MXI1",0.3710796196885,0.330565952140605,0.567881323875902
"NKX2-1",-0.330298746638784,-0.388718034515114,-0.376998420046281
"NR2C2",0.305116058094276,0.382125763993623,0.323837204852007
"NR2F2",0.315269900054325,0.359104241654533,0.384634518110376
"RARA",0.316029471610015,0.361117029478846,0.400567149703601
"SOX17",-0.314573415190263,-0.357557440066077,-0.542953276010986
"SP1",0.333843284090666,0.352607871811811,0.352271085919418
"SP2",-0.31317090457359,-0.311592036046229,-0.42425097185966
"TAL1",-0.307759468358325,-0.321976877241262,-0.323980621674526
"TBX21",0.339728844053203,0.359110253232691,0.385457818437145
"TEAD4",0.301839054945782,0.349136879069635,0.546850912403513
"YY1",0.322081120918106,0.340456812354161,0.358067200006702
"ZNF384",-0.311518578446549,0.330017072526252,0.456822597803753
