"","ND251_34","ND251_HSC","ND251_MPP"
"BHLHE40",-0.461600260135247,-0.333016292740379,-0.314245481777923
"CTCF",0.471951734786664,-0.512107656337641,-0.360908010001578
"CTCFL",-0.486645871423871,-0.49708418895066,-0.481413496455508
"E2F1",0.369489796117053,-0.524122038356596,-0.324645894215981
"E2F6",0.505902305195501,-0.441807870080666,-0.364089858817458
"EGR1",0.480151057578289,-0.347715573621646,-0.476330227805605
"ELK1",0.494330180945872,-0.442289495905457,-0.483747709962216
"EPAS1",-0.480079598270179,0.511293520283533,-0.43502024877483
"ETV5",0.471954655466832,-0.509088646529935,0.378583485109073
"FOXP3",0.450645372961122,0.528663175010854,0.312403403396889
"GMEB2",-0.353720849178023,-0.348056668432,-0.471885951910833
"MAFK",0.474063386548126,0.493081248613083,0.356412171869503
"MITF",-0.451685913948974,0.508275719905752,0.419894411608425
"MNT",-0.461468440103665,0.486071499481457,-0.409168917714872
"MZF1",0.464314740283384,-0.52857804062985,-0.316396534648639
"NANOG",0.486666705609069,-0.453813418518305,0.454165746313144
"NFATC1",0.45742680288719,-0.510897882554987,0.333579874630459
"PAX6",-0.486556693322741,-0.479985090811884,-0.402930236068528
"SETDB1",0.429683846107415,-0.494963062290799,-0.335127589484605
"SPIB",-0.479874761234396,0.418119963709988,0.446614371886553
"SRF",-0.469303067298312,-0.380410839788418,-0.402296279856885
"STAT2",0.502509643112355,0.519089754581175,0.441189116947069
"TBP",-0.454272273593741,-0.357153051756309,-0.462046540603978
"THAP1",-0.418484595359234,-0.510584616490067,-0.326467178155085
"TP63",-0.487887355207281,0.516615154239962,0.39276534437204
"ZBTB7A",0.432404167615888,-0.523223431922227,-0.453492345488632
