"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.507164623164109,0.423667405347732,0.313973059628611
"BHLHE40",-0.530803634883825,-0.411514685888223,-0.381506924337229
"CTCF",0.5213369316113,-0.500253310354955,-0.412389463142113
"CTCFL",-0.503308546494308,-0.431891920124742,-0.458340292864033
"ELK1",0.491408137793796,-0.370104658967143,-0.442102227321598
"EPAS1",-0.513138582379731,0.450293775864533,-0.457144088852007
"FOXP3",0.547672315262112,0.472886614580946,0.380198171031592
"MAFK",0.518968649419077,0.426913325552272,0.40948103381089
"MITF",-0.545697351332512,0.444288126285353,0.448913379455605
"MNT",-0.53157196848002,0.419006416559325,-0.442974796014379
"MZF1",0.52823382576001,-0.499408962267031,-0.382884144714256
"NANOG",0.503381758210519,-0.384996938778716,0.363255488068366
"NFATC1",0.538672726104455,-0.499854222193976,0.395136409419723
"RFX5",0.48358188321563,0.409121473066677,0.342222832591453
"SETDB1",0.550245239778106,-0.429344149273058,-0.395847908454389
"SPIB",-0.51362029989544,0.336322174583463,0.463000591594393
"STAT2",0.469070386444929,0.50096687401078,0.330241743366118
"TBP",-0.542082328132576,-0.425926810162365,-0.386811302232976
"TCF7L2",0.433145436242526,-0.389997670661678,-0.377058060699874
"TP63",-0.501631686653855,0.500544735538286,0.432773501577822
"ZBTB7A",0.550936467417866,-0.500922397818141,-0.465224649412316
