"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.431495500595906,-0.758598844203245,0.547760227391094
"ARNTL",0.34242421828097,0.727387291020191,0.624543264805173
"BCL6",0.395716837252376,0.598910203614343,0.625111981173187
"CEBPD",0.384869807618313,0.681185110316733,0.519083545513874
"DUX4",0.376003724937633,0.754030507976433,-0.642724072415506
"E2F3",-0.566430429009897,-0.414857387940344,-0.542184524864667
"EBF1",-0.471558685811259,-0.771981540401624,0.597832948585207
"ESR2",0.576294483783539,-0.769507701324621,-0.327651259149111
"ETV7",0.388021476037,0.383228473200005,-0.450275514869992
"FOXM1",0.528041731674202,0.770146559266196,-0.48324248669297
"FOXP1",0.558026214225156,0.595535854647109,0.601800544073609
"FOXP3",0.525120786304902,0.745598693833472,0.604918509269014
"GATA4",0.547982942522637,0.561283371837109,0.32059288663468
"GLIS1",-0.34395567005526,0.414920398001449,0.342856787749606
"GMEB1",-0.373485220930325,-0.596567938088663,-0.306767984888532
"HES1",0.589664235396562,0.76547868850218,-0.487634871476043
"HEY1",-0.585690109372005,-0.764945559307205,-0.528048056879114
"IRF2",0.309821265794546,0.768134936366246,0.429481377714745
"KLF10",-0.4602136543241,-0.7039257617596,-0.621191356468917
"KMT2A",0.381843084893241,0.771237380900305,0.394389146940959
"NFAT5",0.378225471206016,0.573763208617555,0.384330363461996
"NFATC1",0.324250150089491,0.764105709950378,0.620889188363543
"PAX6",-0.572156091196296,-0.772336532678086,0.608432540388809
"PRDM14",-0.437289259591316,-0.615401538556177,0.490676044808617
"RXRA",0.498609756543363,0.55641707277897,-0.602804406376588
"SETDB1",-0.56540161885752,0.753382038330622,-0.633287550407586
"SMAD3",-0.586420474596797,-0.465952353286947,-0.615143663185831
"STAT3",0.555244555653089,0.752516984949353,0.642323436683244
"STAT5B",0.469180312195515,0.562188367189316,0.525570059668805
"TP63",0.575662350431897,0.749970310513581,0.416260243439114
"TP73",0.574222709840575,-0.772329484094979,0.460775958944751
"VDR",0.422466604209442,-0.640399018153733,-0.385583540800887
"ZNF143",-0.45687648888541,0.33801288053805,-0.643384972427434
