"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",-0.557590497753461,0.879407500375924,-0.516693484293165
"AR",-0.441904189242579,-0.881768348529794,-0.776910761356639
"ARNTL",-0.605649270033139,-0.888282520880893,-0.744449578573432
"ASCL2",0.302360611268452,0.868665886908261,0.566910566075902
"BACH2",-0.494628038169831,-0.878087065807281,-0.401819980671582
"BCL6",-0.510576845116549,-0.772289328530614,-0.743915050254563
"CEBPD",-0.496197732887103,-0.85126357599825,-0.468077275013623
"DUX4",-0.48413250617347,-0.88391047701393,0.721385440067129
"E2F3",0.739737979600952,0.583511826240892,0.806429807174391
"EBF1",0.608913652027649,0.867041295298894,-0.773971153893192
"EGR1",0.536078701727072,-0.87017022541796,0.310872217234587
"ESR2",-0.825869523139558,0.87115104643692,0.664188304879286
"ETV1",-0.516706401521844,0.862996903749675,0.335499269805156
"ETV4",-0.352163983489922,-0.891043429524422,-0.579039786720027
"ETV7",-0.500187277941367,-0.309127359780187,0.766386605189162
"FOSL1",0.813786206014171,-0.560835893606551,-0.47838461785966
"FOXK1",-0.370943658677985,0.838502436673821,0.495361084224105
"FOXM1",-0.860049622093173,-0.859967294574385,0.786429221729902
"FOXP1",-0.852519089836703,-0.58690945689172,-0.611508446647533
"FOXP2",-0.698182429148621,-0.42502977492379,-0.731649371726985
"FOXP3",-0.859074567646189,-0.892141299741637,-0.617107014122138
"GATA3",-0.433856721126929,0.400053868262409,-0.801222262528979
"GATA4",-0.861563124054764,-0.734129581151832,-0.657363640850646
"GATA6",-0.33046172261025,-0.615216139461129,-0.594276683531737
"GFI1B",-0.426937794760061,-0.666681902997826,-0.439524717708968
"GLIS1",0.440133062945728,-0.583585088786516,-0.678274878835462
"GMEB1",0.653100841860275,0.588174357169221,0.643651878638471
"HES1",-0.801485100952465,-0.874915844189575,0.416352116861084
"HEY1",0.77449570633919,0.875282156917693,0.4828741896098
"HNF4G",-0.402527783544943,-0.490135187552117,-0.392947501816489
"HOXB13",-0.334980107577024,0.830569149590584,-0.55495393224013
"IRF2",-0.392737824473328,-0.856886850163356,-0.324520908939161
"JUNB",0.712987697114017,0.351104021707927,0.586325392831463
"KLF10",0.594784993581653,0.871865730045248,0.747441032873623
"LHX2",0.377793691507864,0.853383063579074,-0.608564352897507
"MAX",0.350163118337069,0.801322442346862,0.771725011791417
"MITF",-0.462661671338461,-0.469820957445354,-0.477927143899114
"MZF1",0.442629211703278,0.519061291061201,0.551847667980112
"NFAT5",-0.660877797393949,-0.746466096742444,-0.715238587123586
"NFATC1",-0.412158068956338,-0.875784742252539,-0.747720662161581
"NFIC",-0.343597657994673,-0.879351752491354,-0.784452002281802
"PAX6",0.833017719698912,0.865951114445067,-0.623107931504108
"POU2F2",-0.606014124581073,-0.883386105149481,-0.575148223448412
"PRDM14",0.565346410295225,0.789118141087857,-0.421617024725763
"RBPJ",0.41973406157395,0.568467373176767,0.798926962180644
"RUNX2",-0.534125124723078,-0.892514447459434,-0.782980380967661
"RXRA",-0.643994944057979,-0.729695381597474,0.765945417880692
"SETDB1",0.737839329961143,-0.885145260618156,0.67539910152566
"SIX5",0.863355293343525,0.40631172850054,0.744789780684619
"SMAD3",0.808823996696859,0.414282180840157,0.752754116615372
"SOX17",-0.521143004704913,-0.696741119639659,-0.720986820777504
"STAT3",-0.723655462952852,-0.886513326521127,-0.701886459643366
"STAT4",-0.379568239048388,-0.459036838885623,-0.427387085277507
"STAT5B",-0.805008185208323,-0.543150784998565,-0.803637909105686
"TBX21",0.832274888024569,0.888301957882794,0.462493097064588
"TCF4",-0.529457939089677,-0.561964948464178,0.623741691073113
"TFAP4",0.522992960205312,0.889801383743661,0.372961250216708
"TP63",-0.828091972403217,-0.889328701488661,-0.304520506446074
"TP73",-0.830934276034375,0.865467752518694,-0.773263104122933
"VDR",-0.54498705785698,0.8138317550203,0.716276199983224
"YY1",0.406735960129857,0.879272082142906,0.658095899864174
"ZKSCAN1",-0.389923031390614,-0.77535054953317,-0.393838196745064
"ZNF143",0.788770494069766,-0.496859535835851,0.708405276652549
