"","Celltype","Sample Names","Num of Samples","Protein","Num of TFs","Correlated TFs"
"1","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD35","133","AHR,AR,ASCL2,ATF1,ATF3,BACH2,BATF,BCL11A,BCL6,CDX2,CEBPA,CEBPB,CEBPD,CUX1,DUX4,E2F1,E2F2,E2F3,E2F4,E2F6,EGR1,EGR2,ELF1,ELK1,EPAS1,ESR1,ETS2,ETV1,FOS,FOSL1,FOSL2,FOXG1,FOXH1,FOXK1,FOXM1,FOXO3,FOXP1,FOXP2,GATA3,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GTF2I,HES1,HIF1A,HINFP,HNF1B,HNF4A,HOXA1,HOXA4,HOXB13,HSF2,IKZF1,IRF1,IRF2,IRF4,JUN,JUNB,KLF10,KLF3,KLF9,KMT2A,MAFF,MAFK,MAX,MECOM,MITF,MNT,MXI1,MYBL2,MYC,MZF1,NANOG,NFATC1,NFIC,NFYA,NR2C2,NR2F2,NR5A2,ONECUT1,OTX2,PAX5,PAX6,PBX1,PBX3,PPARG,PRDM1,PRDM14,RARA,RARG,RELA,RFX5,RUNX1,RXRA,RXRG,SETDB1,SMAD3,SP1,SP2,SP4,SPI1,SPIB,SREBF1,SRF,STAT1,STAT2,STAT4,STAT5B,T,TBP,TBX21,TCF12,TCF21,TCF4,TCF7L2,TEAD4,TFAP2C,TFAP4,TFDP1,THAP1,TP73,USF1,USF2,VDR,YY1,ZBTB33,ZBTB7A,ZBTB7B,ZFP42,ZFX,ZKSCAN1"
"2","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD371","164","AHR,AR,ARNT,ASCL2,ATF1,ATF3,BACH2,BATF,BCL11A,BCL6,BHLHE40,CDX2,CEBPA,CEBPB,CEBPD,CTCF,CUX1,DUX4,E2F1,E2F2,E2F3,E2F4,E2F6,E2F8,EBF1,EGR1,EGR2,ELF1,ELK1,ELK4,EPAS1,ESR1,ESR2,ETS2,ETV1,ETV5,FOS,FOSL1,FOSL2,FOXG1,FOXH1,FOXK1,FOXM1,FOXO3,FOXP1,FOXP2,GATA1,GATA3,GATA6,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,GTF2B,GTF2I,HES1,HIF1A,HINFP,HNF1B,HNF4A,HNF4G,HOXA1,HOXA4,HOXB13,HSF2,IKZF1,IRF1,IRF2,IRF4,JUN,JUNB,KLF10,KLF3,KLF9,KMT2A,MAFF,MAFK,MAX,MECOM,MEF2A,MITF,MNT,MXI1,MYBL2,MYC,MYOD1,MZF1,NANOG,NFATC1,NFIC,NFYA,NKX2-1,NR2C2,NR2F2,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX1,PBX3,POU2F1,POU2F2,PPARG,PRDM1,PRDM14,RARA,RARG,RBPJ,RELA,RFX5,RUNX1,RUNX2,RUNX3,RXRA,RXRG,SETDB1,SMAD3,SP1,SP2,SP4,SPI1,SPIB,SREBF1,SRF,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,T,TBP,TBX21,TCF12,TCF21,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP63,TP73,USF1,USF2,VDR,VEZF1,YY1,ZBTB33,ZBTB7A,ZBTB7B,ZFP42,ZFX,ZKSCAN1,ZNF143,ZNF250,ZNF384,ZNF76"
"3","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD38.1","157","AHR,AR,ARNT,ASCL2,ATF3,BACH2,BCL11A,BCL6,BHLHE40,CDX2,CEBPA,CEBPB,CEBPD,CTCF,CUX1,DUX4,E2F1,E2F2,E2F3,E2F4,E2F6,E2F8,EBF1,EGR1,EGR2,EHF,ELF1,ELK1,ELK4,ESR1,ESR2,ETS2,ETV1,ETV5,FOS,FOSL1,FOSL2,FOXA2,FOXG1,FOXH1,FOXK1,FOXM1,FOXO3,FOXP1,GATA1,GATA2,GATA4,GATA6,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,HES1,HIF1A,HINFP,HNF4A,HNF4G,HOXA1,HOXA4,HOXA6,HOXB13,HSF2,IRF1,IRF2,IRF4,JUN,JUNB,KLF10,KLF3,KLF9,KMT2A,MAFF,MAFK,MAX,MECOM,MEF2A,MITF,MNT,MXI1,MYBL2,MYC,MYOD1,MZF1,NANOG,NFATC1,NFIC,NFYA,NKX2-1,NR2C2,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX1,PBX3,POU2F1,POU2F2,PPARG,PRDM1,PRDM14,RARA,RARG,RBPJ,RFX5,RUNX1,RUNX3,RXRA,RXRG,SETDB1,SMAD3,SOX17,SP1,SP2,SP4,SPI1,SPIB,SREBF1,SRF,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,T,TBP,TBX21,TCF12,TCF21,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP63,USF1,USF2,VDR,VEZF1,YY1,ZBTB33,ZBTB7A,ZBTB7B,ZEB1,ZFP42,ZKSCAN1,ZNF143,ZNF250,ZNF263,ZNF384"
"4","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD41","148","AHR,AR,ARNT,ASCL2,ATF3,BACH2,BCL11A,BCL6,CDX2,CEBPA,CEBPB,CEBPD,CTCF,CUX1,DUX4,E2F1,E2F2,E2F3,E2F4,E2F6,E2F8,EBF1,EGR1,EGR2,ELF1,ELK1,ELK4,ESR1,ESR2,ETS2,ETV1,ETV5,FOS,FOSL1,FOSL2,FOXA2,FOXG1,FOXH1,FOXK1,FOXM1,FOXO3,FOXP1,GATA1,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,HES1,HIF1A,HINFP,HNF4A,HNF4G,HOXA1,HOXA4,HOXA6,HOXB13,HSF2,IRF1,IRF2,IRF4,JUN,JUNB,KLF10,KLF3,KLF9,KMT2A,MAFF,MAFK,MAX,MECOM,MEF2A,MITF,MNT,MXI1,MYBL2,MYC,MYOD1,MZF1,NANOG,NFATC1,NFIC,NFYA,NKX2-1,NR2C2,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX1,PBX3,POU2F2,PPARG,PRDM1,PRDM14,RARA,RARG,RBPJ,RFX5,RUNX1,RUNX3,RXRA,RXRG,SETDB1,SMAD3,SOX17,SP1,SP2,SP4,SPI1,SPIB,SREBF1,SRF,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,T,TBP,TBX21,TCF12,TCF21,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP63,USF1,USF2,VDR,VEZF1,YY1,ZBTB33,ZBTB7A,ZBTB7B,ZFP42,ZKSCAN1,ZNF250,ZNF384"
"5","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","GPR56.1","133","AHR,AR,ARNT,ASCL2,ATF3,BACH2,BCL11A,BCL6,CEBPA,CEBPB,CEBPD,CTCF,CUX1,DUX4,E2F1,E2F2,E2F3,E2F4,E2F6,E2F8,EBF1,EGR1,EGR2,ELK1,ELK4,ESR1,ESR2,ETS2,ETV5,FOS,FOSL1,FOSL2,FOXA2,FOXH1,FOXK1,FOXM1,FOXO3,FOXP1,GATA1,GATA4,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,HES1,HIF1A,HINFP,HNF4A,HNF4G,HOXA1,HOXA4,HOXB13,HOXC6,HSF2,IRF1,IRF3,IRF4,JUN,JUNB,KLF10,KMT2A,MAFF,MAFK,MAX,MEF2A,MITF,MNT,MYBL2,MYC,MYOD1,NANOG,NFATC1,NFIC,NFYA,NKX2-1,NR2C2,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX1,PBX3,POU2F2,PPARG,PRDM1,RARA,RARG,RBPJ,RFX5,RUNX1,RUNX3,RXRA,RXRG,SETDB1,SMAD3,SOX17,SP1,SP2,SPI1,SPIB,SREBF1,STAT1,STAT2,STAT3,STAT4,STAT5A,T,TBX21,TCF12,TCF21,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP63,USF1,USF2,VDR,VEZF1,ZBTB33,ZBTB7A,ZBTB7B,ZNF143,ZNF250,ZNF384"
"6","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD71","160","AHR,AR,ARNT,ASCL2,ATF3,BACH2,BATF,BCL11A,BCL6,BHLHE40,CDX2,CEBPA,CEBPB,CEBPD,CTCF,CUX1,DUX4,E2F1,E2F2,E2F3,E2F4,E2F6,E2F8,EBF1,EGR1,EGR2,ELF1,ELK1,ELK4,ESR1,ESR2,ESRRA,ETS2,ETV1,ETV5,FOS,FOSL1,FOSL2,FOXA2,FOXG1,FOXH1,FOXK1,FOXM1,FOXO3,FOXP1,FOXP2,GATA1,GATA2,GATA6,GFI1B,GLI2,GLIS1,GMEB1,GMEB2,GRHL2,HES1,HIF1A,HINFP,HNF4A,HNF4G,HOXA1,HOXA4,HOXA6,HOXB13,HSF2,IRF1,IRF2,IRF4,JUN,JUNB,KLF10,KLF3,KLF9,KMT2A,MAFF,MAFK,MAX,MECOM,MEF2A,MITF,MNT,MXI1,MYBL2,MYC,MYOD1,MZF1,NANOG,NFATC1,NFIC,NFYA,NKX2-1,NR2C2,NR2F2,NR5A2,NRF1,ONECUT1,OTX2,PAX5,PAX6,PBX1,PBX3,PGR,POU2F1,POU2F2,PPARG,PRDM1,PRDM14,RARA,RARG,RBPJ,RELA,RFX5,RUNX1,RUNX3,RXRA,RXRG,SETDB1,SMAD3,SP1,SP2,SP4,SPI1,SPIB,SREBF1,SRF,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,T,TAL1,TBP,TBX21,TCF12,TCF21,TCF4,TCF7L2,TEAD4,TFAP2A,TFAP2C,TFAP4,TFDP1,THAP1,TP63,USF1,USF2,VDR,VEZF1,XBP1,YY1,ZBTB33,ZBTB7A,ZBTB7B,ZFP42,ZKSCAN1,ZNF143,ZNF250,ZNF384"
"7","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD123","7","ARNT,ELK4,GATA1,NKX2-1,RBPJ,STAT5A,VEZF1"
"8","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD61","41","ARNT,BCL11A,CEBPB,E2F2,ELK4,ESR1,ETV5,FOSL1,FOSL2,FOXH1,FOXM1,FOXP1,GATA1,GLI2,HINFP,HOXA1,HOXB13,HSF2,MAX,MEF2A,NFATC1,NFIC,NKX2-1,NR2C2,OTX2,PBX1,PPARG,RARA,RBPJ,RUNX3,SETDB1,SP1,SPI1,STAT5A,TEAD4,TFAP2A,TFAP2C,TFDP1,USF1,VEZF1,ZBTB7B"
"9","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD62L","61","ARNT,BCL11A,CEBPB,CLOCK,CTCF,E2F2,E2F8,EBF1,EHF,ELF1,ELK4,ESR1,ETV5,FOSL1,FOSL2,FOXH1,FOXM1,FOXP1,GATA1,GATA2,GLI2,HINFP,HOXA1,HOXB13,HOXC6,HSF2,MAX,MEF2A,MEIS1,MYOD1,NFATC1,NFIC,NKX2-1,NR2C2,NRF1,OTX2,PBX1,POU2F2,RARA,RBPJ,RUNX3,SETDB1,SOX17,SP1,SPDEF,SPI1,STAT3,STAT5A,TCF21,TEAD4,TFAP2A,TFAP2C,TFDP1,TP63,USF1,VEZF1,ZBTB7B,ZEB1,ZNF143,ZNF263,ZNF384"
"10","LT-HSC.HLF","ND251_34, ND251_HSC, ND251_MPP","3","CD5.1","32","ATF3,ESR2,FOS,FOSL2,FOXA2,FOXG1,GATA2,GMEB1,GRHL2,HES1,HNF4A,HNF4G,HOXA6,HOXB13,MAX,MYBL2,MYC,NFATC1,NKX2-1,NR2C2,PAX5,RXRG,SP1,SREBF1,STAT2,STAT3,TFAP2C,TP63,VDR,ZBTB33,ZNF143,ZNF250"
