"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",158,149,105,71
"AR",47,83,5,16
"ARID3A",58,5,7,98
"ARNT",110,191,143,158
"ARNTL",107,111,90,133
"ASCL1",118,39,63,154
"ASCL2",87,117,142,103
"ATF1",133,151,187,57
"ATF2",187,36,193,184
"ATF3",11,12,112,44
"BACH1",181,140,109,139
"BACH2",33,22,56,50
"BARX2",112,31,42,161
"BATF",114,103,106,164
"BCL11A",64,76,177,31
"BCL6",19,7,12,116
"BHLHE40",90,38,88,125
"CEBPA",78,58,76,13
"CEBPB",138,90,166,179
"CEBPD",73,48,64,109
"CLOCK",6,13,99,4
"CTCF",160,60,67,74
"CTCFL",26,69,29,19
"DUX4",80,102,81,135
"E2F1",3,166,113,2
"E2F2",5,91,3,1
"E2F3",61,116,188,104
"E2F4",84,1,44,61
"E2F6",93,45,172,14
"E2F7",35,46,17,41
"E2F8",167,95,154,181
"EBF1",67,68,32,37
"EGR1",159,78,123,144
"EGR2",72,141,93,92
"EHF",189,150,180,147
"ELF1",37,54,66,15
"ELK1",94,156,95,172
"ELK3",63,50,102,118
"ELK4",119,75,181,24
"EPAS1",44,29,69,26
"ESR1",2,40,16,58
"ESR2",68,108,152,49
"ESRRA",8,23,36,54
"ETS2",162,147,186,166
"ETV1",75,155,68,17
"ETV5",38,126,37,85
"ETV6",193,184,194,190
"ETV7",124,114,153,77
"FOS",76,153,179,171
"FOSL1",81,189,75,90
"FOSL2",14,27,92,3
"FOXA1",186,186,71,136
"FOXA2",1,174,14,68
"FOXD2",12,51,104,10
"FOXG1",125,8,98,88
"FOXH1",136,115,72,106
"FOXK1",111,26,175,129
"FOXM1",104,97,183,160
"FOXO3",52,43,2,29
"FOXP1",57,34,124,167
"FOXP2",129,181,51,30
"FOXP3",88,89,149,121
"GATA1",102,72,134,117
"GATA2",82,182,34,148
"GATA3",96,9,31,35
"GATA4",113,3,148,105
"GLI2",49,171,21,99
"GLIS1",34,104,62,101
"GMEB1",171,165,73,119
"GMEB2",116,134,91,156
"GRHL2",122,84,10,42
"GTF2B",192,187,190,193
"GTF2I",79,17,39,39
"HEY1",42,170,25,127
"HIF1A",97,127,117,89
"HINFP",165,138,159,34
"HNF1B",120,137,132,40
"HNF4A",100,15,114,138
"HNF4G",36,66,80,123
"HOXA1",176,55,8,163
"HOXA4",190,183,157,192
"HOXA6",168,178,146,187
"HOXB13",98,118,167,134
"HOXC6",175,62,173,176
"HSF1",18,20,22,33
"HSF2",185,160,178,137
"IRF1",178,168,145,25
"IRF2",139,77,125,84
"IRF3",163,136,49,87
"IRF4",62,106,1,83
"JUN",169,163,103,189
"JUNB",85,10,168,48
"JUND",194,193,189,194
"KLF1",55,130,35,73
"KLF10",9,145,169,150
"KLF3",188,194,184,185
"KLF4",101,133,138,159
"KLF9",92,167,23,47
"KMT2A",40,123,65,56
"LHX2",128,73,58,110
"MAF",74,148,50,102
"MAFF",7,92,6,5
"MAFK",108,98,4,146
"MECOM",172,32,82,111
"MEF2A",43,44,47,70
"MEF2C",130,94,100,169
"MEIS1",66,128,18,32
"MITF",46,18,40,46
"MNT",86,63,48,22
"MXI1",21,96,15,78
"MYB",148,110,86,12
"MYBL2",50,24,46,36
"MYC",153,53,130,120
"MYOD1",28,2,94,7
"NANOG",123,132,161,113
"NFAT5",53,131,30,55
"NFATC1",131,82,97,43
"NFE2",22,21,24,145
"NFIC",23,172,160,20
"NFYA",180,124,70,79
"NFYB",155,59,79,132
"NKX2-1",60,120,28,59
"NR2C2",105,87,85,93
"NR2F2",151,47,158,183
"NRF1",17,42,150,21
"ONECUT1",29,25,20,11
"OTX2",157,146,129,69
"PAX5",121,164,41,23
"PBX1",27,119,165,8
"PBX3",99,144,140,75
"PGR",135,143,144,141
"POU2F1",71,81,162,97
"POU2F2",32,88,115,27
"PPARG",109,56,163,122
"PRDM1",103,107,133,66
"PRDM14",146,37,155,152
"RARG",91,28,110,165
"RBPJ",137,161,185,108
"RELA",149,192,77,153
"REST",156,74,182,149
"RFX2",24,57,19,6
"RFX5",161,175,118,178
"RUNX1",30,93,61,94
"RUNX2",25,35,122,38
"RUNX3",59,80,108,142
"RXRA",144,179,151,130
"RXRG",173,67,128,173
"SETDB1",51,61,52,155
"SIX5",179,157,87,174
"SMAD3",126,19,164,112
"SOX17",31,100,119,91
"SP1",83,177,170,114
"SP4",70,129,121,72
"SPI1",54,79,84,162
"SPIB",117,154,83,53
"SREBF1",152,30,191,65
"SRF",39,4,11,60
"STAT1",170,121,126,140
"STAT2",132,185,171,126
"STAT3",134,173,192,131
"STAT4",41,49,57,9
"STAT5A",154,159,127,170
"STAT5B",69,41,9,168
"TBP",141,65,43,67
"TCF12",142,86,54,188
"TCF21",77,176,53,80
"TCF3",191,85,136,191
"TCF4",177,125,59,177
"TCF7L2",147,99,74,82
"TEAD4",145,64,176,124
"TFAP2A",13,122,96,86
"TFAP2C",20,6,137,52
"TFAP4",56,152,147,51
"TFDP1",10,16,13,63
"THAP1",115,71,38,28
"TP63",127,169,116,157
"TP73",106,142,120,143
"USF1",140,139,26,100
"USF2",48,190,89,151
"VDR",45,112,139,107
"VEZF1",4,52,78,18
"XBP1",174,180,135,96
"YY1",95,135,111,115
"ZBTB33",166,105,174,62
"ZBTB7A",150,158,107,175
"ZBTB7B",89,113,27,81
"ZEB1",164,188,156,128
"ZFP42",143,33,131,186
"ZFX",184,70,141,182
"ZKSCAN1",15,14,33,76
"ZNF143",65,101,101,45
"ZNF263",183,109,45,95
"ZNF384",182,162,60,180
"ZNF76",16,11,55,64
