"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"AHR",152,151,159,148
"AR",62,9,19,33
"ARID3A",61,25,53,129
"ARNT",133,81,84,181
"ARNTL",105,6,94,30
"ASCL1",126,180,145,173
"ASCL2",63,94,51,137
"ATF1",137,156,133,125
"ATF2",81,159,183,183
"ATF3",7,29,115,3
"BACH1",121,123,171,94
"BACH2",36,31,32,81
"BARX2",38,115,124,163
"BATF",112,85,160,187
"BCL11A",181,45,81,64
"BCL6",21,158,33,71
"BHLHE40",159,104,127,152
"CEBPA",71,27,167,179
"CEBPB",65,191,88,162
"CEBPD",74,34,169,115
"CLOCK",9,37,80,106
"CTCF",80,46,17,9
"CTCFL",26,4,162,131
"DUX4",115,38,25,91
"E2F1",1,1,1,65
"E2F2",174,24,61,39
"E2F3",146,173,112,83
"E2F4",132,54,67,176
"E2F6",32,5,6,12
"E2F7",20,3,64,52
"E2F8",118,143,95,61
"EBF1",88,149,113,141
"EGR1",5,121,132,119
"EGR2",107,112,74,50
"EHF",176,184,189,175
"ELF1",29,18,68,73
"ELK1",79,22,92,168
"ELK3",3,147,93,27
"ELK4",182,181,126,158
"EPAS1",55,150,13,40
"ESR1",86,52,41,161
"ESR2",58,53,135,70
"ESRRA",51,58,3,43
"ETS2",161,49,184,117
"ETV1",100,175,146,25
"ETV5",16,97,144,10
"ETV6",188,186,191,180
"ETV7",31,178,163,151
"FOS",139,106,161,72
"FOSL1",41,13,30,15
"FOSL2",75,162,4,36
"FOXA1",190,171,192,19
"FOXA2",8,131,2,1
"FOXD2",101,43,114,86
"FOXG1",6,124,83,102
"FOXH1",147,103,121,107
"FOXK1",140,157,123,54
"FOXM1",99,155,27,164
"FOXO3",125,44,34,74
"FOXP1",82,65,143,147
"FOXP2",57,30,119,87
"FOXP3",45,100,117,29
"GATA1",96,23,48,21
"GATA2",162,142,69,99
"GATA3",77,7,158,156
"GATA4",143,168,59,66
"GLI2",59,14,11,105
"GLIS1",14,42,39,24
"GMEB1",183,74,101,143
"GMEB2",84,140,125,60
"GRHL2",66,116,60,49
"GTF2B",192,194,194,17
"GTF2I",53,51,153,6
"HEY1",28,146,87,41
"HIF1A",67,63,170,97
"HINFP",98,113,129,132
"HNF1B",110,188,122,89
"HNF4A",46,11,5,47
"HNF4G",151,177,151,120
"HOXA1",124,87,139,172
"HOXA4",169,169,185,150
"HOXA6",175,108,38,38
"HOXB13",87,35,148,63
"HOXC6",34,183,157,138
"HSF1",50,33,31,95
"HSF2",56,182,18,178
"IRF1",170,48,100,194
"IRF2",119,105,131,154
"IRF3",186,163,102,185
"IRF4",2,62,37,16
"JUN",158,82,156,188
"JUNB",122,187,106,8
