"","ND251_34","ND251_HSC","ND251_LMPP","ND251_MPP"
"ASCL1",-0.39358670585265,0.32263521919657,-0.32063028321728,0.341726172393986
"BACH1",0.48072713841773,0.338130144416779,0.360138686902169,0.436820554044816
"CLOCK",-0.335809455047265,-0.337928489878369,-0.313801073820882,-0.306935478587715
"CTCFL",-0.446973349541202,-0.341263537505173,-0.430925308800016,-0.368540650795334
"E2F4",-0.431190751201392,-0.363769606999266,0.470850931065392,-0.325512346114799
"FOXH1",0.410494403719382,0.412616301709352,-0.441887178030505,0.350884840718247
"FOXP2",-0.344362597713734,0.371366260938311,-0.376181839265541,-0.365307148020172
"KLF5",-0.33693352205703,-0.319891438157964,-0.372066746529576,-0.329777320350624
"OTX2",0.378680829301841,0.359888175462012,0.377191947407774,0.427670855914028
"PAX5",-0.455859306904072,0.341574420619554,-0.44915995665458,0.345686361629122
"PRDM1",0.428654889067909,0.359108705696637,0.333862699880527,-0.314071116312167
"REST",0.310467698159311,0.317022511253768,0.382211745697216,0.353466190270209
"RFX2",-0.448593139509653,-0.337201119802955,-0.412642351425606,-0.477457294277984
"TCF3",0.398322747320006,0.333010344038959,0.435760652559138,0.365295355743359
"TFDP1",-0.471657966621854,-0.336052984473462,-0.353164548946232,-0.332697168720315
"TP73",0.509516699535576,0.369107303669376,0.556503709752184,0.355738168936055
