"","ND251_34","ND251_HSC","ND251_MPP"
"AR",-0.316320968324662,-0.502493198109577,-0.627486341503992
"BATF",0.708876553191828,-0.426249003849746,-0.314476275728969
"BCL11A",-0.509535068111063,-0.403120847439231,-0.321813999338061
"DUX4",-0.84989243998541,-0.42575740958162,-0.810420429397033
"E2F3",0.498838235994518,0.307916852034933,0.665863440909685
"E2F6",-0.472376053297121,0.365910331621131,0.338213250432158
"ELK1",-0.523426211751975,0.489970788490026,0.557331837333485
"FOXA2",-0.607771849418626,-0.361505717348149,-0.416864447389897
"GATA1",-0.491479933823637,-0.484103360062675,-0.583787913249628
"GATA4",-0.855969854861868,-0.53122303846947,-0.503637299917672
"GRHL2",0.629999829869665,-0.408690616612998,-0.542444292244638
"KLF10",0.394859916923258,0.373841328796781,-0.310942477783349
"KMT2A",0.586435746046668,-0.377213861428655,-0.618923968370781
"NANOG",-0.575444784255106,-0.357404668682094,-0.532186763911828
"NFATC1",0.394675216138087,-0.520742165730675,-0.51094800261615
"NFYA",0.487831460779569,0.386870125370574,0.5740734889425
"NFYB",-0.835447826525921,0.498574617750625,0.578962564609634
"RXRA",0.310240390763527,0.371391934338895,0.444122360689679
"SIX5",-0.359411281982957,0.409374652251028,0.381628203289932
"SP4",-0.446362971823942,0.721054165688479,0.438704993664729
"STAT4",-0.773350410492245,-0.329088952871608,-0.613505136356701
"TBP",0.608885114425138,0.574768040275886,-0.496268485983716
"ZBTB33",0.824358188972419,0.337363654003449,0.310846927936781
"ZBTB7A",0.437775017850414,0.456505378267582,0.508428384089688
