"","ND251_34","ND251_HSC","ND251_MPP"
"ARNT",0.32708652935363,-0.338255313814799,0.615189813034974
"HOXA4",0.345611999689374,0.551038766192386,0.435397091267052
"KMT2A",-0.304383315950044,-0.399209925955594,-0.540617701777622
"NFYA",0.34325361875971,-0.834701793002233,0.506533110254612
"NR5A2",0.438334027090444,-0.499478732577318,0.698378056608869
"ONECUT1",-0.320291815309749,-0.442938194540137,-0.441721626746761
"TFAP4",0.311567379248971,0.661336440379642,-0.304953087482072
"TP73",-0.323298507791379,0.433745997864838,-0.575220601691253
"USF2",0.463402892717704,-0.406994895611905,0.573230146154068
"YY1",0.407791068275141,-0.465347098647066,0.541977777222547
