"","ND251_34","ND251_HSC","ND251_MPP"
"ARNTL",-0.310389478890854,-0.531927435267672,-0.466190539789296
"BACH2",-0.354751951981122,-0.334839505821295,-0.56834056879212
"EGR1",0.338776297961451,0.401739267774179,0.450911456812056
"ETV1",0.308614069309605,0.310369095974823,0.405871543081703
"GATA3",-0.347463136727307,-0.380875420407617,-0.60719763330768
"HOXA4",0.39027557806006,0.451855145661365,0.402738854257308
"NFYB",0.372627410818895,0.419958062958855,0.498253576183008
"ONECUT1",-0.397395981300904,-0.410287611850406,-0.464617339241208
"RXRG",0.33462942553817,0.322699852686316,0.432802757478396
"SOX17",-0.332356708405633,-0.403685168501965,-0.463899025181335
"ZBTB7A",0.323180962805782,0.337268722093788,0.496991770963673
