"","P1_2020Oct","P3_2023Jan"
"AHR",0.448087431693989,0.584699453551913
"AR",0.53551912568306,0.0819672131147541
"ARID3A",0.66120218579235,0.120218579234973
"ARNT",0.174863387978142,0.939890710382514
"ARNTL",0.273224043715847,0.775956284153005
"ASCL2",0.251366120218579,0.590163934426229
"ATF1",0.825136612021858,0.486338797814208
"ATF2",0.797814207650273,1
"ATF3",0.262295081967213,0.846994535519126
"BACH1",0.284153005464481,0.945355191256831
"BACH2",0.180327868852459,0.322404371584699
"BARX2",0.295081967213115,0.46448087431694
"BATF",0.306010928961749,0.601092896174863
"BCL11A",0.683060109289617,0.491803278688525
"BCL6",0.557377049180328,0.60655737704918
"BHLHE40",0.622950819672131,0.53551912568306
"CEBPA",0.469945355191257,0.0382513661202186
"CEBPD",0.0983606557377049,0.256830601092896
"CLOCK",0.633879781420765,0.459016393442623
"CTCF",0.945355191256831,0.765027322404372
"E2F2",0.218579234972678,0.0655737704918033
"E2F3",0.836065573770492,0.0218579234972678
"E2F4",0.207650273224044,0.0546448087431694
"E2F6",0.693989071038251,0.961748633879781
"E2F7",0.513661202185792,0.218579234972678
"E2F8",0.213114754098361,0.868852459016393
"EBF1",0.765027322404372,0.770491803278688
"EGR1",0.781420765027322,0.994535519125683
"EGR2",0.923497267759563,0.967213114754098
"EHF",0.688524590163934,0.469945355191257
"ELF1",0.163934426229508,0.0109289617486339
"ELK1",0.92896174863388,0.693989071038251
"ELK3",0.19672131147541,0.251366120218579
"ELK4",0.480874316939891,0.666666666666667
"EPAS1",0.131147540983607,0.109289617486339
"ESR1",0.136612021857924,0.300546448087432
"ESR2",0.644808743169399,0.73224043715847
"ESRRA",0.344262295081967,0.284153005464481
"ETS2",0.879781420765027,0.825136612021858
"ETV1",0.0655737704918033,0.19672131147541
"ETV5",0.327868852459016,0.087431693989071
"ETV6",1,0.923497267759563
"ETV7",0.60655737704918,0.404371584699454
"FOS",0.863387978142076,0.508196721311475
"FOSL1",0.726775956284153,0.890710382513661
"FOSL2",0.737704918032787,0.978142076502732
"FOXD2",0.431693989071038,0.33879781420765
"FOXH1",0.989071038251366,0.382513661202186
"FOXK1",0.191256830601093,0.240437158469945
"FOXM1",0.87431693989071,0.311475409836066
"FOXO3",0.0819672131147541,0.699453551912568
"FOXP1",0.868852459016393,0.617486338797814
