"","P1_2020Oct","P3_2023Jan"
"AHR",0.251366120218579,0.85792349726776
"AR",0.087431693989071,0.688524590163934
"ARID3A",0.229508196721311,0.153005464480874
"ARNT",0.420765027322404,0.683060109289617
"ARNTL",0.0109289617486339,0.344262295081967
"ASCL2",0.568306010928962,0.262295081967213
"ATF1",0.836065573770492,0.836065573770492
"ATF2",0.907103825136612,0.939890710382514
"ATF3",0.448087431693989,0.273224043715847
"BACH1",0.677595628415301,0.863387978142076
"BACH2",0.0218579234972678,0.163934426229508
"BARX2",0.672131147540984,0.311475409836066
"BATF",0.846994535519126,0.710382513661202
"BCL11A",0.163934426229508,0.207650273224044
"BCL6",0.825136612021858,0.540983606557377
"BHLHE40",0.781420765027322,0.19672131147541
"CEBPA",0.415300546448087,0.158469945355191
"CEBPD",0.295081967213115,0.530054644808743
"CLOCK",0.459016393442623,0.879781420765027
"CTCF",0.644808743169399,0.224043715846995
"E2F2",0.841530054644809,0.174863387978142
"E2F3",0.765027322404372,0.377049180327869
"E2F4",0.442622950819672,0.868852459016393
"E2F6",0.513661202185792,0.601092896174863
"E2F7",0.218579234972678,0.420765027322404
"E2F8",0.792349726775956,0.972677595628415
"EBF1",0.409836065573771,0.136612021857924
"EGR1",0.092896174863388,0.80327868852459
"EGR2",0.639344262295082,0.382513661202186
"EHF",0.879781420765027,0.989071038251366
"ELF1",0.486338797814208,0.355191256830601
"ELK1",0.939890710382514,0.677595628415301
"ELK3",0.519125683060109,0.234972677595628
"ELK4",0.360655737704918,0.508196721311475
"EPAS1",0.0382513661202186,0.0491803278688525
"ESR1",0.0655737704918033,0.240437158469945
"ESR2",0.147540983606557,0.622950819672131
"ESRRA",0.0710382513661202,0.398907103825137
"ETS2",0.961748633879781,0.967213114754098
"ETV1",0.562841530054645,0.830601092896175
"ETV5",0.180327868852459,0.584699453551913
"ETV6",0.994535519125683,0.983606557377049
"ETV7",0.344262295081967,0.426229508196721
"FOS",0.819672131147541,0.409836065573771
"FOSL1",0.103825136612022,0.306010928961749
"FOSL2",0.863387978142076,0.191256830601093
"FOXD2",0.234972677595628,0.491803278688525
"FOXH1",0.551912568306011,0.245901639344262
"FOXK1",0.60655737704918,0.956284153005464
"FOXM1",0.956284153005464,0.759562841530055
"FOXO3",0.726775956284153,0.00546448087431694
"FOXP1",0.885245901639344,0.644808743169399
"FOXP2",0.114754098360656,0.0819672131147541
"FOXP3",0.945355191256831,0.524590163934426
"GATA1",0.398907103825137,0.327868852459016
"GATA2",0.387978142076503,0.497267759562842
"GATA3",0.169398907103825,0.404371584699454
"GATA4",0.590163934426229,0.33879781420765
"GLI2",0.0163934426229508,0.0163934426229508
"GLIS1",0.0327868852459016,0.0327868852459016
"GMEB1",0.80327868852459,0.890710382513661
"GMEB2",0.213114754098361,0.147540983606557
"GRHL2",0.0491803278688525,0.333333333333333
"GTF2B",0.989071038251366,1
"GTF2I",0.26775956284153,0.765027322404372
"HEY1",0.300546448087432,0.185792349726776
"HIF1A",0.0437158469945355,0.0218579234972678
"HINFP",0.601092896174863,0.316939890710383
"HNF1B",0.896174863387978,0.797814207650273
"HNF4A",0.743169398907104,0.0437158469945355
"HNF4G",0.628415300546448,0.442622950819672
"HOXA1",0.426229508196721,0.743169398907104
"HOXA4",0.983606557377049,0.901639344262295
"HOXB13",0.923497267759563,0.437158469945355
"HOXC6",0.950819672131147,0.486338797814208
"HSF1",0.655737704918033,0.551912568306011
"HSF2",0.207650273224044,0.907103825136612
"IRF2",0.92896174863388,0.360655737704918
"IRF3",0.797814207650273,0.0601092896174863
"IRF4",0.453551912568306,0.699453551912568
"JUN",0.284153005464481,0.595628415300546
"JUNB",0.595628415300546,0.66120218579235
"JUND",1,0.994535519125683
