"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.437158469945355,0.360655737704918,0.251366120218579
"AR",0.103825136612022,0.180327868852459,0.322404371584699
"ARID3A",0.300546448087432,0.442622950819672,0.355191256830601
"ARNT",0.426229508196721,0.234972677595628,0.704918032786885
"ARNTL",0.273224043715847,0.185792349726776,0.0491803278688525
"ASCL2",0.26775956284153,0.797814207650273,0.136612021857924
"ATF1",0.584699453551913,0.781420765027322,0.551912568306011
"ATF2",0.978142076502732,0.934426229508197,1
"ATF3",0.0765027322404372,0.573770491803279,0.453551912568306
"BACH1",0.0983606557377049,0.322404371584699,0.0163934426229508
"BACH2",0.12568306010929,0.590163934426229,0.00546448087431694
"BARX2",0.562841530054645,0.300546448087432,0.808743169398907
"BATF",0.39344262295082,0.459016393442623,0.497267759562842
"BCL11A",0.218579234972678,0.0601092896174863,0.0819672131147541
"BCL6",0.087431693989071,0.251366120218579,0.595628415300546
"BHLHE40",0.229508196721311,0.53551912568306,0.841530054644809
"CEBPA",0.366120218579235,0.147540983606557,0.491803278688525
"CEBPD",0.557377049180328,0.0710382513661202,0.546448087431694
"CLOCK",0.448087431693989,0.491803278688525,0.573770491803279
"CTCF",0.66120218579235,0.672131147540984,0.612021857923497
"E2F2",0.590163934426229,0.273224043715847,0.0710382513661202
"E2F3",0.163934426229508,0.978142076502732,0.907103825136612
"E2F4",0.262295081967213,0.956284153005464,0.092896174863388
"E2F6",0.442622950819672,0.743169398907104,0.683060109289617
"E2F7",0.622950819672131,0.879781420765027,0.519125683060109
"E2F8",0.792349726775956,0.92896174863388,0.836065573770492
"EBF1",0.551912568306011,0.136612021857924,0.617486338797814
"EGR1",0.748633879781421,0.333333333333333,0.80327868852459
"EGR2",0.672131147540984,0.770491803278688,0.502732240437158
"EHF",0.918032786885246,0.983606557377049,0.245901639344262
"ELF1",0.092896174863388,0.229508196721311,0.191256830601093
"ELK1",0.53551912568306,0.568306010928962,0.306010928961749
"ELK3",0.431693989071038,0.710382513661202,0.109289617486339
"ELK4",0.644808743169399,0.628415300546448,0.923497267759563
"EPAS1",0.202185792349727,0.912568306010929,0.0601092896174863
"ESR1",0.371584699453552,0.0163934426229508,0.273224043715847
"ESR2",0.136612021857924,0.836065573770492,0.360655737704918
"ESRRA",0.00546448087431694,0.0437158469945355,0.0109289617486339
"ETS2",0.185792349726776,0.896174863387978,0.754098360655738
"ETV1",0.344262295081967,0.666666666666667,0.650273224043716
"ETV5",0.180327868852459,0.344262295081967,0.404371584699454
"ETV6",0.983606557377049,0.950819672131147,0.972677595628415
"ETV7",0.398907103825137,0.497267759562842,0.540983606557377
"FOS",0.46448087431694,0.540983606557377,0.863387978142076
"FOSL1",0.868852459016393,0.650273224043716,0.103825136612022
"FOSL2",0.765027322404372,0.349726775956284,0.224043715846995
"FOXD2",0.475409836065574,0.852459016393443,0.0218579234972678
"FOXH1",0.469945355191257,0.453551912568306,0.628415300546448
"FOXK1",0.508196721311475,0.448087431693989,0.721311475409836
"FOXM1",0.19672131147541,0.404371584699454,0.46448087431694
"FOXO3",0.349726775956284,0.0655737704918033,0.0437158469945355
"FOXP1",0.704918032786885,0.639344262295082,0.644808743169399
"FOXP2",0.612021857923497,0.26775956284153,0.677595628415301
"FOXP3",0.743169398907104,0.704918032786885,0.66120218579235
"GATA1",0.234972677595628,0.163934426229508,0.601092896174863
"GATA2",0.289617486338798,0.66120218579235,0.846994535519126
"GATA3",0.0163934426229508,0.792349726775956,0.39344262295082
"GATA4",0.109289617486339,0.595628415300546,0.300546448087432
"GLI2",0.885245901639344,0.377049180327869,0.486338797814208
"GLIS1",0.0601092896174863,0.366120218579235,0.33879781420765
"GMEB1",0.693989071038251,0.939890710382514,0.715846994535519
"GMEB2",0.120218579234973,0.316939890710383,0.311475409836066
"GRHL2",0.306010928961749,0.431693989071038,0.448087431693989
"GTF2B",1,0.994535519125683,0.989071038251366
"GTF2I",0.0546448087431694,0.480874316939891,0.672131147540984
"HEY1",0.114754098360656,0.557377049180328,0.262295081967213
"HIF1A",0.245901639344262,0.825136612021858,0.185792349726776
"HINFP",0.80327868852459,0.923497267759563,0.622950819672131
"HNF1B",0.92896174863388,0.808743169398907,0.945355191256831
"HNF4A",0.923497267759563,0.562841530054645,0.349726775956284
"HNF4G",0.852459016393443,0.087431693989071,0.901639344262295
"HOXA1",0.639344262295082,0.502732240437158,0.409836065573771
"HOXA4",0.945355191256831,0.989071038251366,0.825136612021858
"HOXB13",0.650273224043716,0.945355191256831,0.584699453551913
"HOXC6",0.355191256830601,0.846994535519126,0.956284153005464
"HSF1",0.409836065573771,0.890710382513661,0.131147540983607
"HSF2",0.377049180327869,0.202185792349727,0.885245901639344
"IRF2",0.699453551912568,0.737704918032787,0.14207650273224
"IRF3",0.513661202185792,0.469945355191257,0.934426229508197
"IRF4",0.85792349726776,0.0273224043715847,0.316939890710383
"JUN",0.863387978142076,0.819672131147541,0.726775956284153
"JUNB",0.781420765027322,0.213114754098361,0.633879781420765
"JUND",0.994535519125683,1,0.994535519125683
"KLF1",0.0327868852459016,0.114754098360656,0.218579234972678
"KLF10",0.956284153005464,0.907103825136612,0.868852459016393
"KLF3",0.890710382513661,0.967213114754098,0.92896174863388
"KLF4",0.939890710382514,0.524590163934426,0.759562841530055
"KLF9",0.213114754098361,0.918032786885246,0.398907103825137
"KMT2A",0.0218579234972678,0.0819672131147541,0.289617486338798
"LHX2",0.519125683060109,0.601092896174863,0.912568306010929
"MAF",0.327868852459016,0.0109289617486339,0.513661202185792
"MAFF",0.224043715846995,0.748633879781421,0.426229508196721
"MAFK",0.207650273224044,0.754098360655738,0.87431693989071
"MECOM",0.989071038251366,0.814207650273224,0.73224043715847
"MEF2A",0.726775956284153,0.0218579234972678,0.579234972677596
"MEF2C",0.786885245901639,0.240437158469945,0.737704918032787
"MEIS1",0.0491803278688525,0.311475409836066,0.792349726775956
"MITF",0.0819672131147541,0.306010928961749,0.557377049180328
"MNT",0.530054644808743,0.87431693989071,0.639344262295082
"MXI1",0.251366120218579,0.759562841530055,0.830601092896175
"MYB",0.360655737704918,0.245901639344262,0.174863387978142
"MYBL2",0.0437158469945355,0.218579234972678,0.0327868852459016
"MYC",0.595628415300546,0.420765027322404,0.655737704918033
"NANOG",0.633879781420765,0.830601092896175,0.765027322404372
"NFAT5",0.797814207650273,0.169398907103825,0.278688524590164
"NFATC1",0.655737704918033,0.0491803278688525,0.688524590163934
"NFE2",0.240437158469945,0.103825136612022,0.120218579234973
"NFIC",0.846994535519126,0.278688524590164,0.590163934426229
"NFYA",0.715846994535519,0.39344262295082,0.437158469945355
"NFYB",0.311475409836066,0.295081967213115,0.415300546448087
"NKX2-1",0.737704918032787,0.0546448087431694,0.0765027322404372
"NR2C2",0.754098360655738,0.683060109289617,0.240437158469945
"NR2F2",0.710382513661202,0.14207650273224,0.169398907103825
"NRF1",0.0273224043715847,0.622950819672131,0.114754098360656
"PAX5",0.73224043715847,0.284153005464481,0.12568306010929
"PAX6",0.961748633879781,0.387978142076503,0.256830601092896
