"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.797814207650273,0.508196721311475,0.655737704918033
"AR",0.469945355191257,0.448087431693989,0.366120218579235
"ARID3A",0.420765027322404,0.639344262295082,0.382513661202186
"ARNT",0.633879781420765,0.382513661202186,0.475409836065574
"ARNTL",0.382513661202186,0.349726775956284,0.344262295081967
"ASCL2",0.0218579234972678,0.00546448087431694,0.224043715846995
"ATF1",0.459016393442623,0.415300546448087,0.85792349726776
"ATF2",0.967213114754098,0.934426229508197,0.983606557377049
"ATF3",0.218579234972678,0.0273224043715847,0.087431693989071
"BACH1",0.830601092896175,0.316939890710383,0.704918032786885
"BACH2",0.251366120218579,0.688524590163934,0.524590163934426
"BARX2",0.73224043715847,0.360655737704918,0.699453551912568
"BATF",0.617486338797814,0.699453551912568,0.775956284153005
"BCL11A",0.12568306010929,0.14207650273224,0.218579234972678
"BCL6",0.688524590163934,0.595628415300546,0.743169398907104
"BHLHE40",0.639344262295082,0.546448087431694,0.573770491803279
"CEBPA",0.677595628415301,0.579234972677596,0.896174863387978
"CEBPD",0.311475409836066,0.245901639344262,0.748633879781421
"CLOCK",0.0163934426229508,0.322404371584699,0.0655737704918033
"CTCF",0.579234972677596,0.398907103825137,0.819672131147541
"E2F2",0.207650273224044,0.33879781420765,0.147540983606557
"E2F3",0.26775956284153,0.19672131147541,0.295081967213115
"E2F4",0.590163934426229,0.612021857923497,0.841530054644809
"E2F6",0.792349726775956,0.87431693989071,0.644808743169399
"E2F7",0.0546448087431694,0.092896174863388,0.0218579234972678
"E2F8",0.404371584699454,0.797814207650273,0.300546448087432
"EBF1",0.497267759562842,0.278688524590164,0.814207650273224
"EGR1",0.890710382513661,0.404371584699454,0.590163934426229
"EGR2",0.770491803278688,0.677595628415301,0.486338797814208
"EHF",0.945355191256831,0.912568306010929,0.972677595628415
"ELF1",0.437158469945355,0.273224043715847,0.0163934426229508
"ELK1",0.655737704918033,0.437158469945355,0.918032786885246
"ELK3",0.087431693989071,0.109289617486339,0.415300546448087
"ELK4",0.0491803278688525,0.786885245901639,0.666666666666667
"EPAS1",0.557377049180328,0.66120218579235,0.191256830601093
"ESR1",0.256830601092896,0.715846994535519,0.284153005464481
"ESR2",0.360655737704918,0.136612021857924,0.289617486338798
"ESRRA",0.174863387978142,0.131147540983607,0.0819672131147541
"ETS2",0.819672131147541,0.666666666666667,0.502732240437158
"ETV1",0.885245901639344,0.961748633879781,0.562841530054645
"ETV5",0.180327868852459,0.617486338797814,0.153005464480874
"ETV6",0.989071038251366,0.836065573770492,0.989071038251366
"ETV7",0.344262295081967,0.229508196721311,0.273224043715847
"FOS",0.956284153005464,0.748633879781421,0.688524590163934
"FOSL1",0.721311475409836,0.710382513661202,0.628415300546448
"FOSL2",0.431693989071038,0.491803278688525,0.551912568306011
"FOXD2",0.491803278688525,0.721311475409836,0.480874316939891
"FOXH1",0.377049180327869,0.0765027322404372,0.0546448087431694
"FOXK1",0.939890710382514,0.704918032786885,0.852459016393443
"FOXM1",0.0601092896174863,0.0655737704918033,0.00546448087431694
"FOXO3",0.306010928961749,0.256830601092896,0.404371584699454
"FOXP1",0.530054644808743,0.73224043715847,0.595628415300546
"FOXP2",0.666666666666667,0.158469945355191,0.601092896174863
"FOXP3",0.852459016393443,0.918032786885246,0.945355191256831
"GATA1",0.513661202185792,0.420765027322404,0.245901639344262
"GATA2",0.475409836065574,0.480874316939891,0.825136612021858
"GATA3",0.453551912568306,0.191256830601093,0.26775956284153
"GATA4",0.278688524590164,0.0710382513661202,0.14207650273224
"GLI2",0.0765027322404372,0.234972677595628,0.327868852459016
"GLIS1",0.229508196721311,0.224043715846995,0.53551912568306
"GMEB1",0.737704918032787,0.46448087431694,0.568306010928962
"GMEB2",0.0437158469945355,0.0601092896174863,0.0491803278688525
"GRHL2",0.136612021857924,0.180327868852459,0.0437158469945355
"GTF2B",0.994535519125683,0.950819672131147,0.967213114754098
