"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.73224043715847,0.480874316939891,0.825136612021858
"AR",0.0382513661202186,0.103825136612022,0.688524590163934
"ARID3A",0.0983606557377049,0.251366120218579,0.0710382513661202
"ARNT",0.595628415300546,0.710382513661202,0.398907103825137
"ARNTL",0.109289617486339,0.633879781420765,0.617486338797814
"ASCL2",0.655737704918033,0.497267759562842,0.371584699453552
"ATF1",0.786885245901639,0.322404371584699,0.213114754098361
"ATF2",0.693989071038251,0.704918032786885,0.781420765027322
"ATF3",0.519125683060109,0.120218579234973,0.73224043715847
"BACH1",0.404371584699454,0.404371584699454,0.524590163934426
"BACH2",0.371584699453552,0.14207650273224,0.109289617486339
"BARX2",0.486338797814208,0.278688524590164,0.715846994535519
"BATF",0.60655737704918,0.524590163934426,0.409836065573771
"BCL11A",0.579234972677596,0.131147540983607,0.262295081967213
"BCL6",0.814207650273224,0.808743169398907,0.945355191256831
"BHLHE40",0.147540983606557,0.426229508196721,0.191256830601093
"CEBPA",0.863387978142076,0.0765027322404372,0.420765027322404
"CEBPD",0.327868852459016,0.224043715846995,0.557377049180328
"CLOCK",0.33879781420765,0.0710382513661202,0.0218579234972678
"CTCF",0.0546448087431694,0.896174863387978,0.934426229508197
"E2F2",0.120218579234973,0.0819672131147541,0.158469945355191
"E2F3",0.688524590163934,0.612021857923497,0.939890710382514
"E2F4",0.502732240437158,0.12568306010929,0.163934426229508
"E2F6",0.622950819672131,0.721311475409836,0.519125683060109
"E2F7",0.431693989071038,0.0546448087431694,0.322404371584699
"E2F8",0.377049180327869,0.672131147540984,0.989071038251366
"EBF1",0.972677595628415,0.868852459016393,0.573770491803279
"EGR1",0.781420765027322,0.972677595628415,0.770491803278688
"EGR2",0.590163934426229,0.191256830601093,0.284153005464481
"EHF",0.710382513661202,0.950819672131147,0.863387978142076
"ELF1",0.333333333333333,0.092896174863388,0.136612021857924
"ELK1",0.961748633879781,0.87431693989071,0.453551912568306
"ELK3",0.53551912568306,0.19672131147541,0.14207650273224
"ELK4",0.765027322404372,0.601092896174863,0.775956284153005
"EPAS1",0.180327868852459,0.459016393442623,0.633879781420765
"ESR1",0.0710382513661202,0.852459016393443,0.786885245901639
"ESR2",0.748633879781421,0.551912568306011,0.530054644808743
"ESRRA",0.234972677595628,0.0327868852459016,0.377049180327869
"ETS2",0.852459016393443,0.890710382513661,0.754098360655738
"ETV1",0.103825136612022,0.765027322404372,0.448087431693989
"ETV5",0.568306010928962,0.885245901639344,0.0983606557377049
"ETV6",0.967213114754098,0.989071038251366,0.994535519125683
"ETV7",0.284153005464481,0.814207650273224,0.808743169398907
"FOS",0.956284153005464,0.726775956284153,0.218579234972678
