"","P1_2020Oct","P3_2023Jan"
"AHR",0.683060109289617,0.650273224043716
"AR",0.256830601092896,0.322404371584699
"ARID3A",0.218579234972678,0.480874316939891
"ARNT",0.448087431693989,0.726775956284153
"ARNTL",0.289617486338798,0.0327868852459016
"ASCL2",0.0327868852459016,0.33879781420765
"ATF1",0.704918032786885,0.704918032786885
"ATF2",0.907103825136612,0.830601092896175
"ATF3",0.147540983606557,0.234972677595628
"BACH1",0.114754098360656,0.306010928961749
"BACH2",0.639344262295082,0.103825136612022
"BARX2",0.349726775956284,0.0601092896174863
"BATF",0.469945355191257,0.639344262295082
"BCL11A",0.0273224043715847,0.404371584699454
"BCL6",0.251366120218579,0.85792349726776
"BHLHE40",0.0218579234972678,0.945355191256831
"CEBPA",0.601092896174863,0.868852459016393
"CEBPD",0.311475409836066,0.628415300546448
"CLOCK",0.0819672131147541,0.0819672131147541
"CTCF",0.103825136612022,0.961748633879781
"E2F2",0.672131147540984,0.475409836065574
"E2F3",0.202185792349727,0.863387978142076
"E2F4",0.185792349726776,0.229508196721311
"E2F6",0.950819672131147,0.950819672131147
"E2F7",0.273224043715847,0.377049180327869
"E2F8",0.590163934426229,0.612021857923497
"EBF1",0.557377049180328,0.579234972677596
"EGR1",0.371584699453552,0.316939890710383
"EGR2",0.551912568306011,0.224043715846995
"EHF",0.978142076502732,0.431693989071038
"ELF1",0.491803278688525,0.890710382513661
"ELK1",0.967213114754098,0.841530054644809
"ELK3",0.0109289617486339,0.273224043715847
"ELK4",0.240437158469945,0.185792349726776
"EPAS1",0.80327868852459,0.153005464480874
"ESR1",0.295081967213115,0.415300546448087
"ESR2",0.945355191256831,0.213114754098361
"ESRRA",0.213114754098361,0.0218579234972678
"ETS2",0.868852459016393,0.508196721311475
"ETV1",0.322404371584699,0.710382513661202
"ETV5",0.650273224043716,0.311475409836066
"ETV6",0.994535519125683,0.994535519125683
"ETV7",0.120218579234973,0.0710382513661202
"FOS",0.972677595628415,0.114754098360656
"FOSL1",0.497267759562842,0.879781420765027
"FOSL2",0.153005464480874,0.256830601092896
"FOXD2",0.382513661202186,0.295081967213115
"FOXH1",0.420765027322404,0.360655737704918
"FOXK1",0.934426229508197,0.240437158469945
"FOXM1",0.0765027322404372,0.770491803278688
"FOXO3",0.19672131147541,0.409836065573771
"FOXP1",0.655737704918033,0.513661202185792
"FOXP2",0.158469945355191,0.344262295081967
"FOXP3",0.316939890710383,0.983606557377049
"GATA1",0.278688524590164,0.163934426229508
"GATA2",0.437158469945355,0.918032786885246
"GATA3",0.0710382513661202,0.699453551912568
"GATA4",0.092896174863388,0.387978142076503
"GLI2",0.224043715846995,0.0273224043715847
"GLIS1",0.792349726775956,0.693989071038251
"GMEB1",0.781420765027322,0.502732240437158
"GMEB2",0.12568306010929,0.245901639344262
"GRHL2",0.775956284153005,0.426229508196721
"GTF2B",0.989071038251366,0.989071038251366
"GTF2I",0.890710382513661,0.459016393442623
"HEY1",0.808743169398907,0.683060109289617
"HIF1A",0.568306010928962,0.852459016393443
"HINFP",0.841530054644809,0.284153005464481
"HNF1B",0.245901639344262,0.808743169398907
"HNF4A",0.748633879781421,0.180327868852459
"HNF4G",0.524590163934426,0.0983606557377049
