"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.46448087431694,0.524590163934426,0.12568306010929
"AR",0.14207650273224,0.0983606557377049,0.387978142076503
"ARID3A",0.289617486338798,0.967213114754098,0.207650273224044
"ARNT",0.311475409836066,0.0437158469945355,0.748633879781421
"ARNTL",0.699453551912568,0.770491803278688,0.398907103825137
"ASCL2",0.278688524590164,0.650273224043716,0.289617486338798
"ATF1",0.863387978142076,0.590163934426229,0.956284153005464
"ATF2",0.896174863387978,0.633879781420765,0.989071038251366
"ATF3",0.19672131147541,0.136612021857924,0.683060109289617
"BACH1",0.819672131147541,0.491803278688525,0.950819672131147
"BACH2",0.415300546448087,0.191256830601093,0.377049180327869
"BARX2",0.087431693989071,0.704918032786885,0.562841530054645
"BATF",0.551912568306011,0.846994535519126,0.551912568306011
"BCL11A",0.174863387978142,0.87431693989071,0.349726775956284
"BCL6",0.841530054644809,0.961748633879781,0.918032786885246
"BHLHE40",0.109289617486339,0.601092896174863,0.19672131147541
"CEBPA",0.366120218579235,0.114754098360656,0.202185792349727
"CEBPD",0.0163934426229508,0.169398907103825,0.163934426229508
"CLOCK",0.360655737704918,0.295081967213115,0.0601092896174863
"CTCF",0.967213114754098,0.939890710382514,0.945355191256831
"E2F2",0.207650273224044,0.0601092896174863,0.0163934426229508
"E2F3",0.546448087431694,0.0273224043715847,0.174863387978142
"E2F4",0.584699453551913,0.377049180327869,0.633879781420765
"E2F6",0.737704918032787,0.573770491803279,0.0819672131147541
"E2F7",0.316939890710383,0.14207650273224,0.0710382513661202
"E2F8",0.918032786885246,0.442622950819672,0.0546448087431694
"EBF1",0.907103825136612,0.19672131147541,0.786885245901639
"EGR1",0.759562841530055,0.355191256830601,0.579234972677596
"EGR2",0.650273224043716,0.147540983606557,0.147540983606557
"EHF",0.972677595628415,0.672131147540984,0.907103825136612
"ELF1",0.0710382513661202,0.0819672131147541,0.612021857923497
"ELK1",0.60655737704918,0.420765027322404,0.650273224043716
"ELK3",0.409836065573771,0.278688524590164,0.131147540983607
"ELK4",0.628415300546448,0.80327868852459,0.508196721311475
"EPAS1",0.622950819672131,0.262295081967213,0.0218579234972678
"ESR1",0.240437158469945,0.224043715846995,0.169398907103825
"ESR2",0.601092896174863,0.622950819672131,0.191256830601093
"ESRRA",0.0819672131147541,0.0491803278688525,0.46448087431694
"ETS2",0.890710382513661,0.448087431693989,0.923497267759563
"ETV1",0.26775956284153,0.131147540983607,0.404371584699454
"ETV5",0.0437158469945355,0.398907103825137,0.590163934426229
"ETV6",0.978142076502732,0.950819672131147,0.994535519125683
"ETV7",0.562841530054645,0.612021857923497,0.273224043715847
"FOS",0.704918032786885,0.469945355191257,0.360655737704918
"FOSL1",0.0601092896174863,0.404371584699454,0.710382513661202
"FOSL2",0.491803278688525,0.0109289617486339,0.311475409836066
"FOXD2",0.420765027322404,0.103825136612022,0.382513661202186
"FOXH1",0.961748633879781,0.579234972677596,0.836065573770492
"FOXK1",0.765027322404372,0.923497267759563,0.814207650273224
"FOXM1",0.85792349726776,0.562841530054645,0.819672131147541
"FOXO3",0.262295081967213,0.092896174863388,0.0765027322404372
"FOXP1",0.786885245901639,0.595628415300546,0.256830601092896
"FOXP2",0.0491803278688525,0.349726775956284,0.846994535519126
"FOXP3",0.568306010928962,0.765027322404372,0.688524590163934
"GATA1",0.497267759562842,0.546448087431694,0.322404371584699
"GATA2",0.459016393442623,0.453551912568306,0.890710382513661
"GATA3",0.136612021857924,0.0218579234972678,0.699453551912568
"GATA4",0.349726775956284,0.557377049180328,0.437158469945355
