"","P1_2020Oct","P2_2021Mar"
"AHR",0.688524590163934,0.180327868852459
"AR",0.398907103825137,0.0109289617486339
"ARID3A",0.939890710382514,0.808743169398907
"ARNT",0.0218579234972678,0.573770491803279
"ARNTL",0.289617486338798,0.245901639344262
"ASCL2",0.360655737704918,0.103825136612022
"ATF1",0.316939890710383,0.612021857923497
"ATF2",0.513661202185792,0.765027322404372
"ATF3",0.994535519125683,0.814207650273224
"BACH1",0.562841530054645,0.136612021857924
"BACH2",0.437158469945355,0.0163934426229508
"BARX2",0.327868852459016,0.628415300546448
"BATF",0.650273224043716,0.306010928961749
"BCL11A",0.693989071038251,0.0819672131147541
"BCL6",0.683060109289617,0.519125683060109
"BHLHE40",0.901639344262295,0.459016393442623
"CEBPA",0.601092896174863,0.158469945355191
"CEBPD",0.781420765027322,0.185792349726776
"CLOCK",0.502732240437158,0.00546448087431694
"CTCF",0.912568306010929,0.568306010928962
"E2F2",0.945355191256831,0.907103825136612
"E2F3",0.120218579234973,0.153005464480874
"E2F4",0.109289617486339,0.502732240437158
"E2F6",0.409836065573771,0.879781420765027
"E2F7",0.852459016393443,0.546448087431694
"E2F8",0.39344262295082,0.688524590163934
"EBF1",0.617486338797814,0.0327868852459016
"EGR1",0.825136612021858,0.918032786885246
"EGR2",0.923497267759563,0.961748633879781
"EHF",0.431693989071038,0.639344262295082
"ELF1",0.87431693989071,0.12568306010929
"ELK1",0.46448087431694,0.229508196721311
"ELK3",0.442622950819672,0.491803278688525
"ELK4",0.918032786885246,0.644808743169399
"EPAS1",0.80327868852459,0.601092896174863
"ESR1",0.404371584699454,0.885245901639344
"ESR2",0.218579234972678,0.437158469945355
"ESRRA",0.568306010928962,0.0273224043715847
"ETS2",0.765027322404372,0.797814207650273
"ETV1",0.978142076502732,0.967213114754098
"ETV5",0.180327868852459,0.737704918032787
"ETV6",0.770491803278688,0.650273224043716
"ETV7",0.868852459016393,0.174863387978142
"FOS",0.92896174863388,0.819672131147541
"FOSL1",0.622950819672131,0.453551912568306
"FOSL2",0.459016393442623,0.524590163934426
"FOXD2",0.136612021857924,0.251366120218579
"FOXH1",0.907103825136612,0.087431693989071
"FOXK1",0.797814207650273,0.825136612021858
"FOXM1",0.311475409836066,0.934426229508197
"FOXO3",0.519125683060109,0.562841530054645
"FOXP1",0.983606557377049,0.311475409836066
"FOXP2",0.158469945355191,0.868852459016393
"FOXP3",0.890710382513661,0.939890710382514
"GATA1",0.0382513661202186,0.0983606557377049
"GATA2",0.300546448087432,0.950819672131147
"GATA3",0.748633879781421,0.448087431693989
"GATA4",0.278688524590164,0.666666666666667
"GLI2",0.85792349726776,0.415300546448087
"GLIS1",0.333333333333333,0.202185792349727
"GMEB1",0.273224043715847,0.300546448087432
"GMEB2",0.185792349726776,0.0710382513661202
"GRHL2",0.0710382513661202,0.420765027322404
"GTF2B",0.295081967213115,0.994535519125683
"GTF2I",0.0163934426229508,0.0382513661202186
"HEY1",0.0437158469945355,0.540983606557377
"HIF1A",0.491803278688525,0.584699453551913
"HINFP",0.53551912568306,0.693989071038251
"HNF1B",0.382513661202186,0.655737704918033
"HNF4A",0.579234972677596,0.786885245901639
"HNF4G",0.612021857923497,0.633879781420765
"HOXA1",0.245901639344262,0.66120218579235
"HOXA4",0.60655737704918,0.513661202185792
"HOXB13",0.0983606557377049,0.480874316939891
"HOXC6",0.0546448087431694,0.344262295081967
"HSF1",0.486338797814208,0.508196721311475
"HSF2",0.551912568306011,0.890710382513661
"IRF2",0.371584699453552,0.327868852459016
"IRF3",0.950819672131147,0.486338797814208
"IRF4",0.12568306010929,0.748633879781421
"JUN",0.573770491803279,0.73224043715847
"JUNB",0.191256830601093,0.781420765027322
"JUND",0.879781420765027,1
"KLF1",0.114754098360656,0.218579234972678
"KLF10",0.240437158469945,0.836065573770492
"KLF3",0.0273224043715847,0.595628415300546
"KLF4",0.721311475409836,0.896174863387978
"KLF9",0.989071038251366,0.163934426229508
"KMT2A",0.508196721311475,0.590163934426229
"LHX2",0.786885245901639,0.715846994535519
"MAF",0.672131147540984,0.945355191256831
"MAFF",0.256830601092896,0.404371584699454
"MAFK",0.14207650273224,0.699453551912568
"MECOM",0.972677595628415,0.85792349726776
"MEF2A",0.377049180327869,0.191256830601093
"MEF2C",0.092896174863388,0.131147540983607
"MEIS1",0.480874316939891,0.497267759562842
"MITF",0.530054644808743,0.617486338797814
"MNT",0.639344262295082,0.80327868852459
"MXI1",0.420765027322404,0.579234972677596
"MYB",0.355191256830601,0.978142076502732
"MYBL2",0.213114754098361,0.366120218579235
"MYC",0.666666666666667,0.355191256830601
"NANOG",0.524590163934426,0.46448087431694
"NFAT5",0.743169398907104,0.754098360655738
"NFATC1",0.26775956284153,0.398907103825137
"NFE2",0.0819672131147541,0.672131147540984
"NFIC",0.153005464480874,0.273224043715847
"NFYA",0.169398907103825,0.26775956284153
"NFYB",0.103825136612022,0.530054644808743
"NKX2-1",0.808743169398907,0.234972677595628
"NR2C2",0.956284153005464,0.431693989071038
"NR2F2",0.131147540983607,0.60655737704918
"NRF1",0.819672131147541,0.262295081967213
"PAX5",0.306010928961749,0.53551912568306
"PAX6",0.0491803278688525,0.426229508196721
"PBX1",0.841530054644809,0.333333333333333
"PBX3",0.896174863387978,0.622950819672131
"PGR",0.633879781420765,0.14207650273224
"POU2F1",0.584699453551913,0.721311475409836
"POU2F2",0.792349726775956,0.830601092896175
"PPARG",0.087431693989071,0.442622950819672
"PRDM1",0.33879781420765,0.912568306010929
"RARA",0.677595628415301,0.972677595628415
"RARG",0.715846994535519,0.284153005464481
"RBPJ",0.710382513661202,0.475409836065574
"RELA",0.0327868852459016,0.863387978142076
"REST",0.415300546448087,0.683060109289617
"RFX2",0.19672131147541,0.147540983606557
"RFX5",0.469945355191257,0.0601092896174863
"RUNX1",0.557377049180328,0.114754098360656
"RUNX2",0.644808743169399,0.33879781420765
"RUNX3",0.0655737704918033,0.759562841530055
"RXRA",0.174863387978142,0.0546448087431694
"RXRG",0.726775956284153,0.983606557377049
"SETDB1",0.540983606557377,0.710382513661202
"SIX5",0.0601092896174863,0.770491803278688
"SMAD3",0.814207650273224,0.775956284153005
"SOX17",0.775956284153005,0.0218579234972678
"SP1",0.284153005464481,0.387978142076503
"SP4",0.628415300546448,0.409836065573771
"SPDEF",0.366120218579235,0.0655737704918033
"SPI1",0.262295081967213,0.726775956284153
"SPIB",0.830601092896175,0.213114754098361
"SREBF1",0.349726775956284,0.295081967213115
"SRF",0.863387978142076,0.677595628415301
"STAT1",0.234972677595628,0.469945355191257
"STAT2",0.448087431693989,0.852459016393443
"STAT3",0.595628415300546,0.322404371584699
"STAT4",0.344262295081967,0.169398907103825
"STAT5A",0.453551912568306,0.109289617486339
"STAT5B",0.66120218579235,0.120218579234973
"TBP",0.737704918032787,0.92896174863388
"TBX21",0.202185792349727,0.19672131147541
"TCF12",0.0109289617486339,0.371584699453552
"TCF21",0.699453551912568,0.0437158469945355
"TCF3",1,0.841530054644809
"TCF4",0.961748633879781,0.704918032786885
"TCF7L2",0.322404371584699,0.256830601092896
"TEAD4",0.754098360655738,0.377049180327869
"TFAP2A",0.251366120218579,0.901639344262295
"TFAP2C",0.73224043715847,0.989071038251366
"TFAP4",0.836065573770492,0.092896174863388
"TFDP1",0.590163934426229,0.0765027322404372
"THAP1",0.147540983606557,0.0491803278688525
"TP63",0.967213114754098,0.846994535519126
"TP73",0.0765027322404372,0.743169398907104
"USF1",0.655737704918033,0.87431693989071
"USF2",0.885245901639344,0.39344262295082
"VDR",0.497267759562842,0.360655737704918
"VEZF1",0.704918032786885,0.382513661202186
"XBP1",0.759562841530055,0.956284153005464
"YY1",0.546448087431694,0.923497267759563
"ZBTB33",0.846994535519126,0.557377049180328
"ZBTB7A",0.475409836065574,0.349726775956284
"ZBTB7B",0.934426229508197,0.278688524590164
"ZEB1",0.224043715846995,0.207650273224044
"ZFX",0.229508196721311,0.289617486338798
"ZKSCAN1",0.207650273224044,0.240437158469945
"ZNF143",0.426229508196721,0.551912568306011
"ZNF263",0.00546448087431694,0.316939890710383
"ZNF384",0.163934426229508,0.224043715846995
"ZNF76",0.387978142076503,0.792349726775956
