"","P1_2020Oct","P3_2023Jan"
"AHR",0.316939890710383,0.33879781420765
"AR",0.191256830601093,0.80327868852459
"ARID3A",0.185792349726776,0.284153005464481
"ARNT",0.0601092896174863,0.60655737704918
"ARNTL",0.409836065573771,0.39344262295082
"ASCL2",0.174863387978142,0.633879781420765
"ATF1",0.775956284153005,0.655737704918033
"ATF2",0.961748633879781,0.989071038251366
"ATF3",0.158469945355191,0.14207650273224
"BACH1",0.327868852459016,0.639344262295082
"BACH2",0.726775956284153,0.0983606557377049
"BARX2",0.562841530054645,0.109289617486339
"BATF",0.437158469945355,0.540983606557377
"BCL11A",0.371584699453552,0.12568306010929
"BCL6",0.486338797814208,0.131147540983607
"BHLHE40",0.295081967213115,0.644808743169399
"CEBPA",0.163934426229508,0.191256830601093
"CEBPD",0.092896174863388,0.240437158469945
"CLOCK",0.459016393442623,0.185792349726776
"CTCF",0.825136612021858,0.808743169398907
"E2F2",0.475409836065574,0.092896174863388
"E2F3",0.256830601092896,0.0327868852459016
"E2F4",0.431693989071038,0.273224043715847
"E2F6",0.530054644808743,0.426229508196721
"E2F7",0.0546448087431694,0.174863387978142
"E2F8",0.978142076502732,0.85792349726776
"EBF1",0.568306010928962,0.628415300546448
"EGR1",0.80327868852459,0.73224043715847
"EGR2",0.382513661202186,0.519125683060109
"EHF",0.879781420765027,0.366120218579235
"ELF1",0.087431693989071,0.103825136612022
"ELK1",0.262295081967213,0.398907103825137
"ELK3",0.245901639344262,0.431693989071038
"ELK4",0.322404371584699,0.759562841530055
"EPAS1",0.497267759562842,0.0437158469945355
"ESR1",0.0327868852459016,0.0382513661202186
"ESR2",0.590163934426229,0.0655737704918033
"ESRRA",0.344262295081967,0.207650273224044
"ETS2",0.912568306010929,0.912568306010929
"ETV1",0.956284153005464,0.202185792349727
"ETV5",0.333333333333333,0.590163934426229
"ETV6",0.934426229508197,0.819672131147541
"ETV7",0.234972677595628,0.513661202185792
"FOS",0.868852459016393,0.786885245901639
"FOSL1",0.136612021857924,0.218579234972678
"FOSL2",0.644808743169399,0.300546448087432
"FOXD2",0.688524590163934,0.568306010928962
"FOXH1",0.0109289617486339,0.136612021857924
"FOXK1",0.612021857923497,0.896174863387978
"FOXM1",0.579234972677596,0.748633879781421
"FOXO3",0.103825136612022,0.595628415300546
"FOXP1",0.836065573770492,0.486338797814208
"FOXP2",0.540983606557377,0.994535519125683
"FOXP3",0.284153005464481,0.950819672131147
"GATA1",0.453551912568306,0.327868852459016
"GATA2",0.885245901639344,0.825136612021858
"GATA3",0.00546448087431694,0.158469945355191
"GATA4",0.224043715846995,0.26775956284153
"GLI2",0.218579234972678,0.355191256830601
"GLIS1",0.207650273224044,0.163934426229508
"GMEB1",0.819672131147541,0.617486338797814
"GMEB2",0.754098360655738,0.360655737704918
"GRHL2",0.180327868852459,0.120218579234973
"GTF2B",0.939890710382514,0.918032786885246
"GTF2I",0.0983606557377049,0.311475409836066
"HEY1",0.480874316939891,0.333333333333333
"HIF1A",0.808743169398907,0.213114754098361
"HINFP",0.491803278688525,0.92896174863388
"HNF1B",0.524590163934426,0.885245901639344
"HNF4A",0.202185792349727,0.087431693989071
"HNF4G",0.12568306010929,0.0710382513661202
"HOXA1",0.683060109289617,0.404371584699454
"HOXA4",0.950819672131147,0.978142076502732
"HOXB13",0.87431693989071,0.693989071038251
"HOXC6",0.693989071038251,0.754098360655738
"HSF1",0.14207650273224,0.0765027322404372
"HSF2",0.890710382513661,0.841530054644809
"IRF2",0.721311475409836,0.289617486338798
"IRF3",0.442622950819672,0.726775956284153
"IRF4",0.251366120218579,0.53551912568306
"JUN",0.666666666666667,0.622950819672131
"JUNB",0.508196721311475,0.0109289617486339
"JUND",0.989071038251366,1
"KLF1",0.841530054644809,0.180327868852459
"KLF10",0.360655737704918,0.448087431693989
"KLF3",0.945355191256831,0.961748633879781
"KLF4",0.557377049180328,0.699453551912568
"KLF9",0.426229508196721,0.502732240437158
"KMT2A",0.213114754098361,0.251366120218579
"LHX2",0.469945355191257,0.262295081967213
"MAF",0.278688524590164,0.934426229508197
"MAFF",0.0655737704918033,0.00546448087431694
"MAFK",0.420765027322404,0.153005464480874
"MECOM",0.983606557377049,0.923497267759563
"MEF2A",0.19672131147541,0.863387978142076
"MEF2C",0.852459016393443,0.562841530054645
"MEIS1",0.546448087431694,0.0273224043715847
"MITF",0.786885245901639,0.907103825136612
"MNT",0.628415300546448,0.344262295081967
"MXI1",0.240437158469945,0.0601092896174863
"MYB",0.46448087431694,0.797814207650273
"MYBL2",0.519125683060109,0.409836065573771
"MYC",0.830601092896175,0.836065573770492
"NANOG",0.601092896174863,0.415300546448087
"NFAT5",0.622950819672131,0.306010928961749
"NFATC1",0.748633879781421,0.792349726775956
"NFE2",0.650273224043716,0.234972677595628
"NFIC",0.677595628415301,0.437158469945355
"NFYA",0.781420765027322,0.650273224043716
