"","P1_2020Oct","P3_2023Jan"
"AHR",0.699453551912568,0.836065573770492
"AR",0.633879781420765,0.0546448087431694
"ARID3A",0.0601092896174863,0.721311475409836
"ARNT",0.202185792349727,0.0327868852459016
"ARNTL",0.0765027322404372,0.109289617486339
"ASCL2",0.163934426229508,0.0655737704918033
"ATF1",0.513661202185792,0.409836065573771
"ATF2",0.961748633879781,1
"ATF3",0.73224043715847,0.0109289617486339
"BACH1",0.814207650273224,0.568306010928962
"BACH2",0.14207650273224,0.092896174863388
"BARX2",0.639344262295082,0.792349726775956
"BATF",0.300546448087432,0.852459016393443
"BCL11A",0.0546448087431694,0.289617486338798
"BCL6",0.524590163934426,0.743169398907104
"BHLHE40",0.256830601092896,0.103825136612022
"CEBPA",0.431693989071038,0.234972677595628
"CEBPD",0.0327868852459016,0.754098360655738
"CLOCK",0.0819672131147541,0.0765027322404372
"CTCF",0.87431693989071,0.80327868852459
"E2F2",0.868852459016393,0.0382513661202186
"E2F3",0.825136612021858,0.551912568306011
"E2F4",0.60655737704918,0.73224043715847
"E2F6",0.956284153005464,0.519125683060109
"E2F7",0.12568306010929,0.169398907103825
"E2F8",0.819672131147541,0.879781420765027
"EBF1",0.147540983606557,0.868852459016393
"EGR1",0.92896174863388,0.978142076502732
"EGR2",0.896174863387978,0.846994535519126
"EHF",0.918032786885246,0.950819672131147
"ELF1",0.0273224043715847,0.349726775956284
"ELK1",0.737704918032787,0.387978142076503
"ELK3",0.0218579234972678,0.0163934426229508
"ELK4",0.251366120218579,0.770491803278688
"EPAS1",0.404371584699454,0.693989071038251
"ESR1",0.382513661202186,0.262295081967213
"ESR2",0.693989071038251,0.355191256830601
"ESRRA",0.80327868852459,0.114754098360656
"ETS2",0.786885245901639,0.639344262295082
"ETV1",0.426229508196721,0.590163934426229
"ETV5",0.502732240437158,0.956284153005464
"ETV6",0.978142076502732,0.901639344262295
"ETV7",0.797814207650273,0.683060109289617
"FOS",0.710382513661202,0.945355191256831
"FOSL1",0.885245901639344,0.316939890710383
"FOSL2",0.420765027322404,0.480874316939891
"FOXD2",0.770491803278688,0.087431693989071
"FOXH1",0.53551912568306,0.415300546448087
"FOXK1",0.934426229508197,0.983606557377049
"FOXM1",0.224043715846995,0.442622950819672
"FOXO3",0.19672131147541,0.595628415300546
"FOXP1",0.890710382513661,0.46448087431694
"FOXP2",0.590163934426229,0.612021857923497
"FOXP3",0.229508196721311,0.688524590163934
"GATA1",0.185792349726776,0.284153005464481
"GATA2",0.546448087431694,0.136612021857924
"GATA3",0.808743169398907,0.513661202185792
"GATA4",0.66120218579235,0.229508196721311
"GLI2",0.349726775956284,0.207650273224044
"GLIS1",0.409836065573771,0.174863387978142
"GMEB1",0.491803278688525,0.163934426229508
"GMEB2",0.601092896174863,0.14207650273224
"GRHL2",0.136612021857924,0.85792349726776
