"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.191256830601093,0.0163934426229508,0.989071038251366
"AR",0.262295081967213,0.655737704918033,0.983606557377049
"ARID3A",0.852459016393443,0.0437158469945355,0.693989071038251
"ARNT",0.224043715846995,0.415300546448087,0.213114754098361
"ARNTL",0.87431693989071,0.360655737704918,0.961748633879781
"ASCL2",0.180327868852459,0.278688524590164,0.322404371584699
"ATF1",0.295081967213115,0.0109289617486339,0.934426229508197
"ATF2",0.92896174863388,0.311475409836066,0.836065573770492
"ATF3",0.218579234972678,0.213114754098361,0.688524590163934
"BACH1",0.612021857923497,0.333333333333333,0.579234972677596
"BACH2",0.234972677595628,0.185792349726776,0.907103825136612
"BARX2",0.53551912568306,0.33879781420765,0.284153005464481
"BATF",0.579234972677596,0.0710382513661202,0.710382513661202
"BCL11A",0.284153005464481,0.437158469945355,0.912568306010929
"BCL6",0.404371584699454,0.273224043715847,0.174863387978142
"BHLHE40",0.923497267759563,0.448087431693989,0.797814207650273
"CEBPA",0.448087431693989,0.251366120218579,0.901639344262295
"CEBPD",0.185792349726776,0.0819672131147541,0.87431693989071
"CLOCK",0.174863387978142,0.562841530054645,0.475409836065574
"CTCF",0.202185792349727,0.628415300546448,0.715846994535519
"E2F2",0.0491803278688525,0.147540983606557,0.0819672131147541
"E2F3",0.426229508196721,0.398907103825137,0.46448087431694
"E2F4",0.289617486338798,0.163934426229508,0.513661202185792
"E2F6",0.743169398907104,0.502732240437158,0.508196721311475
"E2F7",0.300546448087432,0.234972677595628,0.344262295081967
"E2F8",0.60655737704918,0.989071038251366,0.754098360655738
"EBF1",0.251366120218579,0.453551912568306,0.655737704918033
"EGR1",0.617486338797814,0.890710382513661,0.633879781420765
"EGR2",0.699453551912568,0.60655737704918,0.939890710382514
"EHF",0.934426229508197,0.923497267759563,0.0163934426229508
"ELF1",0.278688524590164,0.180327868852459,0.109289617486339
"ELK1",0.863387978142076,0.366120218579235,0.918032786885246
"ELK3",0.311475409836066,0.85792349726776,0.245901639344262
"ELK4",0.628415300546448,0.486338797814208,0.923497267759563
