"","P1_2020Oct","P3_2023Jan"
"AHR",0.476680303915839,0.591841532945395
"ARNTL",0.797194623027469,-0.61260996492878
"ATF3",0.639333722969024,0.565900585826525
"BACH1",0.541963763880772,-0.361958502321754
"BARX2",-0.631268264172998,-0.429798781324086
"BATF",0.778199883109293,0.377142969102059
"BCL11A",0.86604324956166,-0.618017594388605
"BCL6",-0.826534190531853,-0.668978624189345
"BHLHE40",0.662653419053185,0.351917161386391
"CEBPA",0.594330800701344,0.594339622641509
"CEBPD",0.84406779661017,0.439360097180587
"E2F1",-0.640794856808884,0.670937910225514
"E2F2",0.512857977790766,0.473637806383354
"E2F3",-0.777790765634132,-0.692617410215718
"E2F4",-0.680596142606663,0.726003644272027
"E2F6",0.66031560490941,-0.581692431278042
"E2F7",-0.307831677381648,0.520415760496875
"E2F8",-0.523670368205728,-0.616077901212798
"EGR1",-0.49614260666277,0.464801426360234
"EGR2",-0.677615429573349,-0.562403260251964
"EHF",-0.678725891291642,-0.447050294872548
"ELF1",-0.854003506721216,0.610689864613335
"ELK3",0.474634716540035,0.326436646486021
"ELK4",0.75073056691993,-0.637365543995768
"EPAS1",0.338573933372297,0.329316796959188
"ESR1",0.477030976037405,0.62587433139364
"ESR2",0.798305084745763,-0.511951644820627
"ESRRA",0.386849795441262,0.501841728873998
"ETS2",-0.438573933372297,-0.679921236701346
"ETV5",0.501753360607832,0.540821724563569
"ETV7",-0.825073056691993,-0.764728932776896
"FOSL1",0.827527761542957,0.440467093791023
"FOXD2",0.879076563413209,-0.585111385411156
"FOXH1",-0.709701928696669,-0.538098316973295
"FOXM1",-0.421157218001169,0.708085973471267
"FOXO3",0.788369374634717,0.309704343737142
"FOXP1",-0.570777323202805,-0.697848703932287
"GATA4",0.552834599649328,0.508111444189737
"GFI1B",-0.747106954997078,0.585003624679167
"GLI2",0.805961426066628,0.579968259566214
"GLIS1",0.811221507890123,0.391279217853014
"GMEB1",-0.797194623027469,-0.4260075628441
"GMEB2",-0.853185271770894,-0.486598483512608
"GRHL2",0.777556984219755,0.585072199690433
"GTF2B",-0.450263004091175,-0.558905934677404
"HES1",0.664699006428989,0.531789415936833
"HINFP",0.57895967270602,-0.667607123964028
"HNF1B",0.824780829924021,0.505192107995846
"HNF4A",0.605260081823495,0.38588138482337
"HOXA4",0.446405610753945,-0.469111855639805
"HOXB13",-0.855639976621859,-0.358559141049002
"HOXC6",0.540794856808884,-0.533278473324321
"HSF1",0.605026300409118,-0.563461274711495
"HSF2",-0.80333138515488,-0.651629146339074
"IRF2",-0.709526592635886,0.704304551421462
"IRF3",-0.497136177673875,-0.669488038558749
"JUN",0.444652250146113,0.608720782146986
"JUNB",0.873115137346581,-0.438429436313407
"JUND",-0.52676797194623,-0.38843825310057
"KLF3",-0.395616598480421,-0.580918513293756
"KLF4",-0.796727060198714,-0.420266854758126
"KLF5",-0.603974284044419,-0.709555437998393
"KLF9",0.672355347749854,-0.653774564548679
"LHX2",0.837229690239626,0.423137208801113
"MAF",-0.782700175336061,0.718097925116088
"MAFK",0.856691992986558,0.661954583749682
"MAX",-0.576388077147867,-0.466770508826584
"MECOM",-0.469199298655757,-0.313015537138267
"MEF2C",-0.76750438340152,-0.498863614099022
"MEIS1",0.665166569257744,0.511853680518819
"MITF",0.732612507305669,-0.337682948333627
"MYBL2",0.539392168322618,0.460843668567174
"NANOG",0.62583284628872,0.65576323987539
"NFAT5",-0.35166569257744,-0.60213758106546
"NFYA",-0.717124488603156,-0.381894237739768
"NFYB",-0.481823495032145,-0.383882913066479
"NKX2-1",0.756633547632963,0.545279100295852
"NR2C2",-0.841613091759205,-0.4260075628441
"NR2F2",0.582466393921683,0.648807774446992
"NR5A2",-0.768673290473407,-0.543084699935344
"NRF1",0.427118644067797,0.635572797272674
"PBX1",0.461718293395675,0.511099355394894
"PBX3",-0.529047340736411,-0.532093105272439
"PGR",0.717299824663939,-0.544622739473736
"POU2F2",-0.512799532437171,-0.526038911420678
"PPARG",0.587375803623612,0.559199827582829
"PRDM1",-0.561893629456458,-0.51047238386332
"RARA",-0.482232612507306,0.688434334528498
"RARG",-0.452425482174167,-0.54514195027332
"RBPJ",-0.642314436002338,-0.597160994533592
"RELA",-0.554120397428405,-0.593066086718
