"","P1_2020Oct","P3_2023Jan"
"BHLHE40",-0.528462887200468,0.342326456239346
"CLOCK",-0.401402688486265,-0.38773291012755
"FOS",-0.312215078901227,-0.309459432982621
"FOSL1",-0.347983635300994,0.308920629322675
"HNF4G",-0.562828755113969,0.345951135406258
"HOXA4",-0.462945645821157,-0.318824820235506
"HOXB13",0.342431326709527,-0.356785987186269
"MEF2C",0.335943892460549,-0.316101412645232
"POU2F1",-0.379485680888369,-0.310017829502929
"SPIB",0.404383401519579,0.330698093614687
"TCF3",0.350029222676797,-0.357589294461098
