"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARID3A",0.540256151851078,-0.832760287123908,-0.719882449345651
"ARNT",0.358390456043507,0.863375883349635,0.662851864555168
"ATF2",-0.37487417871918,0.381853868448813,0.616924431531548
"BCL6",0.597643366653653,0.483884179375689,0.688607158872218
"CEBPA",-0.444595964639907,-0.852147199847942,-0.728668219684129
"CTCF",0.474711965354131,0.867443821019507,0.715122635440828
"E2F7",0.377045900934845,0.686366585854003,0.539119341006334
"EBF1",0.408075259738098,0.69875767125068,0.348200072334758
"ELK3",-0.641050271011322,-0.795481358034331,-0.736509183978518
"ESR1",-0.672828656080429,-0.340539985390257,-0.483977567550254
"ESRRA",-0.340599039430558,-0.345126439343838,-0.640636836141755
"ETV6",-0.436319754016748,-0.377260223735795,-0.599984885772474
"ETV7",0.477154547573004,0.644403658595881,0.637011857161541
"FOXH1",-0.521386440052175,-0.778688746258275,-0.699978713295449
"GATA4",-0.433688931661567,-0.500252380024139,-0.670272599940744
"GLI2",-0.60339437519104,-0.853199864501091,-0.533069045661649
"GMEB2",0.376055975716417,0.593702239093071,0.551698015064848
"GTF2B",0.479940622645107,0.46694618920233,0.642635200602167
"HEY1",0.532130654391715,0.900062200069136,0.303454718708544
"IRF1",0.600684261974585,0.795756795384918,0.713577414205906
"IRF4",0.340336047986103,0.527565698139116,0.431923217054988
"JUN",-0.448641311749271,0.399633490117947,0.398943555533609
"JUND",0.369492992443157,0.552522479330091,0.682717631530481
"KLF1",-0.390298974968904,-0.837182916819025,-0.730820695881723
"KLF3",0.36362486343511,0.531699134248202,0.675303435634077
"MECOM",-0.591993136195673,-0.589788590109368,0.338951182713327
"NKX2-1",-0.555370745303832,-0.731852672594258,-0.74581686227302
"NR2F2",0.422419339706866,0.792782478432812,0.490697509922674
"POU2F2",0.330234937006134,0.420396807990627,-0.481859573812149
"RUNX1",-0.304544092679517,-0.741332594665185,-0.727546663926309
"RUNX2",-0.440178676811055,-0.870757041590269,-0.775391001395981
"RXRA",0.440576644301802,0.660107808242463,0.728497242070536
"SNAI2",0.415811263539217,-0.508762487496292,-0.536961760003417
"SPIB",-0.426021929067969,-0.807605603727575,-0.481487873918649
"STAT1",0.464344836560956,0.801125009945924,0.775061074157807
"STAT5B",0.389171955246059,0.745438361982527,0.616971876192789
"TCF4",0.491044066955382,0.359377273979976,-0.318386524515077
"USF2",-0.512005302198052,-0.358248324748457,0.409181642986598
"XBP1",0.555058424048737,0.612104643057744,0.694578162910687
"YY1",-0.494606102975223,-0.53194830969476,-0.63892168828257
"ZBTB7A",0.344876206386243,-0.799693267213789,-0.497572548292126
"ZKSCAN1",-0.41871022216573,-0.837410363666416,-0.632106856587668
