"","P1_2020Oct","P3_2023Jan"
"CTCF",0.475971617481051,-0.419699812382739
"E2F3",-0.425012094823416,0.393058161350844
"FOXD2",0.632398000322528,-0.367166979362101
"GATA2",0.548863086598936,-0.489305816135084
"GLI2",0.490888566360264,-0.372983114446529
"HNF4G",0.570875665215288,0.467166979362101
"IRF3",-0.454200935333011,-0.30844277673546
"NR3C1",0.471375584583132,0.317073170731707
"NR5A2",-0.486856958555072,-0.443339587242026
"NRF1",0.357442348008386,-0.638649155722326
"RARG",-0.302048056765038,0.321575984990619
"TCF21",-0.505321722302854,0.318386491557223
"TFAP4",-0.313417190775681,-0.300562851782364
"YY1",0.488630865989356,0.427204502814259
