"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BATF",0.644629996868803,-0.337931034482759,0.419354838709677
"CDX2",-0.867237240371569,-0.477196885428254,-0.396370967741936
"EGR1",0.405740528128588,-0.393548387096774,-0.31008064516129
"FOS",-0.664627909404029,-0.468298109010011,-0.336290322580645
"FOXK1",0.856006679887277,0.302335928809789,0.626209677419355
"FOXP3",0.842187663083186,0.483426028921023,0.579838709677419
"GATA4",-0.776683018474063,-0.361067853170189,-0.377016129032258
"HINFP",0.583968270535435,0.304560622914349,0.489112903225806
"HNF1B",0.704999478133807,-0.532369299221357,0.409677419354839
"HOXC6",0.370086629788122,0.844716351501669,0.353225806451613
"IRF4",0.591608391608392,-0.370856507230256,-0.536290322580645
"JUN",0.781859931113663,0.347719688542825,-0.385483870967742
"KLF10",0.583592526876109,-0.344160177975528,0.571774193548387
"NFYB",-0.729506314580942,0.380645161290323,-0.330645161290323
"NR2F2",0.844066381379814,-0.588431590656285,-0.331048387096774
"PGR",-0.685711303621751,-0.667630700778643,-0.433064516129032
"PRDM1",0.608266360505167,-0.362847608453838,-0.444758064516129
"RARA",0.92547750756706,0.544827586206897,0.328225806451613
"TBX21",-0.798559649305918,0.403337041156841,0.310483870967742
"TCF21",-0.880555265629893,-0.551056729699666,-0.664516129032258
"TFDP1",-0.786118359252688,0.676974416017798,-0.543548387096774
"ZNF384",-0.672476776954389,0.367296996662959,0.349596774193548
