"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"CEBPA",0.339027442256213,0.708353942144381,-0.317584826136981
"CEBPB",0.363600056666259,0.704663915142792,-0.355819844226602
"ETV1",-0.476965125452502,-0.634062763566687,0.479164524215872
"FOXA1",-0.328944843340037,0.585848434557769,-0.443174026276974
"FOXP2",-0.536410851815781,0.649995018570511,0.320218859939263
"GLIS1",0.524150205118256,0.673379689037914,-0.6148809741723
"HOXA1",0.452045602756853,-0.434900900114087,-0.412240977206181
"JUN",-0.37019476508037,0.397551758139,-0.338470464507336
"MAF",0.617877310889208,-0.713387834541022,0.324637992722838
"MEF2C",-0.409148987106601,0.550273693386665,0.326867703517801
"NR2F2",0.44303524677131,-0.523196041695685,0.359573139439664
"NRF1",-0.495712544297764,0.617656304999039,-0.592196541780215
"PGR",0.521717318585336,0.64763938307967,0.322177555581667
"RXRG",0.413831805162387,0.59663100524568,0.580409726911012
"SOX17",-0.332542606259301,-0.38434054532493,-0.402274333341805
"SP2",0.313510803426922,0.603122177996425,-0.340226084066523
"STAT2",0.344586478622775,-0.477474906261178,0.375650144515396
"TAL1",-0.48378345041093,-0.708998370016508,-0.459669186061776
"TP63",-0.415773101698971,0.698192946553914,-0.477621688949338
"ZBTB7A",0.31147817524753,0.634265416403701,0.512240141469689
