"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ARID3A",-0.624332731831865,0.343759620322032,0.337525385824453
"ARNTL",-0.507891140686738,0.354348332925741,0.319327867599156
"BARX2",0.377168251935127,0.400691552806311,-0.318123702719489
"E2F6",0.42076570921239,0.330064288624364,0.585121701235715
"E2F8",0.33277922258891,-0.581252548016464,-0.379097042436307
"ELK4",-0.740882894764756,-0.387698477027257,0.456044462863352
"ETS2",0.705686668707105,-0.478037974180643,0.514604605575608
"ETV6",-0.563128991762216,0.31457995479565,-0.589448850443141
"ETV7",0.434960817928762,-0.336236677053077,0.465725881426705
"FOSL1",-0.587701334566751,0.475171190372849,-0.311475852563573
"FOXM1",0.334647309310014,0.622945075444378,0.321900395926221
"FOXO3",-0.694431939348054,0.418591353610253,0.372710007768407
"GATA1",0.698173408210108,0.323345674737171,0.305084352750076
"GATA2",0.619160040397574,0.518949500393523,-0.473083329682461
"HES1",-0.662046301309657,-0.640828271483357,0.45553795398724
"HINFP",-0.56635117041631,-0.655892936007002,-0.347114426596331
"HOXB13",-0.62688722721703,0.434086893108574,-0.337930941411692
"NFE2",-0.642380900812255,0.329825370165713,-0.325039995115935
"PBX1",0.454045179090129,0.43613770042953,0.391021341214626
"POU2F1",-0.338912296905027,0.315466900523332,-0.472929341291682
"POU2F2",0.423970683225518,0.446857383541343,0.33415965946734
"RUNX2",-0.767976088191736,0.429867517066065,-0.414549060636125
"SPDEF",-0.739585803893148,0.524220579463512,0.500274531553271
"STAT5B",0.682512846342973,0.313992132533326,-0.411184871718785
"TCF21",0.558300637533045,0.527238334201829,0.349188417081182
"VEZF1",-0.755671016537197,-0.421993802381836,-0.324198061559141
"ZBTB33",0.729447593304996,0.34404387080773,0.393857473446115
"ZFX",-0.465483860529569,0.413637394990142,-0.466247212799089
