"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ATF3",0.6267348897601,0.334260679524603,-0.477644156645082
"BATF",-0.376396012950635,0.395695265917508,-0.412519272278754
"BCL11A",-0.356393186645288,-0.45233387139717,0.476287388220783
"BHLHE40",-0.368411280596155,0.484323607843096,-0.497995683009559
"EBF1",0.313029407567223,0.586121131678992,0.301264261486278
"IRF3",-0.53855080493736,-0.309116316770831,0.520937403638606
"KLF1",-0.579763094048808,0.49523803116181,-0.408448967005859
"KMT2A",0.343760721071645,-0.783394672938749,0.300277520814061
"MEIS1",-0.657611716015077,-0.51347494215924,0.430403946962689
"NFE2",-0.438364436683764,0.555270890022084,-0.557570151094665
"NFIC",-0.424913042139933,-0.47441281559877,0.509343200740055
"RUNX1",0.726389856641958,-0.514914633193507,0.322725871107
"RUNX3",-0.565481437330177,-0.573622909953339,0.517853839037928
"SOX17",-0.306197863760889,0.432340280138512,-0.328152944804194
"SREBF1",0.306041017805724,-0.536977487613685,0.66759173604687
"TP73",-0.338825740086244,0.441168123194817,-0.457662658032686
"ZNF263",0.379615622472765,0.476960275277337,-0.367252543940796
