"","P1_2020Oct","P3_2023Jan"
"ATF1",-0.35006487457582,0.319238900634249
"CEBPD",-0.311622529775767,0.440048323769254
"CUX1",0.345473750748553,0.345967985502869
"HINFP",-0.334395169339277,0.545303533675627
"HNF4G",0.339693259697917,-0.385986106916339
"IRF2",0.324056823474616,-0.56312292358804
"KLF10",-0.362790272140528,0.513138024765932
"KLF3",0.481427573358174,-0.356387798248263
"MAFK",-0.358107658526848,-0.533222591362126
"MECOM",0.305110120433828,-0.332829960736937
"MYBL2",-0.377827866125491,0.42479613409846
"NFYB",0.371157428970657,0.453186348535186
"TEAD4",-0.312712089959412,0.586076713983691
"USF2",0.304819016567969,-0.373905164602839
