"","P1_2020Oct","P3_2023Jan"
"ATF1",0.316280191629516,-0.458622772576261
"BARX2",-0.478574755472753,-0.376019329507702
"E2F7",-0.428546476811498,0.323316218665056
"ELK3",0.431183046110852,0.366958622772576
"FOSL2",-0.341664448732451,-0.356991845363938
"HEY1",0.344417459578149,-0.303986710963455
"HNF1B",-0.362316188701843,0.512684989429176
"HNF4A",-0.348301616874044,0.407429779522803
"MEF2A",-0.420961141792535,0.529749320446995
"NR2C2",-0.403395102801251,-0.335850196315313
"NR2F2",0.42673331558986,0.401087284808215
"NR5A2",-0.432372413334221,-0.343702808819088
"PAX6",0.320305742231685,-0.419057686499547
"POU2F2",-0.489428771042651,0.36288130474177
"PRDM1",0.321594916494777,0.384778012684989
"RARA",0.439982700113115,-0.357595892479613
"RUNX1",0.419014904517932,0.380851706433102
"RUNX3",0.42426309135671,-0.359559045605557
"SPI1",-0.365044247787611,0.353971609785563
"SREBF1",0.446603233748087,-0.316369676834793
"STAT4",-0.414789739836317,-0.366052552099064
"ZBTB7A",0.338470623461308,-0.342796738145575
"ZNF76",-0.327724732184443,-0.370280881908789
