"","P1_2020Oct","P3_2023Jan"
"AHR",-0.437196420254175,0.306402899426155
"ARID3A",0.411096879366558,-0.353367562669888
"ASCL2",0.328265353649611,-0.319842947749924
"BCL11A",0.451568633974316,0.351102385986107
"EGR2",0.348409741167077,-0.332376925400181
"EHF",-0.436456184709562,0.365901540320145
"ESR1",0.331434227160822,-0.323316218665056
"ESRRA",0.398521192361435,-0.456508607671398
"FOXP3",-0.340574888548806,0.391875566294171
"GATA2",0.437396034333622,0.382059800664452
"GATA3",0.433129283385455,-0.364995469646632
"GLI2",0.391800851686739,-0.305043793415886
"GMEB1",-0.322501497105596,0.314859559045606
"GTF2B",-0.388507219375873,0.317275747508306
"GTF2I",-0.436065273803979,-0.313651464814255
"HOXA4",-0.320214252445273,0.313953488372093
"HSF1",0.389388848226762,-0.305345816973724
"HSF2",-0.38809967396367,0.373905164602839
"IRF3",0.353242065340342,-0.396556931440652
"JUND",-0.429586133475281,0.334038054968288
"KLF9",0.310749218178189,0.304439746300211
"MAFF",-0.433245724931799,-0.403352461491996
"MEF2C",-0.317727393705503,0.342645726366657
"MITF",0.336183378800985,-0.401389308366053
"NFYA",0.375,-0.371639987919058
"NR3C1",0.330710626122829,-0.30096647538508
"NRF1",0.358373810632777,-0.332980972515856
"RARG",0.316654468028478,0.338115372999094
"RFX2",0.400733581741966,-0.446088794926004
"RXRG",-0.325820081176392,0.426759287224404
"SETDB1",0.350414199214851,-0.333887043189369
"SP4",-0.407221039323974,0.384173965569314
"SPI1",-0.363048106993147,0.408788885533072
"TFAP4",0.391559651340741,-0.44050135910601
"TP73",0.345348991948899,-0.384324977348233
"USF1",-0.388607026415597,0.388100271821202
"VDR",-0.324614079446404,-0.427967381455754
"ZBTB7A",0.377960942178455,-0.322108124433706
"ZBTB7B",0.318401091223634,-0.366958622772576
"ZNF263",-0.330569232816555,0.37133796436122
