"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ATF2",0.494480519480519,-0.454915236947637,-0.494964028776978
"E2F7",0.317471042471042,-0.362495138636523,-0.457679074131999
"E2F8",0.326456651456651,-0.50213262437121,-0.385240627373877
"ELK4",-0.316681291681292,-0.529534775484702,0.391469681397739
"GATA1",0.366575991575992,0.496891915154065,0.638737208990571
"HSF2",0.307985257985258,-0.504172803141875,-0.583703472005005
"JUNB",-0.497806247806248,0.305625155404242,0.422239599624648
"JUND",0.322718497718498,-0.411765455948077,-0.572831672550159
"LHX2",-0.513364338364338,0.322163354563944,-0.445417578980294
"SP1",-0.370472095472095,-0.389030213772482,0.538259082175253
"TBX21",0.356221481221481,-0.312485256520603,-0.345587381026855
"TP63",0.350807300807301,-0.427207059018546,-0.41946467670584
"ZBTB7A",-0.442120042120042,-0.469285746163507,0.444099378881988
"ZEB1",0.593787293787294,-0.343406716013491,0.530367755485053
