"","P1_2020Oct","P2_2021Mar"
"AHR",-0.417382434560864,0.519015901590159
"BACH1",0.305796144903623,-0.41012901290129
"E2F8",0.407815195379885,-0.3202400240024
"EPAS1",0.50888022200555,0.491413141314131
"GATA3",0.667626190654766,-0.384854485448545
"GATA4",-0.654472361809045,0.375649564956496
"GLIS1",-0.428242706067652,0.334209420942094
"GMEB1",0.358844971124278,-0.421470147014701
"HNF1B",-0.43692792319808,-0.474767476747675
"IRF4",-0.524906622665567,0.304290429042904
"JUN",-0.39620790519763,-0.506642664266427
"KLF4",0.441939548488712,-0.408748874887489
"KLF9",-0.446787669691742,0.424518451845185
"MYBL2",-0.308332708317708,0.345310531053105
"NFAT5",0.403285082127053,-0.627758775877588
"NKX2-1",0.482491562289057,0.433063306330633
"NRF1",0.47723243081077,0.436675667566757
"POU2F1",0.375409885247131,0.461566156615662
"RELA",-0.402227555688892,-0.31000300030003
"RUNX1",-0.482340058501463,-0.439303930393039
"SPDEF",0.624849621240531,-0.461650165016502
"STAT1",0.43134328358209,0.388418841884188
"TCF21",-0.501650041251031,-0.396099609960996
"TCF3",0.380786019650491,0.314683468346835
"TCF4",0.460922523063077,-0.568832883288329
"ZFX",-0.355144378609465,0.512355235523552
