"","P1_2020Oct","P2_2021Mar"
"BATF",-0.323484587114678,0.413717371737174
"BHLHE40",0.636278406960174,0.324164416441644
"CEBPD",-0.587240681017026,-0.335397539753975
"CTCF",0.302232055801395,0.451077107710771
"E2F4",-0.513267831695792,-0.482244224422442
"E2F7",-0.387689192229806,-0.308130813081308
"FOXK1",0.673363834095853,0.473423342334233
"FOXP1",0.453501837545939,0.322376237623762
"FOXP2",0.404761119027976,0.321176117611761
"GLI2",-0.385017625440636,-0.453237323732373
"GLIS1",0.300345008625216,-0.428466846684669
"GRHL2",0.554779869496738,-0.572625262526253
"HOXA1",0.568296707417685,-0.431683168316832
"HOXA4",0.614986874671867,-0.327716771677168
"KLF1",-0.589396234905873,-0.366468646864686
"KLF3",-0.655765394134853,0.458169816981698
"MITF",0.328232205805145,0.511983198319832
"MNT",0.367575189379735,-0.366384638463846
"MYB",-0.555691892297307,0.504506450645064
"MYBL2",0.666057151428786,-0.316855685568557
"NANOG",-0.313380334508363,0.362808280828083
"NR2C2",-0.636528913222831,0.335781578157816
"NR2F2",-0.364822620565514,-0.303594359435944
"NR3C1",0.579813995349884,0.416369636963696
"NRF1",-0.375175879396985,-0.449360936093609
"SOX17",-0.470240756018901,-0.434695469546955
"SP1",-0.395834395859897,0.458601860186019
"STAT5A",-0.588421210530263,-0.515811581158116
"TAL1",0.451536788419711,-0.471947194719472
"TBP",0.374278856971424,0.54023402340234
"TBX21",0.594430360759019,0.353387338733873
"YY1",0.314379359483987,0.442676267626763
"ZNF143",0.376707417685442,0.425274527452745
