"","P1_2020Oct","P3_2023Jan"
"E2F1",-0.323063438985586,0.408033826638478
"E2F6",0.379328741413968,0.489358703312192
"EBF1",0.381615174292873,-0.321916842847075
"ETV6",-0.32357788638334,-0.319802677942213
"FOSL2",-0.327550563510437,-0.35799859055673
"HINFP",0.382739337125001,-0.368287526427061
"HOXA1",-0.307115569655225,-0.362367864693446
"KLF3",0.467680318576314,-0.315292459478506
"KLF9",0.305181628511818,0.493727977448908
"MAF",-0.368706355330723,-0.361804087385483
"MAFF",0.303123838920804,0.328823114869627
"MAX",-0.337201215620147,0.33615221987315
"MEF2C",-0.325502300723084,-0.524735729386892
"POU2F1",0.30351443787095,0.406342494714588
"PRDM1",0.3068202387417,0.369978858350951
"SPI1",0.341497804071756,0.394080338266385
"STAT5A",0.339087522745244,-0.316983791402396
"TCF3",-0.339135156763554,0.498238195912614
"ZBTB7B",0.304533805862795,-0.3276955602537
"ZNF263",-0.389893966675241,0.451726568005638
