"","P1_2020Oct","P3_2023Jan"
"BCL11A",-0.311732607850758,0.310471753057659
"CEBPA",-0.332024096385542,0.39381479324403
"ELK3",-0.398501360279829,-0.487384973791497
"ESRRA",0.348196657598135,-0.501059988351776
"FOXH1",0.348,-0.386488060570763
"HOXC6",-0.377830547998445,0.308514851485149
"IKZF1",0.403835211815002,0.35049504950495
"MAF",-0.315284881461329,0.329400116482236
"MAX",-0.362278274387874,-0.408444962143273
"NANOG",0.320834823163622,0.504554455445545
"NR2C2",0.38741857753595,-0.463343040186371
"POU2F2",0.305631558492033,0.442352941176471
"RARA",0.347406140691799,-0.469493302271404
"RUNX2",0.364230858919549,0.353197437390798
"RUNX3",-0.325400699572483,0.311986022131625
"SP1",0.342446949086669,-0.406301688992429
"STAT5A",0.363053245239021,-0.466290040768783
"STAT5B",0.353845316750874,-0.551729761211415
"USF1",0.314047415468325,0.418963308095515
"ZNF143",-0.314025650991061,-0.395224228305183
