"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"ETV5",-0.429723410799626,0.399450549450549,-0.471541501976285
"FOXM1",0.478348521835875,-0.456364468864469,-0.68102766798419
"GLI2",0.424239982026052,-0.43021978021978,-0.494861660079051
"HNF4A",0.493266673646333,0.39271978021978,-0.348616600790514
"HSF2",-0.579227483537946,0.441483516483516,0.663504611330698
"JUNB",-0.658334007462591,0.553800366300366,0.597364953886693
"MAFK",0.36456737478422,0.584111721611722,0.340579710144927
"MXI1",0.477380857934657,0.41735347985348,-0.358234519104084
"NFE2",0.479396824395529,-0.485897435897436,0.523451910408432
"NR2C2",-0.422707847515789,-0.645695970695971,-0.508036890645586
"PGR",0.395935812915399,0.578937728937729,0.476548089591568
"POU2F2",0.586968794747697,0.374450549450549,0.333333333333333
"RXRG",0.814773004826312,0.408745421245421,0.684584980237154
"SPDEF",0.423594872758573,-0.67481684981685,-0.399341238471673
"SPIB",0.593661803397794,-0.652197802197802,0.455731225296443
"STAT5A",-0.470284655992385,0.69514652014652,-0.314624505928854
"TFDP1",-0.375856786965107,-0.489285714285714,0.653227931488801
"USF2",0.570276592451671,-0.443131868131868,0.791304347826087
"ZKSCAN1",-0.56632529818836,-0.386355311355311,0.527931488801054
