"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"BHLHE40",0.579716572375735,-0.342323986215794,0.568247694334651
"CEBPD",-0.46320075805166,0.517229539737462,0.894861660079051
"E2F1",0.352288991544556,-0.319954209309043,-0.716732542819499
"E2F7",-0.455419598133132,-0.39970234949964,-0.658234519104084
"FOSL1",-0.34906364028299,0.671116203596491,0.764953886693017
"GATA4",-0.344991634315263,-0.443182601644901,-0.79828722002635
"GLI2",0.340677727002918,-0.388368634485473,-0.780237154150198
"HINFP",0.736025157889382,-0.305437895533322,-0.83201581027668
"HSF1",-0.543431370683117,0.377813396866218,-0.893412384716732
"HSF2",-0.495413953776552,0.423766459560024,0.720816864295125
"KLF4",-0.302416997662591,-0.608677737245714,-0.878919631093544
"KMT2A",0.505412542687406,0.30823125559742,-0.856258234519104
"MEF2A",0.622936279280721,0.356336579324219,0.866534914361001
"MXI1",0.77134275420353,0.35679450720358,-0.876548089591568
"NANOG",0.632572016174649,-0.406571267690045,0.539262187088274
"NFATC1",-0.379744794158638,0.365975961184754,0.787088274044796
"RARG",-0.377325780712463,-0.648196913234508,0.453227931488801
"TCF12",-0.397161690971094,0.430543792174556,-0.335573122529644
"TP63",-0.769649444791208,-0.445518033829638,0.411725955204216
"USF1",-0.366077368187751,-0.736141962465654,0.608036890645586
"XBP1",-0.739573044277104,0.431894679418669,-0.643214756258234
