"","AHR","AR","ARID3A","ARNT","ARNTL","ASCL2","ATF1","ATF2","ATF3","BACH1","BARX2","BATF","BCL11A","BCL6","BHLHE40","CEBPA","CLOCK","CTCF","E2F2","E2F3","E2F4","E2F6","E2F7","E2F8","EBF1","EGR1","EGR2","EHF","ELF1","ELK1","ELK4","EPAS1","ESR1","ESR2","ETS2","ETV1","ETV5","ETV6","ETV7","FOS","FOSL1","FOSL2","FOXD2","FOXH1","FOXK1","FOXM1","FOXO3","FOXP1","FOXP2","FOXP3","GATA1","GATA2","GATA3","GATA4","GLI2","GLIS1","GMEB1","GMEB2","GRHL2","GTF2B","GTF2I","HEY1","HIF1A","HINFP","HNF1B","HNF4A","HNF4G","HOXA1","HOXA4","HOXB13","HOXC6","HSF1","HSF2","IRF2","IRF3","IRF4","JUN","JUNB","JUND","KLF1","KLF10","KLF3","KLF4","KLF9","KMT2A","LHX2","MAF","MAFF","MAFK","MECOM","MEF2A","MEF2C","MEIS1","MITF","MNT","MXI1","MYB","MYBL2","MYC","NANOG","NFAT5","NFATC1","NFE2","NFIC","NFYA","NFYB","NKX2-1","NR2C2","NR2F2","NRF1","PAX5","PAX6","PBX1","PBX3","PGR","POU2F1","POU2F2","PPARG","PRDM1","RARA","RARG","RBPJ","RELA","REST","RFX2","RFX5","RUNX1","RUNX2","RUNX3","RXRA","RXRG","SETDB1","SIX5","SMAD3","SOX17","SP1","SP4","SPDEF","SPI1","SPIB","SRF","STAT1","STAT2","STAT3","STAT4","STAT5A","STAT5B","TBP","TBX21","TCF12","TCF21","TCF3","TCF4","TCF7L2","TEAD4","TFAP2A","TFAP2C","TFAP4","TFDP1","THAP1","TP63","TP73","USF1","USF2","VDR","VEZF1","XBP1","YY1","ZBTB33","ZBTB7A","ZBTB7B","ZEB1","ZFX","ZKSCAN1","ZNF143","ZNF263","ZNF384","ZNF76"
"Bcell",94.5,56.5,71.5,102,96,77,120,164.5,101.5,112.5,69.5,83,107.5,106.5,106,46.5,100,156.5,26,78.5,24,151.5,67,99,140.5,162.5,173,106,16,148.5,105,22,40,126,156,24,38,176,92.5,125.5,148,157,70.5,125.5,39.5,108.5,71.5,136,110,77,113,126.5,106,32.5,62,94,115,89.5,106,172,42.5,65,70.5,44,85.5,57,102,147.5,88,131.5,88.5,87,171,91.5,154,82,118.5,73.5,132.5,9.5,156,95,110.5,68.5,40.5,107.5,61.5,46,70,80,100,123.5,116.5,111.5,39.5,133,76,74.5,154.5,100.5,119,95.5,103.5,97.5,147.5,124,105,20,144.5,18.5,61,109,67,145,149.5,63.5,103,127,71,125.5,69,85,168.5,77,76,134.5,10,60,143,110.5,38.5,103,49,62.5,16,127.5,143,24.5,120.5,107.5,114.5,170,119.5,90,90,123.5,12.5,33.5,13.5,82.5,21,86,83,149.5,63,68.5,87,57.5,62.5,143,96.5,36,98.5,168.5,60,71.5,97,107,156,134.5,70,85.5,54.5,69.5,63,72.5,126,7.5
"CD4Tcell",108.333333333333,54.3333333333333,83.6666666666667,56,101.666666666667,52,64,164.666666666667,21.3333333333333,120.333333333333,98,69,84,135.333333333333,135.333333333333,40.6666666666667,13.3333333333333,112,24.6666666666667,84.3333333333333,65.6666666666667,57.6666666666667,37,117.666666666667,166,115,57.6666666666667,157,36,140.333333333333,106.333333333333,55.6666666666667,25.6666666666667,118,135.333333333333,112,53,179,100.333333333333,139,52,33,66,89,171,68,18.3333333333333,105.666666666667,131,108.666666666667,90.3333333333333,133.333333333333,71.3333333333333,89.3333333333333,45.3333333333333,60,147.666666666667,99,46,181.333333333333,8.66666666666667,62,69.6666666666667,135,79.6666666666667,31.6666666666667,115.333333333333,143.666666666667,169,30.3333333333333,110.666666666667,58,135.666666666667,143.666666666667,133.333333333333,42,130.666666666667,78.6666666666667,182.333333333333,37.3333333333333,126.333333333333,137,174.333333333333,62.6666666666667,41.6666666666667,114,118,49.6666666666667,65.6666666666667,160,107.333333333333,136,31.3333333333333,90.6666666666667,45,48.3333333333333,30.6666666666667,47.3333333333333,141.666666666667,143,65.6666666666667,100.333333333333,59.6666666666667,65,90.6666666666667,30.3333333333333,45.6666666666667,44,111.666666666667,70.6666666666667,113.666666666667,158.666666666667,51.6666666666667,125.666666666667,129,129,86,101,77.3333333333333,80.6666666666667,75,83.6666666666667,159.666666666667,136.666666666667,109,125.333333333333,13.3333333333333,62,111,86.3333333333333,149,65.3333333333333,105.333333333333,87.6666666666667,27,70,134.333333333333,25.6666666666667,91.6666666666667,69,73.3333333333333,112.666666666667,94.6666666666667,158.666666666667,73.3333333333333,130,101.333333333333,126.333333333333,99.3333333333333,168.333333333333,112,180,109.333333333333,117.333333333333,99.6666666666667,53,165.666666666667,79,83.3333333333333,31.6666666666667,125,82.3333333333333,148.333333333333,79,119.666666666667,121,126,128.666666666667,152.333333333333,92.6666666666667,106,103,128.333333333333,96.6666666666667,50.3333333333333,71,49.6666666666667,18
"CD8Tcell",152.333333333333,35.6666666666667,31.6666666666667,64,111.666666666667,54,92.6666666666667,169,123,125,108,48.6666666666667,64.6666666666667,85.6666666666667,33.3333333333333,52.6666666666667,17.6666666666667,118,20.3333333333333,40.6666666666667,96.3333333333333,102.333333333333,60,114.666666666667,81.6666666666667,63,63.3333333333333,141.666666666667,57,122.333333333333,72.3333333333333,45.3333333333333,49.3333333333333,109,146.666666666667,79,104.666666666667,145,70.6666666666667,125,84.3333333333333,66.3333333333333,62.3333333333333,136.666666666667,130,112.333333333333,51.3333333333333,101,74.3333333333333,129.333333333333,113.333333333333,116,44.6666666666667,93.6666666666667,80.6666666666667,62.6666666666667,84,45,63.3333333333333,166.666666666667,131.666666666667,73,89.6666666666667,124.666666666667,114.666666666667,155.333333333333,27.6666666666667,124.333333333333,104.333333333333,76,109.333333333333,59,79.3333333333333,63.6666666666667,114.333333333333,43.6666666666667,154,101.333333333333,173.333333333333,88.6666666666667,88.6666666666667,111.666666666667,94.3333333333333,132.666666666667,40,106.333333333333,126.666666666667,54.6666666666667,90.6666666666667,126,148.666666666667,80.3333333333333,88.3333333333333,72.6666666666667,72.3333333333333,62.6666666666667,58.3333333333333,32.3333333333333,158.666666666667,50.6666666666667,116.333333333333,86,86,127,53.3333333333333,54.6666666666667,65,57,118,69.6666666666667,39.6666666666667,132.666666666667,66.6666666666667,124.333333333333,131,144.333333333333,70.3333333333333,90.6666666666667,100.666666666667,104.666666666667,71.6666666666667,126.333333333333,104.666666666667,131.333333333333,35.6666666666667,163.333333333333,76,98,120.666666666667,59.6666666666667,141.333333333333,114,114.333333333333,49,73.6666666666667,84.3333333333333,89,40.6666666666667,132.333333333333,41.3333333333333,24.3333333333333,129.666666666667,157.333333333333,154,87.3333333333333,94.6666666666667,143,119.666666666667,123.333333333333,118,34,159,86.3333333333333,114,88.6666666666667,39.6666666666667,90.3333333333333,45.6666666666667,109.666666666667,89,96.6666666666667,101.666666666667,106.666666666667,71,113,84.6666666666667,134,108,82.6666666666667,135.333333333333,135,127.333333333333,75.3333333333333,94.6666666666667,108.666666666667,79.3333333333333,85.3333333333333,76.6666666666667
"cDC",140.5,63,71.5,21.5,17,21,84.5,179.5,68,126.5,131,105.5,31.5,116,33,61,14.5,153.5,83,126,122.5,135,27,155.5,93,174.5,159.5,171,34.5,103,93.5,100.5,59,96,130.5,93,133.5,172,135.5,151.5,110,82.5,78.5,87,175.5,61,72.5,124,110,84,43,62.5,121,81.5,51,53.5,60,68,91,160.5,108,24.5,99,90,61,98,119,101.5,153.5,50.5,71,93,112.5,51,167.5,82.5,21.5,65.5,172,39.5,86,166,152,128.5,90,116,96,79.5,74.5,91,98.5,51.5,94.5,116.5,110,95,40.5,65.5,110.5,99,100,120.5,67,110,43.5,110.5,46,56,163,24.5,89.5,140,107,18.5,95.5,120,144,107.5,62,167,87.5,138,106,156,127.5,50,53.5,73,87.5,79,173,35,113,97.5,91,135.5,89,13,175,65.5,97.5,109.5,122.5,76,126,172.5,116,165,67.5,81.5,45.5,114,105.5,92,56.5,88,79,23,3,62,81,108,126,140,128.5,97.5,101.5,78.5,107.5,80.5,19,80,82.5,25,31.5,57.5,29,90.5
"Endothelial",101.5,71,35,101,32.5,76,153,169,66,141,90,142.5,34,125,89.5,52.5,122.5,79.5,93,104.5,120,102,58.5,161.5,50,82,93.5,171,77,148,79.5,8,28,70.5,176.5,127.5,70,181,70.5,112.5,37.5,96.5,66.5,73,143,157,67,140,18,134.5,66.5,81,52.5,85,3,6,155,33,35,182,94.5,44.5,6,84,155,72,98,107,172.5,124.5,131.5,110.5,102,118,78.5,105.5,80.5,115,182.5,79,146,175,125,109,56.5,40.5,115,55.5,53.5,171.5,104,157.5,40,11,57,107.5,34.5,79.5,109.5,47,58.5,13,56.5,80.5,75.5,94.5,38,77.5,112.5,111,122.5,143,16,67.5,119,71.5,28,157,94.5,92.5,124.5,115.5,152.5,62.5,131,161.5,72,90,140.5,98.5,169,88.5,126,84.5,23.5,141.5,114.5,24.5,104,119,86,157.5,88.5,134.5,35.5,102.5,141,79.5,80.5,109,29.5,127.5,67,116,67,18.5,73,82,128,117,141.5,33.5,65.5,65,107,50,95,114,126,101.5,113.5,125.5,94,58,80,112,100.5,47.5
"Fibroblast",64,37,67,83.3333333333333,31,73.3333333333333,117,177.666666666667,67.3333333333333,26.6666666666667,102,82.3333333333333,22,57,98,61.3333333333333,92.3333333333333,118.666666666667,57,125,80,114,123.333333333333,156,79.6666666666667,115,118.666666666667,131,31.3333333333333,86,134,71.6666666666667,40.3333333333333,81.3333333333333,112,101.333333333333,56.6666666666667,177.333333333333,87.6666666666667,114,99,81.6666666666667,82.3333333333333,94.6666666666667,102.333333333333,65,28,121.333333333333,95,128.666666666667,61,109.666666666667,73.3333333333333,61.3333333333333,106.666666666667,46.6666666666667,143.333333333333,45.6666666666667,72.3333333333333,182,73.6666666666667,57,76.6666666666667,143.333333333333,163.666666666667,112,112.333333333333,94.6666666666667,168.333333333333,133,131.666666666667,87.3333333333333,89.3333333333333,96.3333333333333,117,73.3333333333333,147,99.3333333333333,182.333333333333,22.3333333333333,166.666666666667,170,135.666666666667,93.3333333333333,24,124,52,85.3333333333333,112,154.666666666667,81,107.666666666667,70.3333333333333,57.6666666666667,124.666666666667,112.333333333333,47.6666666666667,18,102,136,76,85,28.3333333333333,104.666666666667,94.3333333333333,62.3333333333333,53,102.333333333333,62.3333333333333,46.6666666666667,69.6666666666667,98,51.3333333333333,109.333333333333,108.333333333333,42,51.6666666666667,127,92.6666666666667,170.333333333333,69.3333333333333,60,117.666666666667,104.333333333333,79.3333333333333,102.333333333333,101.666666666667,66.3333333333333,88,121,150.333333333333,102.666666666667,69.3333333333333,134.333333333333,115.666666666667,164,169.333333333333,92,119.666666666667,29,76.6666666666667,148.333333333333,111.666666666667,103.666666666667,56.6666666666667,94.3333333333333,69.6666666666667,109.666666666667,69.6666666666667,102,66.6666666666667,107.666666666667,119.333333333333,155,124,85,79.6666666666667,103.333333333333,53,73,43,45.3333333333333,107,96.3333333333333,47.6666666666667,115.333333333333,139.333333333333,63.6666666666667,64.3333333333333,85.3333333333333,96.6666666666667,115.333333333333,53,45,148.666666666667,65.6666666666667,81.6666666666667,67
"Macrophage",119.666666666667,78.3333333333333,88,91,65.6666666666667,15.3333333333333,105.666666666667,176,20.3333333333333,113,109.333333333333,127.666666666667,29.6666666666667,123.666666666667,107.333333333333,131.333333333333,24.6666666666667,109.666666666667,42.3333333333333,46.3333333333333,124.666666666667,141,10.3333333333333,91.6666666666667,97,115,118,172.666666666667,44.3333333333333,122.666666666667,91.6666666666667,86,76.6666666666667,48,121.333333333333,147,58,171.666666666667,51.6666666666667,146,125.666666666667,90,103.333333333333,31,152.333333333333,8,59,113.333333333333,87,165.666666666667,72,108.666666666667,55.6666666666667,30,39,60.3333333333333,108,9.33333333333333,22,177.666666666667,34.3333333333333,42.6666666666667,153.333333333333,80.3333333333333,128.333333333333,65.3333333333333,145,148,180.333333333333,78,106.333333333333,44.6666666666667,126.666666666667,84,122.333333333333,67,55.6666666666667,126,183,69.6666666666667,95,142,177,167.333333333333,35,129.666666666667,60.3333333333333,32,23.3333333333333,165.666666666667,108,72.3333333333333,36.3333333333333,83.6666666666667,57,82.3333333333333,36.6666666666667,47.3333333333333,158.333333333333,104,45,80.3333333333333,167.666666666667,47,52.6666666666667,86.6666666666667,4.66666666666667,44,148.666666666667,60,31.3333333333333,139.666666666667,91.6666666666667,59.6666666666667,132.333333333333,108.666666666667,42.6666666666667,170.333333333333,40,129.666666666667,119,124,116.666666666667,129.666666666667,39.3333333333333,171,12.3333333333333,30,106,44,152.333333333333,77,142,95.6666666666667,50.3333333333333,148,87.6666666666667,106.666666666667,149.666666666667,147,38,105.666666666667,100,142.666666666667,65.6666666666667,147,145.666666666667,127.666666666667,121.333333333333,69.3333333333333,11.6666666666667,172.333333333333,89.6666666666667,136.333333333333,117,40.6666666666667,111,48.3333333333333,51,8.66666666666667,104,51,143.666666666667,59.3333333333333,102.666666666667,146.333333333333,110,167,85.6666666666667,103.333333333333,84.3333333333333,113.333333333333,138,80.3333333333333,42.6666666666667,60,106,65.3333333333333
"Malignant_epithelial",124.333333333333,50.6666666666667,25.6666666666667,104,83,93,80.6666666666667,133,83.6666666666667,81.3333333333333,90.3333333333333,94,59.3333333333333,156.666666666667,46.6666666666667,83,26.3333333333333,115,22,136.666666666667,48.3333333333333,113.666666666667,49.3333333333333,124.333333333333,147.333333333333,154,65,154,34.3333333333333,139.666666666667,130.666666666667,77.6666666666667,104.333333333333,111.666666666667,152.333333333333,80.3333333333333,94.6666666666667,180,116.333333333333,116,71.6666666666667,11,106.666666666667,100,118.333333333333,78,55,57.6666666666667,99.3333333333333,115,103,72.3333333333333,54.6666666666667,134.666666666667,77,99.3333333333333,85.3333333333333,68,95,149.666666666667,88.3333333333333,41.6666666666667,161.333333333333,149.666666666667,79,155.666666666667,55.6666666666667,87,170,114,153.666666666667,65.6666666666667,135.666666666667,69.6666666666667,89,56.3333333333333,85.3333333333333,64.3333333333333,180.666666666667,5.33333333333333,153.333333333333,101.333333333333,153.333333333333,120.666666666667,80,101,75.3333333333333,70.3333333333333,35.3333333333333,152.666666666667,73.6666666666667,85.3333333333333,54.6666666666667,95,67.6666666666667,49.6666666666667,106.333333333333,79.6666666666667,136,110,85,105.666666666667,28,99.6666666666667,84,96.3333333333333,52,160,118.666666666667,27.3333333333333,66.6666666666667,103,27.3333333333333,75.3333333333333,127.666666666667,103.666666666667,44,132.333333333333,135,158.333333333333,63.3333333333333,142.333333333333,82,63,43.6666666666667,168.666666666667,27.3333333333333,104.333333333333,104.333333333333,81,104.333333333333,65,120,102.666666666667,54.6666666666667,79,76.3333333333333,141.666666666667,160.333333333333,58.6666666666667,48.3333333333333,82.3333333333333,92.6666666666667,155.666666666667,26,131.333333333333,47,125,86.3333333333333,135.666666666667,65,159,107.333333333333,70,82.3333333333333,128.666666666667,139.666666666667,34.6666666666667,57,80,104.666666666667,44.3333333333333,32.6666666666667,76,56.6666666666667,76,132,81.6666666666667,58.6666666666667,78.6666666666667,106.333333333333,81.6666666666667,110.333333333333,131,87.6666666666667,139,75,50.3333333333333
"Malignant_mesothelial",122,53,64,107.5,29.5,34,129,159,35,38.5,37.5,101.5,39.5,101.5,88.5,134.5,15,97.5,105,97.5,38,174,59.5,110,104,63,71,129,126.5,165.5,39,87.5,65,106,126,94.5,88,182,17.5,99.5,126,37.5,62,71.5,107.5,77.5,55.5,107,46,119,40.5,124,70.5,44,23,136,117.5,34,110,181,123.5,136.5,130,103,96.5,85,57,119.5,112.5,131.5,99,102,175.5,10.5,122.5,141.5,111,75.5,177,72,173,83.5,146.5,105,96,118.5,112,108.5,19.5,139,102,97.5,100,76,110.5,55.5,44,131.5,81,90.5,118,18.5,23,145.5,67,65,110,147.5,119.5,35,57,124.5,116.5,125.5,79.5,57,87,94.5,91.5,114.5,124.5,102,161,98.5,15.5,104.5,20,75,84,76.5,142,26,111,101.5,27,128,152.5,67.5,132,85.5,108,71.5,127,68.5,71,175.5,119,72.5,100.5,122,14,94,136,109,156.5,140.5,97,87.5,58,114.5,46,18,101.5,103,116.5,114.5,67.5,97,73.5,65,62,111,60.5,123,104.5,150,76,3
"NKcell",68,38.3333333333333,89.3333333333333,67.3333333333333,114,74.3333333333333,147,153.666666666667,62,138,82.6666666666667,119,85.3333333333333,166,55.3333333333333,41.6666666666667,43.6666666666667,174,17.3333333333333,45.6666666666667,97.3333333333333,85,32.3333333333333,86.3333333333333,115.333333333333,103.333333333333,57.6666666666667,155.666666666667,46.6666666666667,102.333333333333,118.333333333333,55.3333333333333,38.6666666666667,86.3333333333333,138,49,63,178.333333333333,88.3333333333333,93.6666666666667,71.6666666666667,49.6666666666667,55.3333333333333,145,152.666666666667,136.666666666667,26.3333333333333,100,76,123.333333333333,83.3333333333333,110,52.3333333333333,82,83,65.6666666666667,79.6666666666667,42,148.333333333333,146,70,47.3333333333333,101,75.6666666666667,99,36,50,115.666666666667,138.666666666667,81.3333333333333,142.333333333333,33.6666666666667,145.333333333333,119.333333333333,139.333333333333,153.333333333333,66.3333333333333,82.6666666666667,182,13.3333333333333,93.6666666666667,156.333333333333,132.333333333333,124.666666666667,45.6666666666667,106.333333333333,136.666666666667,43.6666666666667,69,157,100.333333333333,86.3333333333333,35.6666666666667,94.6666666666667,70.3333333333333,28,62.3333333333333,61.3333333333333,128,107,68,39.3333333333333,108,96.3333333333333,135,78.3333333333333,60.3333333333333,39.6666666666667,100,82.6666666666667,84,73.6666666666667,150,109.666666666667,118,116,48,117,63.3333333333333,91.3333333333333,24.6666666666667,125.666666666667,153,113,97.6666666666667,174.666666666667,37.3333333333333,137.666666666667,157,111.666666666667,102,100.666666666667,80.3333333333333,68,133.666666666667,76.6666666666667,111,42,138.333333333333,43,103.666666666667,58.6666666666667,91.6666666666667,168,66,84.3333333333333,77.6666666666667,89.6666666666667,121.666666666667,127,57,154.666666666667,90.6666666666667,123,115.666666666667,57.6666666666667,79.3333333333333,139.666666666667,57.3333333333333,67.3333333333333,98.3333333333333,88,115,64.3333333333333,114.666666666667,50.6666666666667,129.333333333333,162.333333333333,116.333333333333,80.3333333333333,102.333333333333,136,99,58.3333333333333,102,122.333333333333,88,26
