"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",155,148,154
"AR",13,23,71
"ARID3A",14,4,77
"ARNT",98,60,34
"ARNTL",81,116,138
"ASCL2",52,11,99
"ATF1",114,52,112
"ATF2",177,153,177
"ATF3",167,100,102
"BACH1",172,129,74
"BACH2",9,42,42
"BARX2",162,59,103
"BATF",67,49,30
"BCL11A",48,19,127
"BCL6",135,22,100
"BHLHE40",6,88,6
"CEBPA",5,149,4
"CEBPD",38,21,48
"CLOCK",31,13,9
"CTCF",128,50,176
"E2F2",28,5,28
"E2F3",35,40,47
"E2F4",71,127,91
"E2F6",50,91,166
"E2F7",36,142,2
"E2F8",100,155,89
"EBF1",133,14,98
"EGR1",111,58,20
"EGR2",137,37,16
"EHF",148,109,168
"ELF1",65,25,81
"ELK1",126,171,70
"ELK3",23,164,79
"ELK4",104,2,111
"EPAS1",60,64,12
"ESR1",45,95,8
"ESR2",101,71,155
"ESRRA",95,56,37
"ETS2",84,183,173
"ETV1",108,6,123
"ETV5",143,122,49
"ETV6",182,121,132
"ETV7",61,15,136
"FOS",139,55,181
"FOSL1",151,20,82
"FOSL2",12,163,24
"FOXD2",30,92,65
"FOXH1",159,106,145
"FOXK1",83,170,137
"FOXM1",127,97,113
"FOXO3",66,73,15
"FOXP1",73,99,131
"FOXP2",106,81,36
"FOXP3",142,138,108
"GATA1",91,101,148
"GATA2",103,124,121
"GATA3",20,69,45
"GATA4",69,140,72
"GLI2",59,79,104
"GLIS1",78,41,69
"GMEB1",54,112,86
"GMEB2",3,80,52
"GRHL2",88,61,41
"GTF2B",181,139,180
"GTF2I",152,167,76
"HEY1",138,76,5
"HIF1A",130,46,93
"HINFP",146,65,163
"HNF1B",68,162,114
"HNF4A",168,152,146
"HNF4G",41,7,35
"HOXA1",140,150,83
"HOXA4",113,179,21
"HOXB13",19,84,125
"HOXC6",119,34,175
"HSF1",92,26,59
"HSF2",16,53,169
"IRF2",44,3,144
"IRF3",117,74,152
"IRF4",43,63,25
"JUN",175,182,105
"JUNB",63,144,97
"JUND",183,154,183
"KLF1",2,107,157
"KLF10",17,108,141
"KLF3",176,35,124
"KLF4",166,29,88
"KLF9",129,135,134
"KMT2A",97,12,11
"LHX2",77,147,95
"MAF",141,161,78
"MAFF",107,38,19
"MAFK",58,118,96
"MECOM",125,94,159
"MEF2A",144,146,156
"MEF2C",53,27,161
"MEIS1",40,168,57
"MITF",80,54,84
"MNT",102,8,107
"MXI1",8,30,150
"MYB",39,83,53
"MYBL2",26,9,62
"MYC",171,134,171
"NANOG",7,72,73
"NFAT5",149,70,130
"NFATC1",75,115,68
"NFE2",57,114,87
"NFIC",109,123,149
"NFYA",76,67,17
"NFYB",56,28,80
"NKX2-1",21,128,46
"NR2C2",62,82,27
"NR2F2",4,176,174
"NRF1",147,18,44
"PAX5",49,44,26
"PAX6",173,96,129
"PBX1",34,102,64
"PBX3",178,110,85
"PGR",105,172,116
"POU2F1",94,175,164
"POU2F2",89,66,56
"PPARG",136,17,119
"PRDM1",134,158,10
"RARA",153,43,118
"RARG",99,93,23
"RBPJ",124,90,165
"RELA",86,113,115
"REST",154,78,162
"RFX2",15,85,7
"RFX5",170,177,143
"RUNX1",70,145,13
"RUNX2",145,89,60
"RUNX3",180,24,158
"RXRA",22,119,38
"RXRG",87,165,172
"SETDB1",96,156,90
"SIX5",120,45,178
"SMAD3",24,62,61
"SOX17",33,87,101
"SP1",46,141,66
"SP4",122,36,109
"SPDEF",10,98,14
"SPI1",42,173,182
"SPIB",85,10,29
"SREBF1",18,136,51
"SRF",25,47,1
"STAT1",131,166,92
"STAT2",156,169,147
"STAT3",165,130,167
"STAT4",169,75,18
"STAT5A",74,57,153
"STAT5B",157,178,94
"TBP",27,181,151
"TBX21",150,157,63
"TCF12",174,1,179
"TCF21",64,16,22
"TCF3",179,159,139
"TCF4",72,77,110
"TCF7L2",29,180,133
"TEAD4",55,105,106
"TFAP2A",1,86,32
"TFAP2C",164,68,39
"TFAP4",51,32,54
"TFDP1",163,31,135
"THAP1",32,160,75
"TP63",37,131,122
"TP73",112,51,142
"USF1",110,143,67
"USF2",115,48,50
"VDR",47,132,160
"VEZF1",93,103,58
"XBP1",123,151,128
"YY1",121,33,170
"ZBTB33",11,120,117
"ZBTB7A",160,126,120
"ZBTB7B",161,104,140
"ZEB1",82,174,126
"ZFX",132,39,55
"ZKSCAN1",116,125,43
"ZNF143",158,137,31
"ZNF263",118,117,3
"ZNF384",90,133,33
"ZNF76",79,111,40
