"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",146,93,120
"AR",86,82,67
"ARID3A",77,117,70
"ARNT",116,70,87
"ARNTL",70,64,63
"ASCL2",4,1,41
"ATF1",84,76,157
"ATF2",177,171,180
"ATF3",40,5,16
"BACH1",152,58,129
"BACH2",46,126,96
"BARX2",134,66,128
"BATF",113,128,142
"BCL11A",23,26,40
"BCL6",126,109,136
"BHLHE40",117,100,105
"CEBPA",124,106,164
"CEBPD",57,45,137
"CLOCK",3,59,12
"CTCF",106,73,150
"E2F2",38,62,27
"E2F3",49,36,54
"E2F4",108,112,154
"E2F6",145,160,118
"E2F7",10,17,4
"E2F8",74,146,55
"EBF1",91,51,149
"EGR1",163,74,108
"EGR2",141,124,89
"EHF",173,167,178
"ELF1",80,50,3
"ELK1",120,80,168
"ELK3",16,20,76
"ELK4",9,144,122
"EPAS1",102,121,35
"ESR1",47,131,52
"ESR2",66,25,53
"ESRRA",32,24,15
"ETS2",150,122,92
"ETV1",162,176,103
"ETV5",33,113,28
"ETV6",181,153,181
"ETV7",63,42,50
"FOS",175,137,126
"FOSL1",132,130,115
"FOSL2",79,90,101
"FOXD2",90,132,88
"FOXH1",69,14,10
"FOXK1",172,129,156
"FOXM1",11,12,1
"FOXO3",56,47,74
"FOXP1",97,134,109
"FOXP2",122,29,110
"FOXP3",156,168,173
"GATA1",94,77,45
"GATA2",87,88,151
"GATA3",83,35,49
"GATA4",51,13,26
"GLI2",14,43,60
"GLIS1",42,41,98
"GMEB1",135,85,104
"GMEB2",8,11,9
"GRHL2",25,33,8
"GTF2B",182,174,177
"GTF2I",26,54,23
"HEY1",29,18,81
"HIF1A",153,162,145
"HINFP",85,118,38
"HNF1B",95,150,140
"HNF4A",88,44,64
"HNF4G",147,161,127
"HOXA1",159,166,119
"HOXA4",178,181,182
"HOXB13",60,84,90
"HOXC6",104,98,117
"HSF1",12,71,51
"HSF2",160,65,155
"IRF2",103,105,44
"IRF3",138,145,84
"IRF4",50,56,95
"JUN",30,37,100
"JUNB",93,154,131
"JUND",183,183,183
"KLF1",27,39,143
"KLF10",101,138,46
"KLF3",149,133,144
"KLF4",176,179,176
"KLF9",171,173,158
"KMT2A",75,9,21
"LHX2",164,119,106
"MAF",100,15,66
"MAFF",37,40,19
"MAFK",7,30,33
"MECOM",167,169,161
"MEF2A",114,152,58
"MEF2C",99,7,111
"MEIS1",17,23,69
"MITF",107,97,47
"MNT",35,114,22
"MXI1",96,86,65
"MYB",15,2,93
"MYBL2",20,116,6
"MYC",154,151,170
"NANOG",41,102,169
"NFAT5",62,16,57
"NFATC1",68,101,72
"NFE2",170,158,175
"NFIC",58,21,62
"NFYA",48,78,32
"NFYB",105,69,86
"NKX2-1",1,8,5
"NR2C2",22,19,91
"NR2F2",180,87,179
"NRF1",98,53,29
"PAX5",39,31,24
"PAX6",151,120,148
"PBX1",144,72,59
"PBX3",53,49,77
"PGR",142,108,147
"POU2F1",44,159,123
"POU2F2",55,34,39
"PPARG",165,172,174
"PRDM1",36,28,56
"RARA",137,127,125
"RARG",109,135,113
"RBPJ",139,155,78
"RELA",128,110,112
"REST",121,115,153
"RFX2",5,83,30
"RFX5",179,182,152
"RUNX1",6,6,25
"RUNX2",24,52,14
"RUNX3",112,123,83
"RXRA",67,48,17
"RXRG",148,175,134
"SETDB1",45,149,37
"SIX5",127,178,121
"SMAD3",92,79,116
"SOX17",43,95,13
"SP1",129,143,172
"SP4",76,63,124
"SPDEF",73,148,99
"SPI1",169,141,139
"SPIB",157,177,107
"SREBF1",31,22,36
"SRF",34,60,20
"STAT1",123,27,167
"STAT2",82,170,48
"STAT3",168,94,166
"STAT4",61,4,132
"STAT5A",143,157,141
"STAT5B",155,136,146
"TBP",161,142,80
"TBX21",71,163,130
"TCF12",54,81,73
"TCF21",18,10,7
"TCF3",174,180,163
"TCF4",111,61,97
"TCF7L2",110,139,160
"TEAD4",125,147,79
"TFAP2A",13,67,42
"TFAP2C",72,99,162
"TFAP4",2,125,18
"TFDP1",19,91,43
"THAP1",21,3,2
"TP63",130,68,114
"TP73",64,55,34
"USF1",140,156,135
"USF2",28,75,75
"VDR",131,92,85
"VEZF1",115,165,159
"XBP1",133,103,94
"YY1",166,164,171
"ZBTB33",78,111,68
"ZBTB7A",81,96,133
"ZBTB7B",119,32,102
"ZEB1",118,57,165
"ZFX",136,140,138
"ZKSCAN1",52,107,82
"ZNF143",59,38,31
"ZNF263",65,104,11
"ZNF384",158,89,71
"ZNF76",89,46,61
