"","P1_2020Oct","P3_2023Jan"
"AHR",125,119
"AR",47,59
"ARID3A",40,88
"ARNT",82,133
"ARNTL",53,6
"ASCL2",6,62
"ATF1",129,129
"ATF2",166,152
"ATF3",27,43
"BACH1",21,56
"BACH2",117,19
"BARX2",64,11
"BATF",86,117
"BCL11A",5,74
"BCL6",46,157
"BHLHE40",4,173
"CEBPA",110,159
"CEBPD",57,115
"CLOCK",15,15
"CTCF",19,176
"E2F2",123,87
"E2F3",37,158
"E2F4",34,42
"E2F6",174,174
"E2F7",50,69
"E2F8",108,112
"EBF1",102,106
"EGR1",68,58
"EGR2",101,41
"EHF",179,79
"ELF1",90,163
"ELK1",177,154
"ELK3",2,50
"ELK4",44,34
"EPAS1",147,28
"ESR1",54,76
"ESR2",173,39
"ESRRA",39,4
"ETS2",159,93
"ETV1",59,130
"ETV5",119,57
"ETV6",182,182
"ETV7",22,13
"FOS",178,21
"FOSL1",91,161
"FOSL2",28,47
"FOXD2",70,54
"FOXH1",77,66
"FOXK1",171,44
"FOXM1",14,141
"FOXO3",36,75
"FOXP1",120,94
"FOXP2",29,63
"FOXP3",58,180
"GATA1",51,30
"GATA2",80,168
"GATA3",13,128
"GATA4",17,71
"GLI2",41,5
"GLIS1",145,127
"GMEB1",143,92
"GMEB2",23,45
"GRHL2",142,78
"GTF2B",181,181
"GTF2I",163,84
"HEY1",148,125
"HIF1A",104,156
"HINFP",154,52
"HNF1B",45,148
"HNF4A",137,33
"HNF4G",96,18
"HOXA1",172,67
"HOXA4",56,169
"HOXB13",162,101
"HOXC6",138,60
"HSF1",156,48
"HSF2",176,175
"IRF2",11,10
"IRF3",155,90
"IRF4",169,114
"JUN",157,65
"JUNB",42,109
"JUND",183,171
"KLF1",10,134
"KLF10",167,179
"KLF3",150,17
"KLF4",175,118
"KLF9",114,96
"KMT2A",60,132
"LHX2",71,166
"MAF",144,80
"MAFF",164,53
"MAFK",25,14
"MECOM",113,165
"MEF2A",153,51
"MEF2C",18,177
"MEIS1",87,113
"MITF",128,24
"MNT",130,91
"MXI1",7,104
"MYB",48,40
"MYBL2",152,111
"MYC",124,38
"NANOG",81,100
"NFAT5",97,139
"NFATC1",1,36
"NFE2",20,26
"NFIC",140,151
"NFYA",103,31
"NFYB",95,35
"NKX2-1",112,108
"NR2C2",135,160
"NR2F2",89,150
"NRF1",62,8
"PAX5",107,7
"PAX6",126,123
"PBX1",161,72
"PBX3",141,110
"PGR",74,85
"POU2F1",92,22
"POU2F2",72,102
"PPARG",84,105
"PRDM1",63,120
"RARA",94,135
"RARG",118,131
"RBPJ",88,116
"RELA",180,142
"REST",170,27
"RFX2",30,1
"RFX5",136,73
"RUNX1",31,9
"RUNX2",127,23
"RUNX3",85,83
"RXRA",67,86
"RXRG",131,153
"SETDB1",32,20
"SIX5",79,143
"SMAD3",33,170
"SOX17",52,2
"SP1",134,122
"SP4",158,147
"SPDEF",106,29
"SPI1",165,99
"SPIB",122,49
"SREBF1",83,61
"SRF",49,167
"STAT1",61,82
"STAT2",116,138
"STAT3",69,68
"STAT4",65,77
"STAT5A",168,183
"STAT5B",76,162
"TBP",38,107
"TBX21",98,103
"TCF12",146,98
"TCF21",12,16
"TCF3",43,145
"TCF4",132,140
"TCF7L2",121,97
"TEAD4",149,164
"TFAP2A",109,172
"TFAP2C",16,178
"TFAP4",111,64
"TFDP1",35,81
"THAP1",93,136
"TP63",55,37
"TP73",24,12
"USF1",66,137
"USF2",160,46
"VDR",78,155
"VEZF1",105,124
"XBP1",9,126
"YY1",73,121
"ZBTB33",115,32
"ZBTB7A",75,55
"ZBTB7B",99,25
"ZEB1",133,89
"ZFX",26,95
"ZKSCAN1",100,146
"ZNF143",139,70
"ZNF263",151,149
"ZNF384",8,144
"ZNF76",3,3
