"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",85,96,23
"AR",26,18,71
"ARID3A",53,177,38
"ARNT",57,8,137
"ARNTL",128,141,73
"ASCL2",51,119,53
"ATF1",158,108,175
"ATF2",164,116,181
"ATF3",36,25,125
"BACH1",150,90,174
"BACH2",76,35,69
"BARX2",16,129,103
"BATF",101,155,101
"BCL11A",32,160,64
"BCL6",154,176,168
"BHLHE40",20,110,36
"CEBPA",67,21,37
"CEBPD",3,31,30
"CLOCK",66,54,11
"CTCF",177,172,173
"E2F2",38,11,3
"E2F3",100,5,32
"E2F4",107,69,116
"E2F6",135,105,15
"E2F7",58,26,13
"E2F8",168,81,10
"EBF1",166,36,144
"EGR1",139,65,106
"EGR2",119,27,27
"EHF",178,123,166
"ELF1",13,15,112
"ELK1",111,77,119
"ELK3",75,51,24
"ELK4",115,147,93
"EPAS1",114,48,4
"ESR1",44,41,31
"ESR2",110,114,35
"ESRRA",15,9,85
"ETS2",163,82,169
"ETV1",49,24,74
"ETV5",8,73,108
"ETV6",179,174,182
"ETV7",103,112,50
"FOS",129,86,66
"FOSL1",11,74,130
"FOSL2",90,2,57
"FOXD2",77,19,70
"FOXH1",176,106,153
"FOXK1",140,169,149
"FOXM1",157,103,150
"FOXO3",48,17,14
"FOXP1",144,109,47
"FOXP2",9,64,155
"FOXP3",104,140,126
"GATA1",91,100,59
"GATA2",84,83,163
"GATA3",25,4,128
"GATA4",64,102,80
"GLI2",118,42,89
"GLIS1",82,32,83
"GMEB1",65,56,118
"GMEB2",47,71,8
"GRHL2",182,117,146
"GTF2B",172,182,84
"GTF2I",132,38,40
"HEY1",4,80,58
"HIF1A",19,144,140
"HINFP",14,146,67
"HNF1B",134,161,2
"HNF4A",56,1,51
"HNF4G",12,78,60
"HOXA1",87,113,147
"HOXA4",165,95,156
"HOXB13",74,94,76
"HOXC6",124,142,161
"HSF1",1,14,86
"HSF2",173,124,139
"IRF2",138,132,88
"IRF3",133,115,170
"IRF4",155,162,143
"JUN",18,84,97
"JUNB",95,127,26
"JUND",183,180,183
"KLF1",7,16,17
"KLF10",45,157,79
"KLF3",141,148,180
"KLF4",159,67,171
"KLF9",70,126,178
"KMT2A",27,6,104
"LHX2",106,49,164
"MAF",152,98,160
"MAFF",6,92,33
"MAFK",98,53,56
"MECOM",147,165,159
"MEF2A",108,58,135
"MEF2C",63,85,111
"MEIS1",31,33,43
"MITF",68,40,176
"MNT",17,29,165
"MXI1",10,13,61
"MYB",80,101,6
"MYBL2",79,3,102
"MYC",120,166,98
"NANOG",33,173,115
"NFAT5",2,125,77
"NFATC1",61,39,18
"NFE2",130,46,148
"NFIC",35,122,132
"NFYA",97,163,145
"NFYB",41,37,157
"NKX2-1",29,145,7
"NR2C2",23,68,28
"NR2F2",42,159,99
"NRF1",28,66,154
"PAX5",105,47,100
"PAX6",89,87,45
"PBX1",160,139,151
"PBX3",88,128,113
"PGR",142,118,94
"POU2F1",93,164,91
"POU2F2",73,62,9
"PPARG",113,111,127
"PRDM1",60,91,39
"RARA",127,57,90
"RARG",46,7,21
"RBPJ",161,120,96
"RELA",122,179,158
"REST",109,107,123
"RFX2",170,75,48
"RFX5",169,183,172
"RUNX1",62,34,16
"RUNX2",137,154,122
"RUNX3",167,137,167
"RXRA",22,151,162
"RXRG",112,150,44
"SETDB1",69,158,75
"SIX5",55,55,131
"SMAD3",54,121,29
"SOX17",116,175,110
"SP1",96,72,62
"SP4",102,149,82
"SPDEF",30,28,68
"SPI1",136,170,109
"SPIB",52,23,54
"SREBF1",21,104,5
"SRF",86,133,92
"STAT1",94,60,22
"STAT2",92,88,95
"STAT3",181,171,152
"STAT4",72,63,63
"STAT5A",123,43,87
"STAT5B",24,167,42
"TBP",174,76,19
"TBX21",148,79,138
"TCF12",180,59,142
"TCF21",71,99,1
"TCF3",171,152,141
"TCF4",121,70,81
"TCF7L2",151,89,129
"TEAD4",83,143,121
"TFAP2A",5,61,107
"TFAP2C",81,52,105
"TFAP4",149,93,177
"TFDP1",78,22,72
"THAP1",34,134,34
"TP63",131,44,120
"TP73",40,45,179
"USF1",99,181,65
"USF2",59,20,114
"VDR",153,136,55
"VEZF1",50,50,52
"XBP1",117,135,136
"YY1",175,178,134
"ZBTB33",162,138,49
"ZBTB7A",39,156,46
"ZBTB7B",37,153,117
"ZEB1",145,130,133
"ZFX",125,131,41
"ZKSCAN1",143,12,20
"ZNF143",126,168,12
"ZNF263",146,97,124
"ZNF384",156,30,78
"ZNF76",43,10,25
