"","P1_2020Oct","P3_2023Jan"
"AHR",58,62
"AR",35,147
"ARID3A",34,52
"ARNT",11,111
"ARNTL",75,72
"ASCL2",32,116
"ATF1",142,120
"ATF2",176,181
"ATF3",29,26
"BACH1",60,117
"BACH2",133,18
"BARX2",103,20
"BATF",80,99
"BCL11A",68,23
"BCL6",89,24
"BHLHE40",54,118
"CEBPA",30,35
"CEBPD",17,44
"CLOCK",84,34
"CTCF",151,148
"E2F2",87,17
"E2F3",47,6
"E2F4",79,50
"E2F6",97,78
"E2F7",10,32
"E2F8",179,157
"EBF1",104,115
"EGR1",147,134
"EGR2",70,95
"EHF",161,67
"ELF1",16,19
"ELK1",48,73
"ELK3",45,79
"ELK4",59,139
"EPAS1",91,8
"ESR1",6,7
"ESR2",108,12
"ESRRA",63,38
"ETS2",167,167
"ETV1",175,37
"ETV5",61,108
"ETV6",171,150
"ETV7",43,94
"FOS",159,144
"FOSL1",25,40
"FOSL2",118,55
"FOXD2",126,104
"FOXH1",2,25
"FOXK1",112,164
"FOXM1",106,137
"FOXO3",19,109
"FOXP1",153,89
"FOXP2",99,182
"FOXP3",52,174
"GATA1",83,60
"GATA2",162,151
"GATA3",1,29
"GATA4",41,49
"GLI2",40,65
"GLIS1",38,30
"GMEB1",150,113
"GMEB2",138,66
"GRHL2",33,22
"GTF2B",172,168
"GTF2I",18,57
"HEY1",88,61
"HIF1A",148,39
"HINFP",90,170
"HNF1B",96,162
"HNF4A",37,16
"HNF4G",23,13
"HOXA1",125,74
"HOXA4",174,179
"HOXB13",160,127
"HOXC6",127,138
"HSF1",26,14
"HSF2",163,154
"IRF2",132,53
"IRF3",81,133
"IRF4",46,98
"JUN",122,114
"JUNB",93,2
"JUND",181,183
"KLF1",154,33
"KLF10",66,82
"KLF3",173,176
"KLF4",102,128
"KLF9",78,92
"KMT2A",39,46
"LHX2",86,48
"MAF",51,171
"MAFF",12,1
"MAFK",77,28
"MECOM",180,169
"MEF2A",36,158
"MEF2C",156,103
"MEIS1",100,5
"MITF",144,166
"MNT",115,63
"MXI1",44,11
"MYB",85,146
"MYBL2",95,75
"MYC",152,153
"NANOG",110,76
"NFAT5",114,56
"NFATC1",137,145
"NFE2",119,43
"NFIC",124,80
"NFYA",143,119
"NFYB",9,143
"NKX2-1",82,70
"NR2C2",116,45
"NR2F2",178,105
"NRF1",24,15
"PAX5",20,77
"PAX6",141,91
"PBX1",170,149
"PBX3",42,165
"PGR",183,97
"POU2F1",149,81
"POU2F2",53,106
"PPARG",27,112
"PRDM1",13,42
"RARA",140,84
"RARG",64,59
"RBPJ",98,135
"RELA",164,64
"REST",131,140
"RFX2",65,100
"RFX5",182,156
"RUNX1",3,3
"RUNX2",72,21
"RUNX3",73,136
"RXRA",57,121
"RXRG",166,175
"SETDB1",15,90
"SIX5",157,178
"SMAD3",107,9
"SOX17",120,27
"SP1",145,155
"SP4",22,160
"SPDEF",31,4
"SPI1",56,123
"SPIB",121,85
"SREBF1",67,36
"SRF",7,102
"STAT1",69,107
"STAT2",130,129
"STAT3",165,173
"STAT4",76,31
"STAT5A",134,180
"STAT5B",109,87
"TBP",71,54
"TBX21",135,130
"TCF12",94,125
"TCF21",62,51
"TCF3",158,93
"TCF4",50,71
"TCF7L2",177,177
"TEAD4",129,161
"TFAP2A",146,10
"TFAP2C",105,142
"TFAP4",169,83
"TFDP1",4,96
"THAP1",14,47
"TP63",113,141
"TP73",21,86
"USF1",74,124
"USF2",139,163
"VDR",168,126
"VEZF1",55,122
"XBP1",92,101
"YY1",117,58
"ZBTB33",128,132
"ZBTB7A",123,88
"ZBTB7B",155,131
"ZEB1",28,110
"ZFX",101,152
"ZKSCAN1",8,68
"ZNF143",136,172
"ZNF263",111,41
"ZNF384",49,159
"ZNF76",5,69
