"","P1_2020Oct","P3_2023Jan"
"AHR",0.533255406195208,0.512656987793648
"ARNTL",0.79812974868498,-0.656782068614197
"ATF3",0.723845704266511,0.420580340523913
"BACH1",0.732378725891292,-0.514322380924391
"BACH2",0.328579777907656,0.316140598365955
"BATF",0.668965517241379,0.505946433119771
"BCL11A",0.777089421391,-0.523952271792159
"BCL6",-0.735885447106955,-0.574903505162719
"CEBPA",0.621858562244302,0.546356707615745
"CEBPD",0.761542957334892,0.4627735653128
"E2F1",-0.622676797194623,0.718999196692725
"E2F2",0.680537697253069,0.478408667881424
"E2F3",-0.729339567504384,-0.743176786379044
"E2F4",-0.553769725306838,0.68496639824448
"E2F6",0.715721800116891,-0.616244440525872
"E2F7",-0.531618936294565,0.446756401967123
"E2F8",-0.62635885447107,-0.712719684946805
"EBF1",-0.594973699590883,-0.387634945825741
"EGR2",-0.688720046756283,-0.444826505221497
"EHF",-0.626826417299825,-0.543936989361077
"ELF1",-0.676914085330216,0.54199729618527
"ELK1",-0.464991233196961,0.442690883442074
"ELK3",0.64447691408533,0.3836673916025
"ELK4",0.495499707773232,-0.577039126942142
"EPAS1",0.303974284044419,0.508052665608652
"ESR1",0.674342489772063,0.587776014420345
"ESR2",0.691583869082408,-0.608358314230295
"ESRRA",0.552250146113384,0.424822194792218
"ETS2",-0.642022209234366,-0.579213934442289
"ETV5",0.455230859146698,0.481700268422187
"ETV7",-0.725657510227937,-0.706185466016184
"FOSL1",0.738398597311514,0.364779874213837
"FOSL2",0.737580362361192,0.41356609651443
"FOXD2",0.652074810052601,-0.446041262563922
"FOXH1",-0.760490940970193,-0.571827426085934
"FOXM1",-0.426417299824664,0.596602598013284
"FOXP1",-0.535242548217417,-0.60830933207939
"GATA4",0.603798947983635,0.65123728913184
"GFI1B",-0.845236703682057,0.496688806598875
"GLI2",0.880303915838691,0.500391857207234
"GLIS1",0.691057860900059,0.534943866455064
"GMEB1",-0.70718877849211,-0.411381492584102
"GMEB2",-0.765225014611339,-0.467152569603636
"GRHL2",0.732904734073641,0.514146045181136
"GTF2B",-0.621858562244302,-0.491075452105253
"HES1",0.84979544126242,0.443063147788946
"HINFP",0.746113383985973,-0.736417249554262
"HNF1B",0.818527177089422,0.51069770175748
"HNF4A",0.524956165984804,0.382256705656459
"HOXA1",0.496376388077148,0.363839416916476
"HOXA4",0.413325540619521,-0.393346264621172
"HOXC6",0.478609000584454,-0.628970003330786
"HSF1",0.309994155464641,-0.654401536080252
"HSF2",-0.736937463471654,-0.686190952017085
"IRF2",-0.691583869082408,0.669683967162366
"IRF3",-0.652951490356517,-0.653999882442838
"JUN",0.666277030976038,0.627049903015341
"JUNB",0.786265341905319,-0.389417896118654
"JUND",-0.703915838690824,-0.35563000842493
"KLF3",-0.576972530683811,-0.516938027782676
"KLF4",-0.791116306253653,-0.476939203354298
"KLF5",-0.481531268264173,-0.570289386547542
"KLF9",0.67989479836353,-0.632065675267932
"KMT2A",0.660724722384571,-0.396530104429946
"LHX2",0.771887784921099,0.327906111013147
"MAF",-0.701694915254237,0.707713709124395
"MAFK",0.817241379310345,0.601481220243343
"MAX",-0.576037405026301,-0.420452986931562
"MECOM",-0.560724722384571,-0.318452555888634
"MEF2C",-0.775277615429574,-0.428564431121299
"MEIS1",0.771127995324372,0.651756499931425
"MITF",0.653302162478083,-0.371539411038618
"MYBL2",0.595675043834015,0.319206881012559
"NANOG",0.521449444769141,0.661719469425342
"NFAT5",-0.517650496785506,-0.520552910519407
"NFATC1",-0.445645821157218,-0.307382589784283
"NFE2",0.572589129164232,0.345480906757578
"NFYB",-0.546697837521917,-0.485373929740003
"NKX2-1",0.510929281122151,0.460804482846451
"NR2F2",0.771946230274693,0.547071847018946
"NR5A2",-0.724780829924021,-0.53583534160152
"NRF1",0.6291642314436,0.664197966261095
"PBX1",0.61052016364699,0.364760281353475
"PBX3",-0.725423728813559,-0.516124924077666
"PGR",0.740444184687318,-0.394296518348714
"POU2F2",-0.584044418468732,-0.447618487823037
"PPARG",0.547282291057861,0.68183154058661
"PRDM1",-0.685096434833431,-0.377260526264229
"RARA",-0.535827001753361,0.487872019436118
"RARG",-0.611279953243717,-0.654156625325731
"RBPJ",-0.52635885447107,-0.557407080859735
"RELA",-0.655230859146698,-0.632643664648602
"REST",-0.774634716540035,0.624796724073748
"RFX2",-0.665341905318527,0.659926722702247
"RFX5",-0.741203974284045,-0.62413056682145
"RUNX1",0.711513734658095,0.680655968964909
"RUNX2",0.628579777907657,0.57550108740375
"RUNX3",-0.811279953243717,-0.677775818491742
"RXRA",0.733781414377557,-0.669331295675856
"RXRG",0.719228521332554,0.373910147142381
"SETDB1",0.544944476914085,0.510364623131331
"SIX5",-0.761309175920514,-0.621377769940634
"SMAD3",0.816364699006429,0.58724700719058
"SNAI2",-0.667971946230275,0.344393503007504
"SP1",-0.560724722384571,-0.327406493073924
"SP4",-0.605552308591467,-0.407835184858638
"SPDEF",0.777089421391,0.596240130096593
"SPI1",-0.518877849210988,-0.414212660906366
"SREBF1",-0.541554646405611,0.483796704480887
"STAT2",-0.617884278199883,-0.686582809224319
"STAT4",0.544593804792519,0.364290052704794
"STAT5B",0.795499707773232,0.359803287681969
"STAT6",-0.333196960841613,0.40076216226807
"TBP",-0.680070134424313,-0.7161484355101
"TBX21",0.531794272355348,0.477438821293521
"TCF12",-0.718118059614261,-0.625629420639119
"TCF21",0.740736411455289,0.664227355551637
"TCF3",-0.782641729982467,-0.345520092478301
"TCF7L2",0.464231443600234,0.383422480847979
"TFAP2C",0.72489772063121,0.643605870020964
"TFAP4",0.724663939216832,0.432541781774721
"THAP1",-0.698188194038574,0.490497462724583
"VEZF1",-0.454412624196377,0.437675111189483
"YY1",-0.611689070718878,0.371549207468798
"ZBTB33",-0.67030976037405,-0.317423930719646
"ZBTB7A",-0.633080070134424,-0.430729442191266
"ZBTB7B",-0.455230859146698,-0.626413135053587
"ZEB1",-0.834365867913501,-0.436107682360548
"ZFX",0.519053185271771,0.505848468817963
"ZNF384",-0.621507890122735,-0.554575912537471
"ZNF76",0.380070134424313,0.699249593448148
