"","P1_2020Oct","P3_2023Jan"
"E2F2",0.317562483886244,0.409892435196614
"EGR1",-0.300910389088664,0.389427692548835
"ELK1",-0.382294570705006,0.423911126785399
"ESR1",0.331634676672932,0.365152138560708
"ESRRA",0.307418778252507,0.323791610337193
"ETS2",-0.352801599989574,-0.353827465271655
"GATA3",0.330520628077319,0.453320010188287
"GTF2B",-0.324070873050087,-0.37889653010443
"JUN",0.365701110044037,0.312809812104469
"KLF3",-0.396953104857806,-0.384441309586787
"MECOM",-0.34576550359623,-0.525970336409412
"MYBL2",0.307946485482008,0.428329316796959
"NR3C1",-0.350925307618016,-0.496247967240738
"PBX1",0.395780422125582,0.396285193675425
"RXRG",0.37168179197838,0.365387252885049
"SETDB1",0.336794480694717,0.330590332882698
"SNAI2",-0.366228817273538,-0.446883755559474
"SOX17",0.361244915661586,0.425772448519759
"SP4",-0.30560112001756,-0.445600423205784
"STAT5B",0.300617218405608,0.390730617762887
"ZBTB7A",-0.33790852929033,-0.308881443601951
"ZFX",0.305132046924671,-0.389927310488058
