"","P1_2020Oct","P3_2023Jan"
"AHR",-0.797147825155595,-0.618233115852583
"ARNT",-0.794839199956266,0.497962342522385
"ARNTL",-0.821870570961066,0.717960775093556
"ATF2",0.394015108386718,0.672818824820236
"ATF3",-0.824909773755119,-0.84213052763573
"BACH1",-0.832507780740252,0.47033640941241
"BACH2",-0.384955946212136,-0.84120966319873
"BARX2",0.664124256708192,0.538950606399028
"BATF",-0.799514896562502,-0.83143282587825
"BCL11A",-0.857639649998769,0.827817943141519
"BCL6",0.738321717228393,0.764346871999843
"BHLHE40",-0.576133491199595,-0.767040890299575
"CEBPA",-0.867078712522607,-0.880268030329748
"CEBPD",-0.855447917214596,-0.815445051823116
"CTCF",0.853986762025147,-0.638012108387704
"E2F1",0.883531319955798,-0.75733262799036
"E2F2",-0.831747980041739,-0.863672877603401
"E2F3",0.825874136180155,0.820872274143302
"E2F4",0.792501351653149,-0.906140402437352
"E2F6",-0.776457867673003,0.760545857089677
"E2F7",0.509621706975894,-0.845412331746312
"E2F8",0.824296088575551,0.854591586825761
"EBF1",0.764154940977845,0.545445639608927
"EGR1",0.761115738183792,-0.814749505280276
"EGR2",0.785166352602117,0.853572758086953
"EHF",0.894694545603186,0.862673641724956
"ELF1",0.636917547080658,-0.551264719136347
"ELK1",0.522362980227886,-0.842110934775368
"ELK3",-0.816113619514639,-0.556339269970023
"ELK4",-0.56035301515355,0.402584298281706
"EPAS1",-0.684843437294574,-0.74813378005055
"ESR1",-0.814038779145622,-0.823262603107428
"ESR2",-0.865676003540736,0.639168087149043
"ESRRA",-0.715527696272995,-0.874889790160466
"ETS2",0.760531276108013,0.849252532377202
"ETV1",-0.374698636782207,0.850104821802935
"ETV5",-0.783003842921733,-0.834009287015812
"ETV7",0.865354549399057,0.776935284782225
"FOSL1",-0.872046640166732,-0.832725954662121
"FOXD2",-0.570844109413791,0.722623875859637
"FOXH1",0.583059366797582,0.60144203452262
"FOXK1",0.540130627331581,0.532935598267991
"FOXO3",-0.825961805491522,-0.640902055291052
"FOXP1",0.50915413731527,0.849037010913223
"GATA2",-0.805710194565764,0.344422892298047
"GATA3",-0.7640088254589,-0.364975802817453
"GATA4",-0.788293224707537,-0.552028840690452
"GFI1B",0.723125703258128,-0.667127098885166
"GLI2",-0.790368065076554,-0.838701777072435
"GLIS1",-0.582913251278637,-0.826456239346382
"GMEB1",0.815470711231281,0.895236975646075
"GMEB2",0.854045208232725,0.869962185779502
"GRHL2",-0.895279007678966,-0.875418797390231
"GTF2B",0.788556232641637,0.876633554732656
"HES1",-0.830023816918189,-0.757763670918317
"HINFP",-0.806440772160489,0.845725817512099
"HNF1B",-0.848551264720398,-0.881992202041576
