"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"AHR",0.656756816903685,0.624886851530212,0.512526876474839
"ARID3A",0.453819604834136,-0.785742084657515,-0.410923200929653
"ARNT",0.727591232365659,0.805042333036453,0.595491734812168
"ASCL2",0.526763529556245,0.802728175597573,0.655990271470074
"ATF1",0.59454172916329,0.508497507029618,0.523200758189886
"ATF2",0.354775269842932,0.5250100269879,0.572157525371923
"BHLHE40",0.308445967188047,-0.437495831631996,-0.409437545375678
"E2F1",0.731605050415576,0.585386021973594,0.430667680853257
"E2F4",-0.470435697788327,-0.405104359240473,-0.477054333159083
"EHF",-0.315432770813619,0.367026747467433,0.331546720830543
"ELK3",-0.513127988566733,-0.730761980921035,-0.559020213046205
"ETS2",0.362085006952085,0.600177718053634,0.453765049555758
"ETV7",0.473809096671178,0.529693135202395,0.346044053181889
"FOXH1",-0.307088556996984,-0.646403725208643,-0.408278865834929
"GRHL2",-0.446547094358985,0.329788726165556,-0.556426692693129
"HES1",-0.322838449735608,-0.776936012682342,-0.652976019736713
"HINFP",0.481294979316831,-0.472378522216248,0.350322550997412
"KLF10",0.450690448989008,0.730894893900714,0.60446507433924
"MAF",0.812050595872509,0.39278509506628,-0.542219301316777
"MYB",-0.452578414378495,-0.774758682032907,-0.522213257265041
"NANOG",0.568618372397378,0.533802322352694,0.42843333364124
"NFE2",-0.332882377182791,-0.757082664707167,-0.490958387553368
"NKX2-1",-0.448652669096828,-0.511013930157243,-0.503308371667645
"RFX2",0.404104191762838,-0.538666718235584,-0.363104260226296
"RFX5",-0.490355578846341,-0.603236908319711,-0.56743390643472
"RUNX2",-0.504968999953428,-0.798650612030189,-0.575705365257482
"SPI1",-0.478833178983697,-0.487523557042029,-0.472624025051705
"TCF7L2",-0.544783641657893,-0.715149793761495,-0.57054094595306
"XBP1",0.465843202305788,0.555709950798237,0.62629911449431
"ZBTB7A",0.56715291417104,-0.767671242202506,-0.646521162904171
"ZBTB7B",-0.449656577592648,0.487905701427654,-0.535026346181725
"ZNF263",-0.339085605560946,-0.370648587025578,-0.680772534222773
"ZNF76",0.336588091871615,-0.538851293504184,-0.558452676108961
