"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"CEBPD",-0.312746762542029,-0.354256111563247,-0.48871881397689
"E2F2",-0.324627378347542,-0.79144549205562,-0.657542700195117
"ETS2",0.312974345472098,0.618875130039684,0.462979634829586
"ETV7",0.387794352190637,-0.354157629361561,0.429417825312895
"GRHL2",-0.364491010171625,-0.496793935372379,-0.592892609576481
"JUND",0.303750881429899,0.575823244769872,0.488602988279634
"MAX",0.405156932351579,0.612636204402342,0.580040661609462
"MYB",-0.336627535718717,-0.301645981496381,-0.396992385498883
"MYC",0.303789921586786,0.5738293709881,0.585775543378167
"TCF21",-0.434706699472504,0.564226887360763,-0.525197619359023
"USF2",-0.346471707991732,-0.719335104449974,0.558071981758829
"ZNF384",0.302483438197011,0.578403322133114,0.381170375046377
