"","P1_2020Oct","P2_2021Mar","P3_2023Jan"
"E2F3",0.315951740704315,0.390079445044913,0.591347168237925
"FOSL2",0.399461554033483,0.371664804196359,-0.305038239071853
"FOXM1",-0.555925854492071,-0.318511733562936,-0.628766051875296
"GLI2",-0.316318993370643,0.380690152111919,0.410492028979424
"HNF1B",-0.5377551361975,-0.485855606646271,-0.457752611534124
"KLF1",-0.425285919908952,-0.313123393237706,0.425572466748937
"KLF4",0.353598326960076,0.372734655992575,0.623267069065389
"POU2F2",0.482377132145607,0.392561110398691,0.590925880841847
"SMAD3",0.48940721530347,-0.323755961431599,0.493401696342873
"SREBF1",0.421000030285593,0.475816586366717,0.56477667990273
"ZNF143",-0.358154555351703,-0.428955612142085,-0.572681240328299
