"","P1_2020Oct","P3_2023Jan"
"ATF2",-0.416142557651992,0.333208255159475
"ELK1",-0.317690695049186,-0.312757973733583
"ELK3",-0.493388163199484,-0.35422138836773
"ELK4",-0.545718432510885,-0.50093808630394
"ETV1",-0.552169004999194,-0.562101313320825
"FOXA1",-0.300999838735688,-0.638836772983114
"FOXP3",-0.468795355587808,0.30562851782364
"HES1",0.508627640703112,0.595497185741088
"HEY1",0.325673278503467,-0.481238273921201
"HINFP",0.595791001451379,-0.312570356472795
"HNF4G",0.422028705047573,0.697936210131332
"HOXB13",-0.510724076761813,-0.487992495309568
"NFE2",0.481293339783906,0.586491557223265
"RUNX1",-0.356394129979036,-0.374484052532833
"RXRA",0.39372681825512,0.359662288930582
"SIX5",0.495645863570392,-0.350281425891182
"SNAI2",0.309950008063216,0.324015009380863
"SP2",0.440009675858732,-0.446341463414634
"STAT5B",-0.325673278503467,0.301688555347092
"TCF7L2",0.323818738913078,0.371106941838649
"USF2",0.380986937590711,0.54577861163227
"XBP1",0.346153846153846,0.311069418386491
"ZFX",0.411949685534591,0.352532833020638
"ZKSCAN1",-0.40041928721174,-0.664540337711069
"ZNF143",0.420174165457184,-0.33921200750469
"ZNF263",-0.428559909691985,-0.326641651031895
