"","ND251_34","ND251_LMPP"
"ASCL1",-0.307952875804771,0.428119184346226
"DUX4",-0.368014853204392,0.416219219125227
"E2F7",0.408179948174071,0.489823678423467
"EGR2",0.37490983891219,0.331795298162092
"ELK3",0.325496219912911,0.327765917038032
"FOXM1",0.439243448294286,0.396926456973569
"GMEB2",-0.425098175406727,-0.493015653336773
"HSF1",0.342510618972564,0.408859814343447
"MEIS1",0.387198461250768,0.475046248036515
"MNT",0.40278898298293,0.333577367532476
"MYB",0.359140330724227,0.876800010537001
"PPARG",-0.427462399487084,-0.667497769382823
"RXRG",-0.403742686933989,-0.495041778559103
"SETDB1",0.501260919509524,-0.327157456930147
"STAT4",-0.343138407287687,0.479200417750271
"TAL1",-0.594542248817888,-0.320587580924245
"THAP1",0.384241177570593,0.386311661786682
