"","ND251_34","ND251_LMPP"
"ASCL2",-0.439749941771837,-0.487652842842944
"ATF1",0.55521783764273,0.551042319115902
"BARX2",-0.342636711057061,0.399414577235106
"BATF",0.373152096712196,0.415004194216303
"BCL11A",-0.570026943949171,-0.615860476578609
"CEBPA",0.503124290099533,0.301433514396436
"CTCF",0.396731644617596,0.381573333263858
"E2F3",0.428069438894796,0.336018745730686
"E2F4",-0.418565730867071,-0.396978867484364
"ESR1",-0.516518623531649,-0.621714744206856
"ESRRA",-0.319750171815711,-0.301909345015523
"ETV4",-0.40582702388891,-0.426498031022269
"ETV5",-0.529300463829149,-0.474160567938853
"ETV7",0.44114171020918,0.518220747000516
"FOS",-0.381335925168143,-0.49772516660454
"FOXA1",0.376312331242444,0.501576668963844
"FOXD2",-0.477209791840574,-0.338270766035899
"FOXG1",-0.459844317474634,0.448859157334302
"GATA4",0.452735946447543,0.307660501882205
"GRHL2",-0.50232776146907,-0.517071984645233
"GTF2B",0.496105061265742,0.316630011229466
"HES1",0.368611595963095,0.373252461635903
"HOXA1",0.371245603997406,0.453668767686461
"HOXA6",0.414154630075988,0.408319916368689
"IRF1",0.514290068699126,0.419987353710772
"JUN",0.343217573090829,0.53357645433835
"KMT2A",0.361284682784686,0.391686227859999
"MAF",0.668045974370068,0.501832292373371
"MAFK",-0.334421251500265,0.538529522406748
"MAX",0.439148950855712,0.486496381976967
"MEF2A",-0.525185545164194,-0.561770361208438
"MITF",-0.492315080273143,-0.418990198158266
"NKX2-1",-0.427405185776973,-0.52166684820383
"NRF1",-0.389781429094748,-0.427356228046069
"OTX2",0.695395374385709,0.431399946764057
"PAX5",-0.379714112360991,-0.555421654178783
"PAX6",-0.486768135406129,-0.4948903966141
"PBX1",-0.345932096654572,-0.546165988103054
"POU2F2",-0.369146449122901,-0.331968093776913
"PRDM1",0.425763244087463,0.512848710749752
"RARA",0.356954097523035,0.583396843321017
"RFX2",-0.447053850513266,-0.512590440676497
"RFX5",0.40969464485632,0.399642334640812
"SP1",-0.57866511003549,-0.439288686354781
"STAT2",0.508446941705983,0.62435074266412
"STAT3",0.39100641536398,0.455731277669473
"TAL1",0.373856607594735,-0.411855096181506
"TBP",-0.393752570028572,-0.529740756396092
"TCF21",-0.529519005980467,-0.471781105072523
"TCF4",0.469667212065469,0.453264450024568
"TCF7L2",0.420038014833847,0.544057506711602
"TFAP2C",-0.33382026058414,-0.458019518405597
"TFDP1",-0.369221213543088,-0.525262029465075
"TP73",0.339223427720024,0.3384999026261
"USF1",-0.446058908613843,-0.321347402552366
"USF2",-0.324883036817069,-0.398103195956506
"ZFX",0.387575878699206,0.336927103579567
"ZNF250",0.329035337692117,0.383794196484197
