"","ND251_34","ND251_LMPP"
"BHLHE40",0.346882907752473,0.399585564226688
"CEBPA",-0.429270186335404,-0.326008585121009
"E2F7",-0.330270876466529,-0.338574427735879
"EBF1",-0.428677823786519,0.409061515023724
"EGR1",0.401509661835749,0.393325829505974
"FOXP3",0.57240913273522,0.384590051224632
"GLI2",-0.428283873936048,-0.356163489741097
"HSF1",-0.434411663216011,-0.35669221061091
"MAFF",-0.328200483091787,-0.325037347659316
"MEIS1",0.351745456636761,-0.353884189552604
"MYC",-0.372363123993559,0.357909868740812
"MZF1",-0.473458707154359,-0.449902698252658
"NR2F2",-0.452703013572579,0.336069880485503
"ONECUT1",0.466591902461468,-0.340024978639281
"PAX5",0.453384518058431,0.36483833183462
"PRDM14",-0.39095928226363,0.368441756352867
"SP2",0.510766045548654,-0.367874467125999
"SPDEF",-0.440562456866805,-0.410010663909337
"USF1",0.440415804002761,0.365756651707245
"USF2",0.367972164711295,0.353364576609474
"ZEB1",-0.396457326892109,0.418688857528389
