"","ND251_34","ND251_HSC","ND251_MPP"
"AHR",0.370091652355642,0.646264656906062,0.325579390918697
"AR",0.482753322266188,0.626125714248046,0.492436987746096
"DUX4",0.650917719587473,0.624054825586836,0.430062716137088
"E2F2",-0.564261775273208,-0.336233454231468,-0.587674309277482
"E2F3",-0.398053349079927,-0.54910351355189,-0.621043527876251
"EBF1",0.337937149523742,0.309256073067893,0.377532323508262
"FOXA2",0.663191343954761,0.513647486214587,0.613769216450126
"GATA3",0.383263285360577,0.64866113691996,0.313692852366413
"HNF4A",-0.456179571570918,-0.725344251809286,-0.688813583499709
"HOXA4",-0.481506437902554,-0.458827101773102,-0.365919932651385
"IRF3",-0.740925137933688,-0.502655524673822,-0.525865183745059
"KMT2A",0.687675618731577,0.65352689802199,0.637860998351896
"MAF",-0.322002219252328,0.434164636411944,-0.502402224068983
"MYB",0.48415764152422,0.571250565056383,0.552999648609034
"MZF1",-0.537686765098782,-0.521064257775138,-0.315973365849189
"OTX2",0.449547154339708,0.449979539179556,0.575755365560256
"RARG",0.364804358862171,0.426542548043181,0.633537015167894
"REST",0.626085828563825,0.532790510954291,0.711758546614191
"SIX5",-0.306321703770262,-0.416601560627799,-0.342706330719536
"SREBF1",0.32157273686041,0.398168520021615,0.60299952190756
"STAT1",-0.392289972465796,-0.332512025755235,-0.501805320930756
"STAT4",0.720515278223898,0.57602662058439,0.707550087843205
"TBP",0.348142709118215,-0.511645051062292,0.394311393863451
"TFDP1",-0.304540800244829,-0.439424612392098,-0.456112580130464
"TP73",0.580452379813124,0.592464444453994,0.687337852288262
